Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
57238939,"Télécommande, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 3,500,1800,,,,"Une fois par tour, vous pouvez sélectionner 1 monstre Syntoniseur face recto sur le Terrain. Le nom du monstre sélectionné est traité comme ""Contrôleur Genex"" jusqu'à la End Phase.",Tuner monster/Genex Controller,,,Ignition,
94622638,"Cellule de Puissance, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1700,0,,,,Les autres monstres face recto que vous contrôlez avec le même Attribut que cette carte gagnent 500 d'ATK.,DARK,,,Continuous,
20127343,"Changeur, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 3,1200,1800,,,,"Une fois par tour, vous pouvez sélectionner 1 monstre face recto sur le Terrain et déclarer 1 Attribut. L'Attribut du monstre sélectionné devient l'Attribut déclaré, jusqu'à la End Phase.",,,Declares an Attribute,Ignition,
56511382,"Volcanon, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1700,600,,,,"Une fois par tour, vous pouvez envoyer 1 monstre ""Genex"" FEU face recto que vous contrôlez au Cimetière pour sélectionner 1 monstre face recto contrôlé par votre adversaire, le détruire et infliger des dommages à votre adversaire égaux au Niveau du monstre détruit x 400.",Supports archetypes /Genex,,Sends from field to Graveyard for cost,Ignition,
83500096,"Solid, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 2,500,1200,,,,"Une fois par tour, vous pouvez envoyer 1 monstre ""Genex"" EAU face recto que vous contrôlez au Cimetière pour piocher 2 cartes.",Supports archetypes /Genex,,Sends from field to Graveyard for cost/You draw cards,Ignition,
29905795,Chawa le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 1,200,100,,,,"Durant votre Main Phase : vous pouvez activer cet effet ; défaussez 1 monstre ""Mythologique"", et si vous le faites, Invoquez Spécialement cette carte depuis votre main.",Supports archetypes /Fabled,,Discards for effect,Ignition,
56399890,Catsith le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 1,800,600,,,,Si cette carte est défaussée au Cimetière : ciblez 1 carte face recto sur le Terrain ; détruisez la cible.,,,,Trigger,
82888408,Cerburrel le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 2,1000,400,,,,Si cette carte est défaussée au Cimetière : Invoquez-la Spécialement.,,,Activates from your Graveyard,Trigger,
18282103,Ganashia le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 3,1600,1000,,,,"Si cette carte est défaussée au Cimetière : Invoquez-la Spécialement. Si elle est Invoquée de cette façon, elle gagne 200 ATK, mais bannissez-la lorsqu'elle quitte le Terrain.",,,Activates from your Graveyard,Trigger/Condition,
55277252,Nozoochee le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 2,1200,800,,,,"Durant votre Main Phase : vous pouvez défausser 1 monstre ""Mythologique"", et si vous le faites, Invoquez Spécialement cette carte depuis votre main. Lorsque cette carte est Invoquée Spécialement de cette façon : vous pouvez Invoquer Spécialement 1 monstre ""Mythologique"" de max. Niveau 2 depuis votre main.",Supports archetypes /Fabled,,Activates from your hand/Discards for cost/Activates upon Special Summon,Ignition/Trigger,
54455664,Brandistok Dragunité,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,600,400,,,,"Tant que cette carte est équipée à un monstre, le monstre peut faire une seconde attaque durant chaque Battle Phase.",,,,Continuous-like,
