Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
75886890,Sphère Vylon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 1,400,400,,,,Si cette carte est envoyée depuis la Zone Carte Monstre au Cimetière : vous pouvez payer 500 Life Points pour cibler 1 monstre face recto que vous contrôlez ; équipez cette carte à la cible. Vous pouvez envoyer cette Carte d'Équipement au Cimetière pour cibler 1 Carte Magie d'Équipement dans votre Cimetière ; équipez la cible au monstre qui était équipé avec cette carte.,Equip Spell Card,,Activates from your Graveyard/Sends itself from field to Graveyard for cost/Places cards from Graveyard in Spell & Trap Zone,Trigger/Ignition-like,
01281505,Tétra Vylon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 2,900,900,,,,"Si cette carte est envoyée depuis la Zone Carte Monstre au Cimetière : vous pouvez payer 500 Life Points, puis ciblez 1 monstre face recto que vous contrôlez ; équipez cette carte à la cible. Si le monstre équipé va être détruit, vous pouvez détruire cette Carte d'Équipement à la place.",,,Activates from your Graveyard/Equips self from Graveyard,Trigger/Continuous-like,
00168917,Hept Vylon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1800,800,,,,"Une fois par tour : vous pouvez cibler 1 Carte Monstre ""Vylon"" que vous contrôlez comme Carte d'Équipement ; Invoquez Spécialement la cible en Position de Défense face recto. Bannissez-la lorsqu'elle quitte le Terrain.",Supports archetypes /Vylon,,,Ignition,
36331074,"Reeze, Tourbillon de Gusto",Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Effet],,,,,Niveau 5,1900,1400,,,,"Une fois par tour : vous pouvez renvoyer 1 carte depuis votre main au-dessous du Deck pour cibler 1 monstre contrôlé par votre adversaire et 1 monstre ""Gusto"" face recto que vous contrôlez ; échangez le contrôle des deux monstres.",Supports archetypes /Gusto,,Returns from hand to Deck for cost/Changes control,Ignition,
62007535,Longicorne Colonie de Chrome,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 9,3000,0,,,,"Une fois par tour, si cette carte est Invoquée par Sacrifice en Sacrifiant un ou plusieurs monstres ""Colonie de Chrome"" : vous pouvez payer 1000 Life Points pour cibler 1 monstre sur le Terrain ; détruisez la cible.",Supports archetypes /Steelswarm,,,Ignition,
94092230,Hercule Colonie de Chrome,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 10,3200,0,,,,"Non Invocable Spécialement. Nécessite 3 Sacrifices ""Colonie de Chrome"" pour son Invocation Normale (non Posable). Une fois par tour : vous pouvez payer la moitié de vos Life Points ; détruisez toutes les autres cartes sur le Terrain.",Supports archetypes /Steelswarm,,,Summon/Ignition,
28429121,Arts Interdits du Gishki,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte peut être utilisée pour Invoquer Rituellement un monstre ""Gishki"". Vous devez aussi Sacrifier des monstres face recto depuis le Terrain dont le Niveau total est égal au Niveau du Monstre Rituel que vous Invoquez Rituellement. Divisez par deux l'ATK du monstre Invoqué Rituellement par cet effet. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",Supports archetypes /Gishki,Ritual Monster,Tributes as an effect/Tributes opponent's monsters/Cannot conduct Battle Phase,Effect/Condition,
81218874,Ricochets d'Infestation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Payez 500 Life Points pour cibler 1 monstre ""Colonie de Chrome"" de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement depuis le Cimetière.",Supports archetypes /Steelswarm,,,Cost/Effect,
27207573,Outil d'Infestation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Envoyez 1 monstre ""Colonie de Chrome"" depuis votre Deck au Cimetière pour cibler 1 monstre ""Colonie de Chrome"" face recto que vous contrôlez ; jusqu'à la End Phase, il gagne 800 ATK.",Supports archetypes /Steelswarm,,Sends from your Deck to your Graveyard for cost,Cost/Effect,
84313685,Tesseract Vylon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Union／Effet],,,,,Niveau 4,800,600,,,,"Une fois par tour, vous pouvez SOIT : ciblez 1 monstre ""Vylon"" face recto que vous contrôlez ; équipez cette carte à la cible, SOIT : déséquipez cette carte et Invoquez-la Spécialement en Position d'Attaque face recto. Tant qu'elle est équipée par cet effet, si le monstre équipé détruit un monstre de votre adversaire au combat : vous pouvez cibler 1 monstre ""Vylon"" de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible. (Un monstre ne peut être équipé qu'avec 1 Monstre Union à la fois. Si le monstre équipé va être détruit, détruisez cette carte à la place.)",Supports archetypes /Vylon,Union monster,Equips self from field/Activates when it destroys a monster by battle,Ignition/Ignition-like/Trigger-like/Condition/Continuous-like,
