Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
78486968,Sheratan de la Constellée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 3,700,1900,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 monstre ""Constellée"" depuis votre Deck à votre main.",Supports archetypes /Constellar,,Activates upon Normal Summon/Adds from Deck to hand,Trigger,
72429240,O'lantern Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Pyro/Effet],,,,,Niveau 4,1650,1250,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; détruisez la cible.",,,Tributes itself for cost,Ignition,
08814959,Mandragora Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 4,1550,1450,,,,"Si votre adversaire contrôle plus de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",,,,Unclassified,
00359563,Cauchemar Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Xyz／Effet],,,Rang 4,,,950,1950,,2 monstres TÉNÈBRES de Niveau 4,,Lorsque votre adversaire Invoque Spécialement un ou plusieurs monstres (sauf durant la Damage Step) : vous pouvez détacher 1 Matériel de cette carte ; changez ces monstres Invoqués Spécialement en Position de Défense face verso.,DARK,,Activates upon Special Summon/Flips monsters face-down,Trigger,
72142276,Champ de Conduction Fondu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 2 monstres ""Laval"" depuis votre Deck au Cimetière.",Supports archetypes /Laval,,Sends from your Deck to your Graveyard,Effect,
08414337,Tempête de Poussières Gusto,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Votre adversaire ne peut ni activer de cartes ni d'effets lorsque des monstres ""Gusto"" que vous contrôlez déclarent leurs attaques ce tour.",Supports archetypes /Gusto,,,Effect,
35419032,Infection d'Infestation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Une fois par tour : vous pouvez mélanger 1 monstre ""Colonie"" depuis votre main ou face recto sur votre Terrain dans le Main Deck ; ajoutez 1 monstre ""Colonie"" depuis votre Deck à votre main.",Supports archetypes /lswarm,,Returns from hand to Deck for cost/Returns from field to Deck for cost/Adds from Deck to hand,Quick-like,
16796157,Puma Bête-Guerrier,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1600,1000,,,,"Vous pouvez Sacrifier cette carte ; ajoutez 1 ""Moineau des Étoiles Esper D.D."" depuis votre Deck ou Cimetière à votre main.",D.D. Esper Star Sparrow,,Tributes itself for cost/Adds from Deck to hand/Adds from Graveyard to hand,Ignition,
43791861,"Gairuda, Bête Phénix",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 6,2500,1200,,,,"Si cette carte attaque un monstre de votre adversaire, durant la Damage Step uniquement, cette carte gagne 300 ATK.",,,,Continuous,
79185500,Marteaufer le Géant,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 8,900,3500,,,,"Si vous contrôlez ""Moineau des Étoiles Esper D.D."", ""Puma Bête-Guerrier"" et ""Gairuda, Bête Phénix"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Tant que cette carte est face recto sur le Terrain, elle ne peut pas changer sa position de combat. Une fois par tour : vous pouvez cibler 1 monstre que vous contrôlez ; ce tour, il peut attaquer directement votre adversaire.",D.D. Esper Star Sparrow/Beast-Warrior Puma/Phoenix Beast Gairuda,,Prevents Battle Position changes,Summon/Continuous/Ignition,
15574615,Jet de Fer D.D.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 10,4000,0,,,,"Ni Invocable Normalement ni Posable. Doit d'abord être Invoquée Spécialement (depuis votre main) en envoyant 1 ""Moineau des Étoiles Esper D.D."", ""Puma Bête-Guerrier"", ""Gairuda, Bête Phénix"", et ""Marteaufer le Géant"" depuis votre main et/ou face recto sur votre Terrain au Cimetière. Vous pouvez Sacrifier cette carte pour cibler 1 ""Moineau des Étoiles Esper D.D."", ""Puma Bête-Guerrier"", ""Gairuda, Bête Phénix"" et ""Marteaufer le Géant"" dans votre Cimetière ; Invoquez Spécialement les cibles.",D.D. Esper Star Sparrow/Beast-Warrior Puma/Phoenix Beast Gairuda/Ironhammer the Giant,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Tributes itself for cost,Summon/Ignition,
18063928,Poisson Rouge Étain,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet],,,,,Niveau 4,800,2000,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre de Niveau 4 depuis votre main.,,,Activates upon Normal Summon,Trigger,
79785958,Castor Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1750,550,,,,"Durant le tour où cette carte a été Invoquée Normalement, vous pouvez Invoquer Normalement 1 monstre ""Colonie"" en plus de votre Invocation Normale/Pose. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /lswarm,,,Unclassified,
42679662,Azzathoth Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Flip／Effet],,,,,Niveau 4,750,1950,,,,FLIP : Ciblez 1 monstre Invoqué Spécialement sur le Terrain ; mélangez la cible dans le Deck.,,,Returns from your field to your Deck/Returns from your opponent's field to your opponent's Deck,Flip,
04335427,"Sophia, Déesse de la Renaissance",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 11,3600,3400,,,,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 Monstre Rituel, de Fusion, Synchro et Xyz face recto depuis le Terrain, et non Invocable Spécialement autrement. L'Invocation Spéciale de cette carte ne peut pas être annulée. Lorsque cette carte est Invoquée Spécialement : bannissez toutes les autres cartes depuis la main, Terrain et Cimetière de chaque joueur. Les cartes et effets ne peuvent pas être activés en réponse à l'activation de cet effet.",Ritual Monster/Fusion Monster/Synchro Monster/Xyz Monster,Ritual Monster/Fusion Monster/Synchro Monster/Xyz Monster,Activates upon Special Summon,Summon/Unclassified/Trigger/Condition,
38495396,Ptolemy M7 de la Constellée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Xyz／Effet],,,Rang 6,,,2700,2000,,2 monstres de Niveau 6,,"Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un Monstre Xyz ""Constellée"" (""Ptolemy M7 de la Constellée"" exclu) que vous contrôlez comme Matériel. (Transférez ses Matériels à cette carte.) Si elle est Invoquée de cette façon, l'effet suivant ne peut pas être activé ce tour. Une fois par tour : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre sur le Terrain ou dans l'un des Cimetières ; renvoyez la cible à la main.",Supports archetypes /Constellar,,Transfers/Returns from field to hand/Adds from Graveyard to hand,Summon/Condition/Ignition,
65884091,Thanatos Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Xyz／Effet],,,Rang 4,,,2350,1350,,2 monstres TÉNÈBRES de Niveau 4,,"Une fois par tour (Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte ; ce tour, cette carte face recto n'est pas affectée par d'autres effets de monstre.",DARK,,,Quick,
