Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
59277750,Alarme d'Intrusion - Alerte Jaune,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : Invoquez Spécialement 1 monstre depuis votre main, mais renvoyez-le à la main à la fin de la Battle Phase. Tant que vous contrôlez le monstre face recto Invoqué Spécialement, votre adversaire ne peut pas cibler d'autres monstres avec une attaque. Vous ne pouvez activer qu'1 ""Alarme d'Intrusion - Alerte Jaune"" par tour.",,,Activates upon attack declaration/Returns from your field to your hand,Activation requirement/Effect/Condition,
23147658,Soldat Météo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 4,2000,1200,,,,"Si cette carte est détruite au combat ou envoyée au Cimetière par un effet de carte : vous pouvez ajouter 1 ""Fusion Fossile"" ou 1 carte qui mentionne ""Fusion Fossile"" (""Soldat Météo"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Soldat Météo"" qu'une fois par tour. Une fois par tour, durant votre End Phase : cette carte perd 600 ATK.",Fossil Fusion,,Activates if destroyed by card effect/Activates if destroyed by battle/Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
59531356,Guerrier Fossile Chevalier Squelette,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),TERRE,[Rocher/Fusion／Effet],,,,,Niveau 6,2400,1100,,1 monstre Rocher + 1 monstre de Niveau 5 ou 6,,"Doit d'abord être Invoquée Spécialement avec ""Fusion Fossile"". Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants. Lorsque cette carte attaquante détruit un monstre au combat : vous pouvez activer cet effet ; cette carte peut faire une seconde attaque à la suite. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre sur le Terrain ; détruisez-le. Vous ne pouvez utiliser cet effet de ""Guerrier Fossile Chevalier Squelette"" qu'une fois par tour.",Rock/Fossil Fusion,,Activates when it destroys a monster by battle/Activates from your Graveyard,Summon/Continuous/Trigger/Ignition/Condition,
85808813,Flux Intemporel,Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 Monstre Fusion ""Fossile"" que vous contrôlez ; Sacrifiez-le, et si vous le faites, Invoquez Spécialement 1 Monstre Fusion ""Fossile"" depuis votre Extra Deck, dont le Niveau d'origine est supérieur de 2 à celui du monstre. (Ceci est traité comme Invocation Fusion avec ""Fusion Fossile"".) Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte et 1 Monstre Fusion ""Fossile"" depuis votre Cimetière, puis ciblez 1 Monstre Fusion ""Fossile"" dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Fossil,,Tributes as an effect/Activates from your Graveyard,Effect/Ignition-like,
12292422,Inspection de Spécimens,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Révélez 1 ""Fusion Fossile"" dans votre main ; envoyez 1 monstre depuis votre main au Cimetière, et si vous le faites, déclarez un Type et un Niveau, puis votre adversaire regarde sa main et Deck, et en envoie 1 monstre du Type et Niveau déclarés au Cimetière (si possible). Vous ne pouvez activer qu'1 ""Inspection de Spécimens"" par tour.",Fossil Fusion,,Reveals your hand for cost/Sends from your hand to your Graveyard/Declares a Type/Declares a Level/Sends from your opponent's hand to your opponent's Graveyard/Sends from your opponent's Deck to your opponent's Graveyard,Effect/Condition,
80681226,Vague Psychique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre Machine : envoyez 1 ""Jinzo"" depuis votre main ou Deck au Cimetière ; infligez 600 points de dommages à votre adversaire. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre Machine dans votre Cimetière ; envoyez 1 monstre ""Jinzo"" depuis votre Deck au Cimetière, et si vous le faites, ajoutez le monstre ciblé à votre main. Vous ne pouvez utiliser cet effet de ""Vague Psychique"" qu'une fois par tour.",Supports archetypes /Jinzo ,,Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Activates from your Graveyard/Sends from your Deck to your Graveyard/Adds from Graveyard to hand,Effect/Ignition-like/Condition,
17170970,Ours Blanc Blindé,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Effet],,,,,Niveau 4,1800,1400,,,,"Si cette carte est Invoquée Normalement ou Spécialement tant qu'un Monstre Synchro est sur le Terrain : vous pouvez cibler 1 Magie de Terrain dans votre Cimetière ; ajoutez-la à votre main. Si cette carte est détruite au combat et envoyée au Cimetière, ou si cette carte en votre possession est détruite par un effet de carte de l'adversaire et envoyée à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre Bête de max. Niveau 4 (""Ours Blanc Blindé"" exclu) depuis votre Deck ou Cimetière. Vous ne pouvez utiliser chaque effet de ""Ours Blanc Blindé"" qu'une fois par tour.",Synchro Monster/Field Spell Card/Beast,Synchro Monster,Activates upon Normal Summon/Activates upon Special Summon/Adds from Graveyard to hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Trigger/Condition,
43575579,Dernières Lueurs,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Bannissez cette carte, et autant de ""Dernières Lueurs"" depuis votre main, Deck, Cimetière et Terrain face recto que possible, puis mélangez 1 de vos ""Dernières Lueurs"" bannis dans le Deck. Durant votre prochaine Draw Phase, révélez la carte que vous piochez pour votre pioche normale, et infligez 4000 points de dommages à votre adversaire si c'est ""Dernières Lueurs"". Vous ne pouvez activer qu'1 ""Dernières Lueurs"" par Duel.",,,Returns the player's banished cards to the Deck/Shows the player's drawn cards,Effect/Lingering/Condition,
70569684,Pioche à Haut Régime,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Détruisez min. 2 monstres que vous contrôlez, et si vous le faites, piochez 1 carte pour tous les 2 monstres détruits. Durant la Main Phase de votre adversaire, si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre que vous contrôlez ; détruisez-le, et si vous le faites, Posez cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Pioche à Haut Régime"" qu'une fois par tour.",,,You draw cards/Activates from your Graveyard/Sets itself from your Graveyard,Effect/Quick-like/Condition,
42352091,Mur Numeron,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Si vous ne contrôlez aucune carte (""Mur Numeron"" exclu) (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; activez 1 ""Réseau Numeron"" directement depuis votre main ou Deck. Vous ne pouvez utiliser cet effet de ""Mur Numeron"" qu'une fois par tour. Lorsque vous recevez des dommages de combat : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, terminez la Battle Phase après la Damage Step.",Numeron Network,,Activates from your hand/Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost/Activates cards from your hand/Activates cards from your Deck/Activates if you take battle damage/Ends the Battle Phase,Quick/Condition/Trigger,
