Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
11020863,Trancheur de Lignée Royale,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 6,2400,1350,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Lignée Royale"". Si vous avez ""Chevalier de la Reine"", ""Chevalier du Roi"" et ""Chevalier du Valet"" dans votre Cimetière : vous pouvez envoyer 5 monstres, de Niveaux différents de 1, 2, 3, 4 et 5, depuis votre main et/ou Deck au Cimetière, et si vous le faites, détruisez toutes les cartes contrôlées par votre adversaire. Lorsque cette carte est détruite au combat : vous pouvez cibler max. 3 monstres LUMIÈRE Guerrier dans votre Cimetière ; Invoquez-les Spécialement. Vous ne pouvez utiliser chaque effet de ""Trancheur de Lignée Royale"" qu'une fois par tour.",Royal Straight/Queen's Knight/Jack's Knight/King's Knight/LIGHT/Warrior,,Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Activates if destroyed by battle,Summoning condition/Summoning condition/Ignition/Trigger/Condition,
58415502,Lignée Royale,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 ""Chevalier de la Reine"", ""Chevalier du Roi"" et ""Chevalier du Valet"" depuis votre main et/ou Zone Monstre face recto au Cimetière, puis Invoquez Spécialement 1 monstre depuis votre main, Deck, Extra Deck ou Cimetière qui mentionne tous les ""Chevalier de la Reine"", ""Chevalier du Roi"" et ""Chevalier du Valet"".",Queen's Knight/Jack's Knight/King's Knight,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost,Effect,
84797028,Nuit des Machines,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres face recto sur le Terrain deviennent des monstres Machine. Les monstres Machine que vous contrôlez gagnent 500 ATK/DEF, et aussi, les monstres Machine contrôlés par votre adversaire perdent 500 ATK/DEF. Vous pouvez bannir cette carte depuis votre Cimetière, puis défaussez 1 carte ; ajoutez 1 monstre TERRE Machine depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Nuit des Machines"" qu'une fois par tour. Vous ne pouvez activer qu'1 ""Nuit des Machines"" par tour.",Machine/EARTH,Machine,Adds from Deck to hand/Discards for effect,Continuous-like/Continuous-like/Ignition-like/Condition/Condition,
46570372,Bataille des Esprits Endormis,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque joueur peut Invoquer Spécialement en Position d'Attaque 1 monstre depuis son Cimetière qui a été détruit au combat ce tour, et si vous avez Invoqué Spécialement ""Néos, HÉROS Élémentaire"" par cet effet, s'il combat un monstre de votre adversaire ce tour, son ATK sera doublée durant la Damage Step uniquement. Vous ne pouvez activer qu'1 ""Bataille des Esprits Endormis"" par tour.",Elemental HERO Neos,,,Effect/Condition,
83575471,Bête Cristalline Ultime : Escarboucle de Rubis,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,300,300,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière. Tant que cette carte est traitée comme Magie Continue : vous pouvez Invoquer Spécialement cette carte, puis vous pouvez Invoquer Spécialement autant de Cartes Monstre ""Bête Cristalline Ultime"" que possible depuis vos Zones Magie & Piège. Vous ne pouvez utiliser cet effet de ""Bête Cristalline Ultime : Escarboucle de Rubis"" qu'une fois par tour.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Activates upon Special Summon/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Continuous/Unclassified/Ignition-like/Condition,
19963185,Bête Cristalline Ultime : Chat d'Améthyste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,1200,400,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Vos monstres ""Bête Cristalline Ultime"" peuvent attaquer directement, mais lorsqu'ils le font en utilisant cet effet, les dommages de combat infligés à votre adversaire sont divisés par deux. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Places itself in Spell & Trap Zone/Activates if destroyed by battle/Activates if destroyed by card effect,Continuous/Continuous/Unclassified,
46358784,Bête Cristalline Ultime : Tortue d'Émeraude,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 3,600,2000,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Une fois par tour (Effet Rapide) : vous pouvez cibler 1 monstre face recto sur le Terrain ; changez sa position de combat. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Advanced Dark,,Sends itself from field to Graveyard/Changes battle positions/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Continuous/Quick/Unclassified,
72843899,Bête Cristalline Ultime : Tigre de Topaze,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1600,1000,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Tous les monstres ""Bête Cristalline Ultime"" que vous contrôlez gagnent 400 ATK/DEF, et aussi, les monstres contrôlés par votre adversaire perdent 400 ATK/DEF. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Places itself in Spell & Trap Zone,Continuous/Continuous/Unclassified,
18847598,Bête Cristalline Ultime : Mammouth d'Ambre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1700,1600,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Une fois par tour, lorsque votre adversaire active une carte ou un effet qui cible votre ""Ténèbres Ultimes"" ou une ou plusieurs de vos cartes ""Bête Cristalline Ultime"" (Effet Rapide) : vous pouvez annuler l'activation. Une fois par tour, lorsque votre monstre ""Bête Cristalline Ultime"" est ciblé par une attaque : vous pouvez annuler l'attaque. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Places itself in Spell & Trap Zone,Continuous/Quick/Trigger/Unclassified,
45236142,Bête Cristalline Ultime : Aigle de Cobalt,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1400,800,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; ajoutez 1 ""Ténèbres Ultimes"" depuis votre Deck à votre main. Une fois par tour : vous pouvez cibler 1 carte ""Bête Cristalline Ultime"" que vous contrôlez ; renvoyez-la à la main ou placez-la au-dessus du Deck. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost/Adds from Deck to hand/Places cards from the player's field on the top of the Deck/Returns from field to hand/Places itself in Spell & Trap Zone,Continuous/Ignition/Ignition/Unclassified,
71620241,Bête Cristalline Ultime : Pégase de Saphir,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête/Effet],,,,,Niveau 4,1800,1200,,,,"Si ""Ténèbres Ultimes"" n'est pas dans une Zone Terrain, envoyez ce monstre au Cimetière. Si cette carte est Invoquée : vous pouvez placer 1 de vos monstres ""Bête Cristalline Ultime"" qui est banni, ou dans votre main, Deck ou Cimetière, face recto dans votre Zone Magie & Piège comme Magie Continue. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Advanced Crystal Beast,,Sends itself from field to Graveyard/Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Places the player's banished cards in Spell & Trap Zone/Places cards from hand in Spell & Trap Zone/Places cards from Deck in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone/Places cards from Graveyard in Spell & Trap Zone/Places itself in Spell & Trap Zone,Continuous/Trigger/Unclassified,
70508653,Boîte à Outils,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre : vous pouvez révéler 2 Magies d'Équipement depuis votre Deck de noms différents, votre adversaire en prend 1 au hasard pour vous à ajouter à votre main, et aussi, placez la carte restante au-dessous de votre Deck. Vous ne pouvez utiliser cet effet de ""Boîte à Outils"" qu'une fois par tour.",Equip Spell Card,,Reveals cards from your Deck/Adds from Deck to hand,Ignition-like/Condition,
33391067,Poupée de la Malédiction du Reflet,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsqu'un effet de monstre qui va vous infliger des dommages est activé : votre adversaire reçoit ces dommages à la place. Lorsque vous recevez des dommages de combat, tant que cette carte est dans votre Cimetière : vous pouvez Poser cette carte. Vous ne pouvez utiliser cet effet de ""Poupée de la Malédiction du Reflet"" qu'une fois par tour.",,,Sets from your Graveyard,Activation requirement/Effect/Ignition-like/Condition,
