Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
83347294,Dragon Lancier aux Yeux Impairs,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,2000,,,,"Si un Monstre Pendule que vous contrôlez est détruit au combat ou par un effet de carte : vous pouvez Sacrifier 1 monstre ; Invoquez Spécialement cette carte depuis votre main. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Si une ou plusieurs cartes ""Yeux Impairs"" que vous contrôlez vont être détruites au combat ou par un effet de carte, vous pouvez détruire 1 carte ""Yeux Impairs"" dans votre main, Zone Monstre ou Zone Pendule à la place.",Supports archetypes /Odd-Eyes,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Tributes for cost,Trigger/Continuous,
46136942,Dissolveur aux Yeux Impairs Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 8,2000,2600,,,,"Au début de la Damage Step, si votre Monstre Pendule combat un monstre de l'adversaire : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, votre monstre ne peut pas être détruit par ce combat. Vous ne pouvez utiliser cet effet de ""Dissolveur aux Yeux Impairs Potartiste"" qu'une fois par tour. Durant votre Main Phase : vous pouvez Invoquer par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres (cette carte incluse) depuis votre Terrain et/ou Zones Pendule.",Dragon/Fusion Monster/Pendulum Monster,,Uses cards on the player's field as Fusion Materials/Uses Spell Cards as Fusion Materials/Uses itself as a Fusion Material,Pendulum Effect /Ignition-like/Monster Effect/Trigger/Condition/Ignition,
82224646,Synchronique aux Yeux Impairs Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Syntoniseur／Effet],,,,,Niveau 2,200,600,,,,"Si cette carte, Invoquée Spécialement depuis l'Extra Deck, est utilisée comme Matériel Synchro, bannissez-la. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Potartiste"" ou ""Yeux Impairs"" de max. Niveau 3 dans votre Cimetière ; Invoquez-le Spécialement, mais il a ses effets annulés. Une fois par tour : vous pouvez cibler 1 carte dans votre Zone Pendule ; Invoquez-la Spécialement, mais elle a ses effets annulés (si elle en a), et si vous le faites, immédiatement après la résolution de cet effet, Invoquez par Synchronisation 1 Monstre Synchro en utilisant uniquement le monstre et cette carte.",Supports archetypes /Odd-Eyes/Performapal,,Activates upon Normal Summon/Uses itself as a Synchro Material,Pendulum Effect /Ignition-like/Monster Effect/Condition/Trigger/Ignition,
19619755,Magicien Cinq-Arc-en-Ciel Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 1,100,100,,,,Si un joueur Pose une Magie/Piège sur votre Terrain tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez placer cette carte dans votre Zone Pendule.,,,Effect that cannot be negated/Activates from your Graveyard/Goes to Pendulum Zone,Pendulum Effect /Continuous-like/Condition/Monster Effect/Trigger,
72402069,D/D/D Super Roi du Déclin Armageddon Brillant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Synchro／Pendule／Effet],,,,,Niveau 10,3500,3000,,"1 Syntoniseur ""D/D"" + 1+ monstre non-Syntoniseur ""D/D/D""",,"Votre adversaire ne peut pas cibler de monstres que vous contrôlez avec des effets de carte. Si un autre monstre est Invoqué Normalement ou Spécialement tant que ce monstre est sur le Terrain (sauf durant la Damage Step) : vous pouvez faire choisir à votre adversaire 1 Monstre Pendule qu'il contrôle, et tous les autres monstres qu'il contrôle actuellement ont leurs effets annulés. Si cette carte dans la Zone Monstre est détruite : vous pouvez placer cette carte dans votre Zone Pendule.",Supports archetypes /D/D/D/D/D,,Activates upon attack declaration/Activates upon Normal Summon/Activates upon Special Summon/Activates from your Extra Deck/Activates if destroyed by battle/Activates if destroyed by card effect/Goes to Pendulum Zone,Pendulum Effect /Trigger-like/Monster Effect/Continuous/Trigger,
44179224,Acteur des Abysses - Prélude,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 4,1100,1000,,,,"Gagne 1100 ATK si vous ne contrôlez aucun autre monstre. Une fois par tour : vous pouvez envoyer 1 Magie ""Script des Abysses"" depuis votre Deck au Cimetière ; ajoutez 1 Monstre Pendule ""Acteur des Abysses"" face recto depuis votre Extra Deck à votre main.",Supports archetypes /Abyss Actor/Abyss Script,,Sends from your Deck to your Graveyard/Adds from Extra Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Ignition,
70564929,Script des Abysses - Abysspectacle,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous pouvez Sacrifier 1 monstre ""Acteur des Abysses"", puis ciblez 1 Magie ""Script des Abysses"" dans votre Cimetière ; Posez-la sur votre Terrain. Vous pouvez utiliser cet effet de ""Script des Abysses - Abysspectacle"" max. deux fois par tour. Si cette carte Posée contrôlée par son propriétaire est détruite par un effet de carte de votre adversaire, et que vous avez un Monstre Pendule ""Acteur des Abysses"" face recto dans votre Extra Deck : vous pouvez Invoquer Spécialement un nombre de votre choix de Monstres Pendule ""Acteur des Abysses"" depuis votre Deck.",Supports archetypes /Abyss Actor/Abyss Script,,Tributes for cost/Sets from your Graveyard/Activates if destroyed while Set/Activates from your Graveyard,Ignition-like/Condition/Trigger-like,
43047672,Raidraptor - Faucon Forteresse Finale,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Xyz／Effet],,,Rang 12,,,3800,2800,,3 monstres de Niveau 12,,"Si cette carte a un Monstre Xyz ""Raidraptor"" comme Matériel, elle n'est pas affectée par les effets d'autres cartes. Une fois par tour : vous pouvez détacher 1 Matériel de cette carte ; renvoyez tous vos monstres ""Raidraptor"" bannis à votre Cimetière. Max. deux fois par tour, lorsque cette carte attaquante détruit un monstre au combat : vous pouvez bannir 1 Monstre Xyz ""Raidraptor"" depuis votre Cimetière ; cette carte peut attaquer une nouvelle fois à la suite.",Supports archetypes /Raidraptor,,Applies effects if specific Xyz Material is attached/Returns the player's banished cards to the Graveyard,Continuous/Ignition/Trigger,
32825095,Murène Blanche,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 2,600,200,,,,"Durant le tour où vous avez Invoqué Normalement cette carte, elle peut attaquer directement votre adversaire. Si cette carte est Invoquée Spécialement depuis le Cimetière : ce tour, vous pouvez la traiter comme Syntoniseur.",,,Activates upon Special Summon,Unclassified/Trigger,
78229193,Dauphin Aura Blanche,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Synchro／Effet],,,,,Niveau 6,2400,1000,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, son ATK devient la moitié de son ATK d'origine. Si cette carte en votre possession est détruite par une carte de l'adversaire et envoyée à votre Cimetière : vous pouvez bannir 1 autre monstre EAU depuis votre Cimetière ; Invoquez Spécialement cette carte comme Syntoniseur.",WATER,,Activates from your Graveyard,Ignition/Trigger,
