Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
78010363,Sorcière de la Forêt Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1100,1200,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : ajoutez 1 monstre avec max. 1500 DEF depuis votre Deck à votre main, mais vous ne pouvez activer ni de cartes ni d'effets de cartes de ce nom le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Sorcière de la Forêt Noire"" qu'une fois par tour.",,,Adds from Deck to hand/Activates from your Graveyard,Trigger/Condition,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
79575620,Lily Fée des Piqûres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Magicien/Effet],,,,,Niveau 3,400,1500,,,,"Une fois par combat, durant le calcul des dommages, si cette carte combat (Effet Rapide) : vous pouvez payer 2000 LP ; durant ce calcul des dommages uniquement, cette carte gagne 3000 ATK.",,,,Quick,
61370518,Crâne Archdémon d'Éclairs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2500,1200,,,,"Une fois par tour, durant votre Standby Phase, vous devez payer 500 LP (ceci est obligatoire), ou cette carte est détruite. Lors de la résolution d'un effet de carte de l'adversaire qui cible cette carte, lancez un dé à six faces et annulez l'effet si le résultat est 1, 3 ou 6, et si vous le faites, détruisez la carte.",,,,Maintenance cost/Continuous,
40737112,Magicien Sombre du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 8,2800,2600,,,,"Durant la End Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez cibler 1 Magie dans votre Cimetière ; ajoutez-la à votre main. Vous ne pouvez utiliser cet effet de ""Magicien Sombre du Chaos"" qu'une fois par tour. Si cette carte détruit un monstre de l'adversaire au combat, après le calcul des dommages : bannissez le monstre de l'adversaire. Si cette carte face recto va quitter le Terrain, bannissez-la à la place.",Spell Card,,Adds from Graveyard to hand/Activates when it destroys a monster by battle,Trigger/Condition/Unclassified,
25551951,Dragon à Recul,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 6,2300,1200,,,,Une fois par tour : vous pouvez cibler 1 carte contrôlée par votre adversaire ; lancez une pièce 3 fois et détruisez la cible si min. 2 des résultats sont face.,,,,Ignition,
04929256,Mobius le Monarque de Glace,,EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
88753985,Renard Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 2,300,200,,,,"Durant la End Phase, si cette carte a été détruite au combat et envoyée au Cimetière ce tour et qu'elle était face recto au début de la Damage Step : Invoquez Spécialement cette carte depuis le Cimetière. Cette carte face recto ne peut pas être Sacrifiée pour une Invocation Sacrifice.",,,Activates from your Graveyard,Trigger/Continuous,
12538374,Grenouille d'Arbre,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 1,100,100,,,,"Une fois par tour, durant votre Standby Phase, si cette carte est dans votre Cimetière et que vous ne contrôlez pas ""Grenouille d'Arbre"" : vous pouvez Invoquer Spécialement cette carte. Vous ne devez contrôler aucun Magie/Piège pour activer et résoudre cet effet.",,,Activates from your Graveyard,Trigger/Condition,
85520851,Tyranno Super-Conducteur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dinosaure/Effet],,,,,Niveau 8,3300,1400,,,,Une fois par tour : vous pouvez Sacrifier 1 monstre ; infligez 1000 points de dommages à votre adversaire. Cette carte ne peut pas déclarer d'attaque le tour où cet effet est activé.,,,Tributes for cost,Ignition/Condition,
44330098,"Gorz, l'Émissaire des Ténèbres",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 7,2700,2500,,,,"Lorsque vous recevez des dommages d'une carte possédée par votre adversaire : vous pouvez Invoquer Spécialement cette carte depuis votre main. Vous ne devez contrôler aucune carte pour activer et résoudre cet effet. Lorsque cette carte est Invoquée Spécialement par son effet : activez l'effet approprié, selon le type des dommages.●Dommages de combat : Invoquez Spécialement 1 ""Jeton Émissaire des Ténèbres"" (Elfe/LUMIÈRE/Niveau 7/ATK ?/DEF ?). Son ATK/DEF sont chacune égales au montant des dommages de combat que vous avez reçus.●Dommages d'effet : Infligez des dommages à votre adversaire égaux aux dommages que vous avez reçus.",,,Activates upon Special Summon,Trigger/Condition,
73125233,"Raiza, le Monarque de la Tempête",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 6,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 carte sur le Terrain ; placez la cible au-dessus du Deck.,,,Activates upon Tribute Summon/Places cards from the player's field on the top of the Deck/Returns from your opponent's field to your opponent's Deck,Trigger,
79473793,Dragon de la Nuit Blanche,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Durant le tour de chaque joueur, lorsqu'une Carte Magie/Piège qui cible cette carte est activée : annulez l'activation, et si vous le faites, détruisez-la. Lorsqu'un autre monstre face recto que vous contrôlez est ciblé par une attaque : vous pouvez envoyer 1 Carte Magie/Piège que vous contrôlez au Cimetière ; l'attaque cible désormais cette carte.",,,Sends from your hand to your Graveyard/Sends from hand to Graveyard for cost,Quick/Trigger,
09748752,"Caius, le Monarque des Ombres",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,1000,,,,"Si cette carte est Invoquée par Sacrifice : ciblez 1 carte sur le Terrain ; bannissez la cible, et si vous le faites, infligez 1000 points de dommages à votre adversaire si c'est un monstre TÉNÈBRES.",DARK,DARK,Activates upon Tribute Summon,Trigger,
98777036,Tragoedia,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,10,?,?,,,,"When you take battle damage: You can Special Summon this card from your hand. Gains 600 ATK/DEF for each card in your hand. Once per turn: You can send 1 monster from your hand to the GY, then target 1 face-up monster your opponent controls with the same Level the sent monster had in the hand; take control of that face-up monster. Once per turn: You can target 1 monster in your GY; this card's Level becomes the same as that target's, until the end of this turn.",,,Activates if you take battle damage/Activates from your hand/Sends from your hand to your Graveyard for cost/Changes control,Trigger/Continuous/Ignition,
None,"Obelisk, le Tourmenteur",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet],,,,,Niveau 10,4000,4000,,,,"Nécessite 3 Sacrifices pour son Invocation Normale (non Posable Normalement). L'Invocation Normale de cette carte ne peut pas être annulée. Lorsqu'elle est Invoquée Normalement, les cartes et les effets ne peuvent pas être activés. Aucun joueur ne peut cibler cette carte avec des effets de carte. Une fois par tour, durant la End Phase, si cette carte a été Invoquée Spécialement : envoyez-la au Cimetière. Vous pouvez Sacrifier 2 monstres ; détruisez tous les monstres contrôlés par votre adversaire. Cette carte ne peut pas déclarer d'attaque le tour où cet effet est activé.",,,Sends itself from field to Graveyard/Tributes for cost,Summon/Unclassified/Continuous/Trigger/Ignition/Condition,
05556499,Forteresse Méchabot,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 7,2500,1600,,,,"Vous pouvez défausser un ou plusieurs monstres Machine dont le Niveau total est égal à min. 8, puis Invoquez Spécialement cette carte (depuis votre main ou Cimetière). Si cette carte est détruite au combat et envoyée au Cimetière : ciblez 1 carte contrôlée par votre adversaire ; détruisez la cible. Avant la résolution d'un effet de monstre de l'adversaire qui cible cette carte face recto, regardez la main de votre adversaire et défaussez-lui 1 carte.",Machine,Effect Monster,Activates from your hand/Activates from your Graveyard/Discards for cost/Activates if destroyed by battle/Reveals your opponent's hand/Your opponent discards,Unclassified/Trigger/Continuous,
