Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23995346,Dragon Ultime aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Fusion],,,,,Niveau 12,4500,3800,,,,"Dragon Blanc aux Yeux Bleus + ""Dragon Blanc aux Yeux Bleus"" + ""Dragon Blanc aux Yeux Bleus""",,,,,
53567095,Attaque d'Icare,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Sacrifiez 1 monstre Bête Ailée, puis ciblez 2 cartes sur le Terrain ; détruisez-les.",Winged Beast,,Tributes for cost,Cost/Effect,
34487429,"Ruines Arc-en-ciel, la Cité Ancienne",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Vous devez avoir autant de cartes ""Bête Cristalline"" dans votre Zone Magie & Piège pour activer et résoudre ces effets.●1+ : Cette carte ne peut pas être détruite par des effets de carte.●2+ : Une fois par tour (celui de l'adversaire inclus), vous pouvez diviser par deux les dommages de combat que vous recevez.●3+ : Lorsqu'une Carte Magie/Piège est activée : vous pouvez envoyer 1 monstre ""Bête Cristalline"" que vous contrôlez au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la.●4+ : Une fois par tour, durant votre Main Phase : vous pouvez piocher 1 carte.●5 : Une fois par tour, durant votre Main Phase : vous pouvez cibler 1 carte ""Bête Cristalline"" dans votre Zone Magie & Piège ; Invoquez Spécialement la cible.",Supports archetypes /Crystal Beast,,Sends from your field to your Graveyard for cost/You draw cards,Condition/Continuous-like/Quick-like/Ignition-like,
88307361,Cœlacanthe le Roi des Mers Millénaire,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 7,2800,2200,,,,"(Cette carte n'est pas traitée comme carte ""Millénaire"".)Une fois par tour : vous pouvez défausser 1 carte ; Invoquez Spécialement autant de monstres Poisson de max. Niveau 4 que possible depuis votre Deck, mais ils ne peuvent pas déclarer d'attaque et leurs effets sont annulés. Lorsqu'une carte ou un effet qui cible cette carte sur le Terrain est activé (Effet Rapide) : vous pouvez Sacrifier 1 autre monstre Poisson ; annulez l'effet, et si vous le faites, détruisez la carte.",Fish,,Discards for cost/Tributes for cost,Ignition/Quick,
69031175,Aile Noire - Maître des Armures,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet],,,,,Niveau 7,2500,1500,,"1 Syntoniseur ""Aile Noire"" + 1+ monstre non-Syntoniseur",,"Non destructible au combat, et vous ne recevez aucun dommage de combat d'attaques impliquant cette carte. À la fin de la Damage Step, si cette carte a attaqué un monstre : vous pouvez placer 1 Compteur Cuirasse sur le monstre (max. 1). Vous pouvez retirer tous les Compteurs Cuirasse des monstres de votre adversaire ; jusqu'à la fin de ce tour, l'ATK/DEF de ces monstres qui avaient des Compteurs Cuirasse deviennent 0.",Supports archetypes /Blackwing,,,Continuous/Trigger/Ignition,
14464864,"Gleipnir, Chaînes de Fenrir",Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ajoutez 1 monstre ""Nordique"" depuis votre Deck à votre main.",Supports archetypes /Nordic,,Adds from Deck to hand,Effect,
39552864,Sphère Mystique Lumineuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal],,,,,Niveau 2,500,500,,,,"Une âme de lumière recouverte d'une aura mystique. Si vous apercevez sa forme magnifique, votre souhait sera exaucé.",,,,,
79229522,Technochimère le Dragon Forteresse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Fusion／Effet],,,,,Niveau 8,0,0,,Cyber Dragon + 1+ monstre Machine,,Non utilisable comme Matériel Fusion. Doit d'abord être Invoquée Spécialement (depuis votre Extra Deck) en envoyant les cartes ci-dessus depuis au moins l'un des Terrains au Cimetière. L'ATK d'origine de cette carte devient 1000 x le nombre de Matériels utilisés pour son Invocation Spéciale.,Machine,Cyber Dragon/Machine,Sends Fusion Materials for Contact Fusion to Graveyard,Condition/Summon/Continuous,
83039729,Grand Maître des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,2100,800,,,,"Vous ne pouvez contrôler qu'1 ""Grand Maître des Six Samouraïs"". Si vous contrôlez un monstre ""Six Samouraïs"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte en votre possession est détruite par un effet de carte de l'adversaire : ciblez 1 monstre ""Six Samouraïs"" dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Six Samurai,,Activates from your hand/Activates if destroyed by card effect/Returns from your Graveyard to your hand,Unclassified/Trigger,
23693634,Guerrier Colossal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 8,2800,1000,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"(Cette carte n'est pas traitée comme carte ""Guerrier"".)Gagne 100 ATK pour chaque monstre Guerrier dans les Cimetières. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez cibler 1 monstre Guerrier dans l'un des Cimetières ; Invoquez Spécialement la cible.",Warrior,Warrior,Activates from your Graveyard,Continuous/Trigger,
36687247,Rhino Rueur T.G.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1600,800,,,,"Si cette carte attaque, elle gagne 400 ATK durant la Damage Step uniquement. Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez ajouter 1 monstre ""T.G."" (""Rhino Rueur T.G."" exclu) depuis votre Deck à votre main.",Supports archetypes /T.G.,,Activates from your Graveyard/Adds from Deck to hand,Continuous/Trigger,
