Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
46123974,Garçon Geek Libromancien,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Effet],,,,,Niveau 3,800,800,,,,"Vous pouvez révéler 1 Monstre Rituel dans votre main : Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 Magie ""Libromancien"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Garçon Geek Libromancien"" qu'une fois par tour.",Supports archetypes /Libromancer,,Reveals cards in your hand/Activates upon Special Summon/Adds from Deck to hand,Ignition/Trigger/Condition,
31699677,Magikuriboh,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,1,300,200,,,,"During the Main or Battle Phase, if you took damage by battle or an opponent's card effect this turn (Quick Effect): You can send this card from your hand to the GY; Special Summon 1 ""Dark Magician"" or 1 ""Dark Magician Girl"" from your Deck or GY. If a face-up Spellcaster monster(s) you control is destroyed by battle or an opponent's card effect: You can add this card from the GY to your hand. You can only use each effect of ""Magikuriboh"" once per turn.",Dark Magician/Dark Magician Girl/Spellcaster,,Activates from your hand/Sends itself from hand to Graveyard for cost/Activates from your Graveyard/Activates if destroyed by battle/Activates if destroyed by card effect/Returns itself from Graveyard to hand,Quick/Trigger/Condition,
03078380,Timée le Dragon Uni,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2800,1800,,,,"Vous pouvez envoyer 1 monstre Magicien, ou 1 Magie/Piège qui mentionne ""Magicien Sombre"", depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Durant votre Main Phase : vous pouvez Invoquer par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel (un monstre Magicien inclus). Vous ne pouvez utiliser chaque effet de ""Timée le Dragon Uni"" qu'une fois par tour.",Spellcaster/Dark Magician/Fusion Monster,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials,Ignition/Condition,
66961194,Dictateur des D,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,"Tant que vous contrôlez un monstre ""Yeux Bleus"", vous choisissez les cibles des attaques de votre adversaire. Vous ne pouvez utiliser chacun des effets suivants de ""Dictateur des D"" qu'une fois par tour. Vous pouvez envoyer 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main ou Deck au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous pouvez défausser 1 ""Dragon Blanc aux Yeux Bleus"" ou 1 carte qui le mentionne, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Blue-Eyes,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Discards for cost,Continuous/Condition/Ignition,
66749546,Martin-Pêcheur de Création Jadeglace,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 9,2500,2500,,,,"Vous pouvez cibler 1 monstre EAU que vous contrôlez ; équipez-lui cette carte depuis votre main ou Terrain. Un monstre ""Jadeglace"" équipé avec cette carte peut attaquer tant qu'il est en Position de Défense. S'il le fait, appliquez sa DEF pour le calcul des dommages. Tant que cette carte est équipée à un monstre : vous pouvez cibler 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à la DEF du monstre équipé ; Invoquez Spécialement cette carte, et si vous le faites, renvoyez le monstre ciblé à la main. Vous ne pouvez utiliser cet effet de ""Martin-Pêcheur de Création Jadeglace"" qu'une fois par tour.",Supports archetypes /Icejade,,Equips from the player's hand to itself/Equips monsters from the player's field to itself/Returns from your opponent's field to your opponent's hand,Ignition/Unclassified/Condition,
28406301,D/D Griffon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 4,1200,1200,,,,"Si vous contrôlez un monstre ""D/D"" : vous pouvez Invoquer Spécialement cette carte depuis votre main en Position de Défense. Si cette carte est Invoquée par Pendulation : vous pouvez défausser 1 carte ""D/D"" ou ""Contrat des Ténèbres"" ; piochez 1 carte. Si cette carte est Invoquée Spécialement depuis le Cimetière : vous pouvez ajouter 1 carte ""D/D"" (""D/D Griffon"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""D/D Griffon"" qu'une fois par tour.",Supports archetypes /D/D/Dark Contract,,Activates from your hand/Activates upon Pendulum Summon/Discards for cost/You draw cards/Activates upon Special Summon/Adds from Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition/Trigger,
27383719,Lapcewell de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 6,2400,2500,,,,"Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Force-S"" (""Lapcewell de la Force-S"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Vous pouvez bannir 1 carte ""Force-S"" depuis votre main ; détruisez tous les monstres de votre adversaire dans les mêmes colonnes que vos monstres ""Force-S"". Vous ne pouvez utiliser chaque effet de ""Lapcewell de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Special Summons from your Graveyard,Trigger/Ignition/Condition,
53782828,Rétroactive de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 1,0,0,,,,"Si un monstre que vous contrôlez va être utilisé comme Matériel Lien pour un monstre ""Force-S"", cette carte dans votre main peut aussi être utilisée comme Matériel. Durant la Main Phase (Effet Rapide) : vous pouvez renvoyer cette carte à la main, et si vous le faites, Invoquez Spécialement 1 monstre ""Force-S"" de min. Niveau 2 depuis votre main. Si un monstre ""Force-S"" que vous contrôlez va bannir une ou plusieurs cartes depuis votre main pour activer son effet, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Rétroactive de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,,Unclassified/Quick/Unclassified/Condition,
52566270,"Epsilon, le Guerrier Magnétique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1300,1500,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Guerrier Magnétique"" de max. Niveau 4 (""Epsilon, le Guerrier Magnétique"" exclu) depuis votre Deck au Cimetière ; le nom de cette carte devient le nom du monstre envoyé (jusqu'à la End Phase), puis vous pouvez Invoquer Spécialement 1 monstre ""Guerrier Magnétique"" depuis votre Cimetière d'un nom différent des cartes que vous contrôlez. Vous ne pouvez utiliser cet effet de ""Epsilon, le Guerrier Magnétique"" qu'une fois par tour.",Supports archetypes /Magnet Warrior/Magna Warrior,,Activates upon Normal Summon/Activates upon Special Summon/Sends from Deck to Graveyard for cost,Trigger/Condition,
99054885,"Vénus, Agent de la Destruction",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Syntoniseur／Effet],,,,,Niveau 3,0,1600,,,,"Vous pouvez bannir 1 ""Vénus, Agent de la Création"" depuis votre Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous pouvez payer des LP en multiples de 500, puis pour chaque 500 LP payés, ciblez 1 de vos ""Sphère Mystique Lumineuse"" qui est banni ou dans votre Cimetière ; Invoquez-les Spécialement, mais placez-les au-dessous du Deck lorsqu'ils quittent le Terrain. Vous ne pouvez utiliser qu'1 effet de ""Vénus, Agent de la Destruction"" par tour, et uniquement une fois le tour.",The Agent of Creation - Venus/Mystical Shine Ball,,,Ignition/Ignition/Condition,
