Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
08124921,Jambe Droite de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe droite interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
44519536,Jambe Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe gauche interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
70903634,Bras Droit de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras droit interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
07902349,Bras Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras gauche interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
43175858,Royaume Toon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : bannissez face verso 3 cartes du dessus de votre Deck. Le nom de cette carte devient ""Monde des Toons"" tant qu'elle est dans la Zone Terrain. Votre adversaire ne peut pas cibler de monstres Toon que vous contrôlez avec des effets de carte. Si un ou plusieurs monstres Toon que vous contrôlez vont être détruits au combat ou par un effet de carte, vous pouvez bannir face verso 1 carte du dessus de votre Deck, pour chacun de ces monstres à la place.",Toon World/Toon monster,,,Effect/Continuous-like,
94259633,Le Renoncé Anima,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Lien／Effet],Lien 1,Top,,,,0,-,,,,"1 monstre de Niveau 1 (Jetons exclus)Vous pouvez cibler 1 monstre face recto pointé par cette carte ; équipez le monstre face recto à cette carte (max. 1). Vous ne pouvez utiliser cet effet de ""Le Renoncé Anima"" qu'une fois par tour. Cette carte gagne une ATK égale à celle du monstre équipé.",,,Equips monsters from the player's field to itself/Equips monsters from the opponent's field to itself,Ignition/Condition/Continuous,
38033121,Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2000,1700,,,,"Gagne 300 ATK pour chaque ""Magicien Sombre"" ou ""Magicien du Chaos Sombre"" dans les Cimetières.",Dark Magician/Magician of Black Chaos,,,Continuous,
53582587,Hommage Torrentiel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués : détruisez tous les monstres sur le Terrain.,,,,Activation requirement/Effect,
48179391,Le Sceau d'Orichalque,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres que vous contrôlez gagnent 500 ATK. Une fois par tour, cette carte ne peut pas être détruite par des effets de carte. Tant que vous contrôlez min. 2 monstres en Position d'Attaque face recto, votre adversaire ne peut pas cibler vos monstres avec la plus faible ATK avec une attaque. Si cette carte est activée : détruisez tous les monstres Invoqués Spécialement que vous contrôlez. Vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck. Vous ne pouvez activer ""Le Sceau d'Orichalque"" qu'une fois par Duel.",,,,Continuous-like/Effect/Condition,
49161188,Gilti-Gearfried le Chevalier d'Acier Magique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Fusion／Effet],,,,,Niveau 8,2700,1600,,2 monstres Guerrier d'Attributs différents,,"Une fois par tour, lorsqu'une carte ou un effet qui cible cette carte est activé (Effet Rapide) : vous pouvez annuler l'effet, et si vous le faites, détruisez 1 carte sur le Terrain. Si cette carte a été Invoquée par Fusion en utilisant uniquement des monstres sur le Terrain comme Matériel, elle peut faire une seconde attaque durant chaque Battle Phase. Une fois par tour, si cette carte combat un monstre de l'adversaire, durant le calcul des dommages (Effet Rapide) : vous pouvez bannir 1 Magie depuis votre Cimetière ; jusqu'à la fin de ce tour, cette carte gagne une ATK égale à la moitié de sa DEF actuelle.",Warrior,,,Quick/Continuous/Trigger,
57116033,Kuriboh Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,300,200,,,,"Si cette carte sur le Terrain est détruite et envoyée au Cimetière : le reste de ce tour, vous ne recevez aucun dommage de combat.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Trigger,
80312545,Ouverture des Portes des Esprits,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : ajoutez 1 ""Uria, Seigneur des Flammes Aveuglantes"", ""Hamon, Seigneur du Tonnerre Fracassant"" ou ""Raviel, Empereur des Phantasmes"", OU 1 monstre qui mentionne une de ces cartes, depuis votre Deck à votre main. Une fois par tour : vous pouvez défausser 1 carte ; Invoquez Spécialement 1 monstre Démon avec 0 ATK/DEF depuis votre Cimetière. Une fois par tour, si vous contrôlez un monstre de Niveau 10 : vous pouvez ajouter 1 Magie Continue depuis votre Cimetière à votre main. Vous ne pouvez activer qu'1 ""Ouverture des Portes des Esprits"" par tour.","Uria, Lord of Searing Flames/Hamon, Lord of Striking Thunder/Raviel, Lord of Phantasms/Fiend/Continuous Spell Card",,Adds from Deck to hand/Discards for cost/Adds from Graveyard to hand,Effect/Ignition-like/Condition,
32710364,Bête Cristalline : Escarboucle de Rubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,300,300,,,,"Lorsque cette carte est Invoquée Spécialement : vous pouvez Invoquer Spécialement autant de Cartes Monstre ""Bête Cristalline"" que possible depuis vos Zones Magie & Piège. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Crystal Beast,,Activates upon Special Summon/Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Trigger/Unclassified,
78371393,Yubel,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,10,0,0,,,,"Cannot be destroyed by battle. You take no battle damage from battles involving this card. Before damage calculation, if this face-up Attack Position card is targeted for an attack: Inflict damage to your opponent equal to that attacking monster's ATK. Once per turn, during your End Phase: Tribute 1 other monster or destroy this card. When this card is destroyed, except by its own effect: Its owner can Special Summon 1 ""Yubel - Terror Incarnate"" from their hand, Deck, or GY.",Yubel - Terror Incarnate,,Tributes as an effect/Activates if destroyed by card effect,Continuous/Trigger,
