Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
09012916,Dragon Ailes Sombres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet],,,,,Niveau 8,2800,1600,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Si vous allez recevoir des dommages d'un effet de carte, placez 1 Compteur Plumes Noires sur cette carte à la place. Cette carte perd 700 ATK pour chaque Compteur Plumes Noires sur elle. Une fois par tour : vous pouvez retirer tous les Compteurs Plumes Noires de cette carte, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; la cible perd 700 ATK pour chaque Compteur Plumes Noires retiré, et si elle le fait, infligez des dommages à votre adversaire égaux à l'ATK perdue par cet effet.",,,,Continuous/Ignition,
14017402,"Draco Equiste, Paladin Dragon",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Fusion／Effet],,,,,Niveau 10,3200,2000,,1 Monstre Synchro Dragon + 1 monstre Guerrier,,"Doit d'abord être Invoquée par Fusion. Une fois par tour : vous pouvez cibler 1 Monstre Synchro Dragon dans le Cimetière ; bannissez la cible, et si vous le faites, jusqu'à la End Phase, le nom de cette carte devient celui du monstre, et remplacez cet effet par les effets d'origine du monstre. Tant que cette carte est en Position d'Attaque, votre adversaire reçoit les dommages d'effet que vous auriez dû recevoir de ses effets de carte à la place.",Dragon/Synchro Monster/Warrior,,,Summon/Ignition/Continuous,
24857466,Van'Dalgyon le Seigneur du Dragon des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,2800,2500,,,,"Si vous annulez l'activation d'une ou plusieurs Cartes Magie/Piège de votre adversaire ou un ou plusieurs effets de monstre de votre adversaire, avec une Carte Contre-Piège (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si elle est Invoquée de cette façon, activez ces effets et résolvez dans l'ordre, selon le type des cartes annulées par le Contre-Piège :●Magie : Infligez 1500 points de dommages à votre adversaire.●Piège : Ciblez 1 carte contrôlée par votre adversaire ; détruisez la cible.●Monstre : Ciblez 1 monstre dans votre Cimetière ; Invoquez-le Spécialement.",Counter Trap Card,,,Trigger,
46668237,"Babouin Vert, le Protecteur de la Forêt",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 7,2600,1800,,,,"Lorsqu'un monstre Bête face recto que vous contrôlez est détruit et envoyé au Cimetière, tant que cette carte est dans votre main ou Cimetière (sauf durant la Damage Step) : vous pouvez payer 1000 LP ; Invoquez Spécialement cette carte.",Beast,,Activates from your Graveyard,Trigger,
57793869,Eraser le Démon de l'Enfer,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 10,?,?,,,,Non Invocable Spécialement. Uniquement Invocable/Posable Normalement en Sacrifiant 3 monstres. L'ATK/DEF de cette carte sont égales au nombre de cartes contrôlées par votre adversaire x 1000. Durant votre Main Phase : vous pouvez détruire cette carte. Si cette carte est détruite et envoyée au Cimetière : détruisez toutes les cartes sur le Terrain.,,,,Summon/Continuous/Trigger/Ignition,
72714392,Aile Noire - Vâyu l'Étendard de la Justice,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 1,800,0,,,,"Cette carte face recto sur le Terrain ne peut pas être utilisée comme Matériel Synchro. Si cette carte est dans le Cimetière : vous pouvez cibler 1 monstre non-Syntoniseur ""Aile Noire"" dans votre Cimetière ; bannissez cette carte ainsi que la cible, et si vous le faites, Invoquez Spécialement 1 Monstre Synchro ""Aile Noire"" depuis votre Extra Deck dont le Niveau est égal à la somme des Niveaux des monstres bannis, mais ses effets sont annulés.",Supports archetypes /Blackwing,,Activates from your Graveyard,Continuous/Ignition,
79229522,Technochimère le Dragon Forteresse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Fusion／Effet],,,,,Niveau 8,0,0,,Cyber Dragon + 1+ monstre Machine,,Non utilisable comme Matériel Fusion. Doit d'abord être Invoquée Spécialement (depuis votre Extra Deck) en envoyant les cartes ci-dessus depuis au moins l'un des Terrains au Cimetière. L'ATK d'origine de cette carte devient 1000 x le nombre de Matériels utilisés pour son Invocation Spéciale.,Machine,Cyber Dragon/Machine,Sends Fusion Materials for Contact Fusion to Graveyard,Condition/Summon/Continuous,
50287060,Archdémon de Gilfer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2200,2500,,,,Lorsque cette carte est envoyée au Cimetière : vous pouvez cibler 1 monstre face recto sur le Terrain ; équipez cette carte à la cible. Le monstre perd 500 ATK tant qu'il est équipé avec cette carte.,,,Activates from your Graveyard/Equips self from Graveyard,Trigger/Continuous-like,
62180201,Deadroot le Démon de l'Enfer,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 10,4000,4000,,,,Non Invocable Spécialement. Uniquement Invocable/Posable Normalement en Sacrifiant 3 monstres. L'ATK/DEF de tous les autres monstres sur le Terrain sont divisées par deux.,,,,Summon/Continuous,
65192027,Dragon Armé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 3 monstres TÉNÈBRES dans votre Cimetière. Vous pouvez bannir 1 monstre TÉNÈBRES depuis votre Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",DARK,,,Summon/Ignition,
38109772,Dragon Chevalier,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 7,2800,2300,,,,"Lorsque l'effet d'un monstre de l'adversaire qui est activé cible et détruit une ou plusieurs cartes que vous contrôlez, vous pouvez envoyer les cartes ciblées au Cimetière pour Invoquer Spécialement cette carte depuis votre main.",,Effect Monster,Activates from your hand/Sends from field to Graveyard for cost,Quick,
