Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
26202165,Sangan,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,3,1000,600,,,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,,Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
62543393,Lekunga,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Plant/Effect],,,,,4,1700,500,,,,"You can banish 2 WATER monsters from your GY; Special Summon 1 ""Lekunga Token"" (Plant/WATER/Level 2/ATK 700/DEF 700) in Attack Position.",WATER,,Banishes from Graveyard for cost/Banishes from your Graveyard,Ignition,
39180960,Pillard Rigoureux,Unlimited(OCG)/Unlimited(TCG),FEU,[Plante/Flip／Effet],,,,,Niveau 3,1600,100,,,,FLIP : Chaque joueur défausse 1 carte.Si cette carte est détruite au combat : le monstre qui l'a détruite perd 500 ATK/DEF.,,,Activates upon being flipped face-up/You discard/Your opponent discards/Discards for effect/Activates if destroyed by battle,Flip/Trigger,
51945556,"Zaborg, Le Monarque du Tonnerre",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 5,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 monstre sur le Terrain ; détruisez la cible.,,,Activates upon Tribute Summon,Trigger,
04929256,Mobius le Monarque de Glace,,EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
26205777,"Thestalos, le Monarque de la Tempête de Feu",Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 6,2400,1000,,,,"Si cette carte est Invoquée par Sacrifice : défaussez 1 carte au hasard à votre adversaire, puis, si c'était une Carte Monstre, infligez des dommages à votre adversaire égaux à son Niveau d'origine x 100.",,,Activates upon Tribute Summon/Your opponent discards,Trigger,
60229110,Grandmarg le Monarque des Roches,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 6,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 carte Posée sur le Terrain ; détruisez la cible.,,,Activates upon Tribute Summon,Trigger,
12538374,Grenouille d'Arbre,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 1,100,100,,,,"Une fois par tour, durant votre Standby Phase, si cette carte est dans votre Cimetière et que vous ne contrôlez pas ""Grenouille d'Arbre"" : vous pouvez Invoquer Spécialement cette carte. Vous ne devez contrôler aucun Magie/Piège pour activer et résoudre cet effet.",,,Activates from your Graveyard,Trigger/Condition,
71181155,Bête Fantôme Ailes-Croisées,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1300,1300,,,,"Tant que cette carte est dans le Cimetière, tous les monstres ""Bête Fantôme"" sur le Terrain gagnent 300 ATK.",Supports archetypes /Phantom Beast,,,Unclassified,
07576264,Bête Fantôme Corne-Sauvage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,0,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
