Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
97590747,La Jinn le Génie Mystique de la Lampe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1000,,,,Génie de la lampe à l'entière disposition de son maître.,,,,,
30113682,Juge,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 6,2200,1500,,,,Ce guerrier au gourdin implacable se bat jusqu'au bout et ne se rend jamais.,,,,,
62651957,Tête de Canon X,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Normal],,,,,Niveau 4,1800,1500,,,,"Monstre doté d'un puissant canon, il utilise la technique d'intégration pour mener ses combats. Il attaque la plupart du temps en s'associant ou se dissociant d'autres monstres.",,,,,
34627841,Kaibaman,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Warrior/Effect],,,,,3,200,700,,,,"You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand.",Blue-Eyes White Dragon,,Tributes itself for cost,Ignition,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
71039903,Pierre Blanche Ancienne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,600,500,,,,"Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez Invoquer Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Pierre Blanche Ancienne"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates from your Graveyard/Adds from Graveyard to hand,Trigger/Ignition/Condition,
88241506,Demoiselle aux Yeux Couleur Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'une carte ou un effet qui cible cette carte est activé (Effet Rapide) : vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Lorsque cette carte est ciblée par une attaque : vous pouvez annuler l'attaque, et si vous le faites, changez la position de combat de cette carte, puis vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Vous ne pouvez utiliser qu'1 effet de ""Demoiselle aux Yeux Couleur Bleu"" par tour, et uniquement une fois le tour.",Blue-Eyes White Dragon,,Changes battle positions,Trigger/Quick/Condition,
72855441,Protecteur avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,800,1300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 Syntoniseur LUMIÈRE de Niveau 1 depuis votre main. Vous pouvez cibler 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre main. Vous ne pouvez utiliser cet effet de ""Protecteur avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Sends from your field to your Graveyard for cost,Trigger/Ignition/Condition,
45644898,Maître avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,300,1200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Syntoniseur LUMIÈRE de Niveau 1 dans votre Cimetière ; ajoutez-le à votre main. Vous pouvez mélanger cette carte depuis votre Cimetière dans le Deck, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" (monstre envoyé exclu) depuis votre Cimetière. Vous ne pouvez utiliser cet effet de ""Maître avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Graveyard to hand/Activates from your Graveyard/Returns itself from Graveyard to Deck for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
08240199,Sage avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,1500,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 Syntoniseur LUMIÈRE de Niveau 1 (""Sage avec des Yeux de Bleu"" exclu) depuis votre Deck à votre main. Vous pouvez défausser cette carte, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Sage avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Deck to hand/Discards itself for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
