Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
81933259,Rituel du Miroir Bestial,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte est utilisée pour Invoquer Rituellement ""Miroir du Démon"". Vous devez aussi Sacrifier des monstres depuis le Terrain ou votre main dont le Niveau total est égal à min. 6.",,,Tributes as an effect,Effect,
11287364,Chevalier de Vélocité,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Syntoniseur／Effet],,,,,Niveau 3,1000,800,,,,Si cette carte est envoyée au Cimetière pour une Invocation Synchro : ciblez 1 monstre face recto contrôlé par votre adversaire ; la cible perd 500 ATK.,Synchro Monster,,Activates from your Graveyard,Trigger,
86915847,Abeille Cuirassée,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet],,,,,Niveau 4,1600,1200,,,,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, divisez par deux l'ATK de la cible.",,,,Ignition,
06602300,"Phénix de Flammes, l'Oiseau de Bombardement",Limited(OCG)/Unlimited(TCG),FEU,[Pyro/Fusion／Effet],,,,,Niveau 8,2800,2300,,1 monstre de Type Machine + 1 monstre de Type Pyro,,"Une fois par tour, durant votre Main Phase : vous pouvez infliger 300 points de dommages à votre adversaire pour chaque carte sur le Terrain. Cette carte ne peut pas attaquer durant le tour où vous activez cet effet.",Machine/Pyro,,,Ignition/Condition,
45298492,Guerrier Cicatrice,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Synchro／Effet],,,,,Niveau 5,2100,1000,,1 Syntoniseur + 1 monstre non-Syntoniseur ou plus,,"Votre adversaire ne peut cibler aucun monstre de Type Guerrier face recto (celui-ci exclu) avec une attaque. Une fois par tour, si cette carte va être détruite au combat, elle n'est pas détruite.",Warrior,,,Continuous,
55758589,Vouivre Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 7,2500,2000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : détruisez toutes les cartes Posées contrôlées par votre adversaire.,,,Activates upon Normal Summon/Activates upon Flip Summon,Trigger,
81146288,"Rosaria, l'Imposant Ange Banni (Actualisé de : Rosaria, l'Imposant Ange Déchu)",Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet],,,,,Niveau 8,2900,2400,,,,"Ni Invocable Normalement ni Posable. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 2 monstres de Type Plante de min. Niveau 7 (1 depuis votre main et 1 depuis votre Cimetière). Une fois par tour : jusqu'à la fin de ce tour, vous pouvez annuler les effets de toutes les autres cartes face recto actuellement sur le Terrain.",Plant,,,Summon/Ignition,
18631392,Ma'at,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Fairy/Effect],,,,,10,?,?,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 1 LIGHT Dragon-Type monster and 1 LIGHT Fairy-Type monster you control to the Graveyard, and cannot be Special Summoned by other ways. Once per turn: You can declare 3 card names; excavate the top 3 cards of your Deck, add any of them that you named to your hand, also send the remaining cards to the Graveyard. This card's ATK and DEF each become equal to the number of cards added to your hand by this effect x 1000.",LIGHT/Dragon/Fairy,,Sends from field to Graveyard for cost/Declares a card name/Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Summon/Ignition,
29095552,"Acid, HÉROS Masqué",Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Fusion／Effet],,,,,Niveau 8,2600,2100,,,,"Uniquement Invocable Spécialement avec ""Changement de Masque"". Lorsque cette carte est Invoquée Spécialement : détruisez autant de Magies/Pièges contrôlés par votre adversaire que possible, et si vous le faites, tous les monstres qu'il contrôle perdent 300 ATK.",Mask Change,,,Summon/Trigger,
44035031,Guerrier Gravité,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Synchro／Effet],,,,,Niveau 6,2100,1000,,1 Syntoniseur + 1 monstre non-Syntoniseur ou plus,,"Lorsque cette carte est Invoquée par Synchronisation : elle gagne 300 ATK pour chaque monstre face recto contrôlé par votre adversaire. Une fois par tour, durant la Battle Phase de votre adversaire : vous pouvez cibler 1 monstre en Position de Défense contrôlé par votre adversaire ; changez-le en Position d'Attaque face recto, et si possible, il doit aussi attaquer ce tour.",,,Activates upon Synchro Summon/Changes battle positions,Trigger/Quick,
17418744,Sanctuaire Photon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez Spécialement 2 ""Jeton Photon"" (Tonnerre/LUMIÈRE/Niveau 4/ATK 2000/DEF 0) en Position de Défense. Ces Jetons ne peuvent ni attaquer ni être utilisés comme Matériel Synchro. Vous ne pouvez pas Invoquer d'autres monstres (monstres LUMIÈRE exclus) le tour où vous activez cette carte.",LIGHT,,,Effect/Lingering/Condition,
43813459,Charge Photon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre LUMIÈRE de Type Dragon face recto que vous contrôlez est ciblé par une attaque : jusqu'à la fin de la Damage Step, la cible de l'attaque gagne une ATK égale à l'ATK du monstre attaquant.",LIGHT/Dragon,,,Activation requirement/Effect,
22061412,"L'Illumination, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Fusion／Effet],,,,,Niveau 8,2600,2100,,"1 monstre ""HÉROS Élémentaire"" + 1 monstre LUMIÈRE",,"Uniquement Invocable par Fusion et non Invocable Spécialement autrement. Cette carte gagne 300 ATK pour chacun de vos monstres ""HÉROS Élémentaire"" bannis. Lorsque cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez cibler max. 2 de vos monstres ""HÉROS Élémentaire"" bannis ; ajoutez les cibles à votre main.",Supports archetypes /Elemental HERO,,Activates from your Graveyard/Adds banished cards to the hand,Summon/Continuous/Trigger,
