Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
05818798,"Gazelle, Roi des Bêtes Mythiques",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1500,1200,,,,"Ce monstre se déplace si vite qu'il semble n'être qu'une illusion aux yeux des mortels.(Cette carte est toujours traitée comme une carte ""Bête Fantôme"".)",,,,,
75953262,Dai Grepher le Guerrier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 4,1700,1600,,,,Personne ne connaît le passé mystérieux de l'homme qui murmurait à l'oreille des dragons.,,,,,
66073051,Guerrier de Zera,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 4,1600,1600,,,,"Un guerrier errant à la recherche du Sanctuaire où obtenir le pouvoir des Seigneurs Ancestraux. Jour après jour, solitaire, il combat pour échapper aux tentations des démons maléfiques.",,,,,
60694662,Skelengel,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Fairy/Flip／Effect],,,,,2,900,400,,,,FLIP: Draw 1 card.,,,You draw cards,Flip,
31560081,Magicien de la Foi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Flip／Effet],,,,,Niveau 1,300,400,,,,FLIP : Ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main.,Spell Card,,Returns from Graveyard to hand,Flip,
40640057,Kuriboh,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,1,300,200,,,,"During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.",,,Activates from your hand/Discards itself for cost,Quick,
51371017,Princesse de Tsurugi,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Flip／Effet],,,,,Niveau 3,900,700,,,,FLIP : Infligez 500 points de dommages à votre adversaire pour chaque Carte Magie et Piège sur le Terrain.,,,Activates upon being flipped face-up,Flip,
31553716,Lance Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 4,1900,0,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants. Si cette carte attaque, elle est changée en Position de Défense à la fin de la Damage Step.",,,Changes battle positions,Continuous,
38479725,Le Cheval de Troie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1600,1200,,,,Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un monstre TERRE.,EARTH,,,Unclassified,
19523799,Ookazi,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,,,,Inflict 800 points of damage to your opponent's Life Points.,,,,Effect,
38199696,Médicament Rouge,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Augmentez vos Life Points de 500 points.,,,,Effect,
66788016,Fissure,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",,,,Effect,
79759861,Hommage aux Damnés,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Défaussez 1 carte, puis ciblez 1 monstre sur le Terrain ; détruisez-le.",,,Discards for cost,Cost/Effect,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
95281259,Le Guerrier Réincarné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.,Warrior,,Adds from Graveyard to hand,Effect,
