Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
05053103,Bœuf de Combat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1700,1000,,,,Monstre à la puissance foudroyante qui détruit ses ennemis d'un simple coup de hache.,,,,,
01184620,Kojikocy,Unlimited(OCG)/Unlimited(TCG),EARTH,[Warrior/Normal],,,,,4,1500,1200,,,,A man-hunter with powerful arms that can crush boulders.,,,,,
01784619,Uraby,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Dinosaur/Normal],,,,,4,1500,800,,,,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",,,,,
68516705,Cavalier Mystique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1300,1550,,,,"Mi-homme mi-cheval, ce monstre est réputé pour son extrême rapidité.",,,,,
24611934,Ryu-Kishin le Puissant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1600,1200,,,,Gargouille dotée de pouvoirs démoniaques. Ses serres très acérées en font un adversaire de taille.,,,,,
97590747,La Jinn le Génie Mystique de la Lampe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1000,,,,Génie de la lampe à l'entière disposition de son maître.,,,,,
62397231,Hyozanryu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Dragon/Normal],,,,,7,2100,2800,,,,A dragon created from a massive diamond that sparkles with blinding light.,,,,,
14531242,Opticlops,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Normal],,,,,4,1800,1700,,,,"A one-eyed giant that serves the ""Dark Ruler Ha Des"", it skewers its enemies with its sharp horn, shattering them to pieces.",,,,,
93346024,Le Dragon Tapi dans la Caverne,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Normal],,,,,Niveau 4,1300,2000,,,,"Un imposant dragon vivant dans une caverne. Calme de nature, il est redoutable lorsqu'il se met en colère. Selon la légende, il protègerait certains trésors.",,,,,
17985575,Seigneur des D,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,Aucun joueur ne peut cibler de monstres Dragon sur le Terrain avec des effets de carte.,Dragon,,,Continuous,
54098121,Marionnettiste Mystérieux,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1500,,,,Si un autre monstre est Invoqué Normalement ou par Flip : gagnez 500 LP.,,,,Trigger,
46461247,Maître des Pièges,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Flip／Effet],,,,,Niveau 3,500,1100,,,,"FLIP : Détruit 1 Carte Piège sur le Terrain. Si la cible de cette carte est face verso, retournez-la face recto. S'il s'agit d'une Carte Piège, elle est détruite. Sinon, retournez-la dans sa position face verso. La carte retournée n'est pas activée.",,,Activates upon being flipped face-up/Reveals face-down cards,Flip,
