Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
87796900,"Dragon Ailé, Gardien de la Forteresse N°1",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Normal],,,,,Niveau 4,1400,1200,,,,Dragon que l'on trouve généralement gardant les forteresses de montagne. On le reconnaît à son attaque sous forme de plongeon profond venu de nulle part.,,,,,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
06368038,Gaïa le Chevalier Implacable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 7,2300,2100,,,,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,,,,,
28279543,Malédiction du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 5,2000,1500,,,,Dragon malfaisant qui exploite les forces des ténèbres pour exécuter une attaque puissante.,,,,,
13429800,Grand Blanc,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Normal],,,,,Niveau 4,1600,800,,,,Requin blanc géant doté de dents acérées comme des lames de rasoir.,,,,,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
66672569,Dragon Zombie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Normal],,,,,3,1600,0,,,,A dragon revived by sorcery. Its breath is highly corrosive.,,,,,
16972957,Doma l'Ange du Silence,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Normal],,,,,Niveau 5,1600,1400,,,,Cette fée règne sur la fin de l'existence.,,,,,
48365709,Ansatsu,Unlimited(OCG)/Unlimited(TCG),EARTH,[Warrior/Normal],,,,,5,1700,1200,,,,A silent and deadly warrior specializing in assassinations.,,,,,
36304921,Fantôme Spirituel,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1400,1300,,,,"Vêtue d'un smoking noir, cette créature préside les ténèbres.",,,,,
41218256,Pince Saisissante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 3,1000,800,,,,Des bras qui s'allongent et ses pinces acérées comme des lames de rasoir font de ce monstre un adversaire redoutable.,,,,,
47060154,Clown Mystique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1500,1000,,,,Rien ne peut arrêter l'attaque folle de cette créature puissante.,,,,,
37120512,Épée de la Noire Destruction,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre TÉNÈBRES. Il gagne 400 ATK et perd 200 DEF.,DARK,DARK,,Continuous-like,
91595718,Livre d'Arts Secrets,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Un monstre de Type Magicien équipé de cette carte augmente son ATK et sa DEF de 300 points.,Spellcaster,,,Continuous-like,
84257639,Dian Keto le Maître Guérisseur,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Augmente vos Life Points de 1000 points.,,,,Effect,
46474915,Fantôme Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Normal],,,,,Niveau 4,1300,1400,,,,Cette créature lance un sort de terreur et de confusion juste avant d'attaquer ses ennemis.,,,,,
66788016,Fissure,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",,,,Effect,
04206964,Trappe,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque Normalement ou par Flip un monstre avec min. 1000 ATK : ciblez le monstre ; détruisez la cible.,,,,Activation requirement/Effect,
83887306,Attaque en Double Fourche,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Sélectionnez et détruisez 2 de vos monstres et 1 des monstres de votre adversaire.,,,,Effect,
83764718,Monster Reborn,Limited(OCG)/Limited(TCG)/Unlimited(TCGSpeed Duel)/Limited 2(UpcomingTCGSpeed Duel),SPELL,,,,,,,,,,,,Target 1 monster in either GY; Special Summon it.,,,,Effect,
17814387,Renforts,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, il gagne 500 ATK.",,,,Effect,
04031928,Changement de Cœur,Unlimited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire ; jusqu'à la End Phase, prenez-en le contrôle.",,,Changes control,Effect,
