Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
49027020,Traptrix Pudica,Unlimited(OCG)/Unlimited(TCG),EARTH,[Plant/Effect],,,,,4,900,1900,,,,"Unaffected by the effects of ""Hole"" Normal Traps. You can only use each of the following effects of ""Traptrix Pudica"" once per turn. When this card is Normal Summoned: You can add 1 ""Traptrip Garden"" from your Deck to your hand. If this card is Special Summoned: You can target 1 Special Summoned monster your opponent controls; banish it, also during the next Standby Phase, your opponent can Special Summon 1 of their banished monsters.",Traptrip Garden,Anti-supports archetypes /Hole,Activates upon Normal Summon/Adds from Deck to hand/Activates upon Special Summon,Continuous/Condition/Trigger/Trigger,
75416738,Traptrix Arachnocampa,Unlimited(OCG)/Unlimited(TCG),EARTH,[Insect/Effect],,,,,4,1300,1500,,,,"Unaffected by the effects of ""Hole"" Normal Traps. The first time each Set card in your Spell & Trap Zone would be destroyed by card effect each turn, it is not destroyed. During the Main Phase, if you control a ""Traptrix"" monster (Quick Effect): You can Special Summon this card from your hand, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Insect or Plant monsters. You can only use this effect of ""Traptrix Arachnocampa"" once per turn.",Supports archetypes /Traptrix,Anti-supports archetypes /Hole,,Continuous/Continuous/Quick/Condition,
55428242,Traptrix Atrax,Unlimited(OCG)/Unlimited(TCG),EARTH,[Insect/Effect],,,,,4,1800,1000,,,,"Unaffected by the effects of ""Hole"" Normal Traps. You can activate ""Hole"" Normal Trap Cards from your hand. The activation and effects of Normal Traps activated on your field cannot be negated.",Supports archetypes /Hole/Trap Hole ,Anti-supports archetypes /Hole/Trap Hole ,Prevents the negation of activations/Prevents the negation of card effects,Continuous,
91812341,Traptrix Myrmeleo,Unlimited(OCG)/Unlimited(TCG),EARTH,[Insect/Effect],,,,,4,1600,1200,,,,"Unaffected by the effects of ""Hole"" Normal Traps. When this card is Normal Summoned: You can add 1 ""Hole"" Normal Trap from your Deck to your hand. If this card is Special Summoned: Target 1 Spell/Trap your opponent controls; destroy that target.",Supports archetypes /Hole/Trap Hole ,Anti-supports archetypes /Hole/Trap Hole ,Adds from Deck to hand,Continuous/Trigger,
28201945,Traptrix Nepenthes,Unlimited(OCG)/Unlimited(TCG),EARTH,[Plant/Effect],,,,,4,800,2000,,,,"Unaffected by the effects of ""Hole"" Normal Traps. If you activate a ""Hole"" Normal Trap Card (except during the Damage Step): You can add to your hand, or Special Summon, 1 ""Traptrix"" monster from your Deck, except ""Traptrix Nepenthes"". You can only use this effect of ""Traptrix Nepenthes"" once per turn.",Supports archetypes /Traptrix/Hole/Trap Hole ,Anti-supports archetypes /Hole/Trap Hole ,Adds from Deck to hand,Continuous/Trigger/Condition,
45803070,Traptrix Dionaea,Unlimited(OCG)/Unlimited(TCG),EARTH,[Plant/Effect],,,,,4,1700,1100,,,,"Unaffected by the effects of ""Hole"" Normal Traps. When this card is Normal Summoned: You can target 1 ""Traptrix"" monster in your GY; Special Summon that target in Defense Position. When this card is Special Summoned: You can target 1 ""Hole"" Normal Trap in your GY; Set that target, but banish it during the End Phase of your next turn if it is still on the field. You can only use this effect of ""Traptrix Dionaea"" once per turn.",Supports archetypes /Hole/Trap Hole /Traptrix,Anti-supports archetypes /Hole/Trap Hole ,Sets from your Graveyard,Continuous/Trigger/Condition,
88078306,Genlisea Traptrix,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet],,,,,Niveau 4,1200,1600,,,,"Non affectée par les effets de Pièges Normaux ""Trappe"". Vous pouvez Sacrifier cette carte ; Posez 2 Pièges Normaux ""Trappe"" de noms différents, 1 depuis votre Deck et 1 depuis votre Cimetière, mais bannissez-les lorsqu'ils quittent le Terrain. Vous ne pouvez utiliser cet effet de ""Genlisea Traptrix"" qu'une fois par tour.",Supports archetypes /Hole/Trap Hole ,Anti-supports archetypes /Hole/Trap Hole ,Tributes itself for cost/Sets from your Deck/Sets from your Graveyard,Continuous/Ignition/Condition,
28868394,Traptrix Vesiculo,Unlimited(OCG)/Unlimited(TCG),EARTH,[Plant/Effect],,,,,4,1400,1400,,,,"Unaffected by the effects of ""Hole"" Normal Traps. You can only use 1 of the following effects of ""Traptrix Vesiculo"" per turn, and only once that turn. You can send 1 Set Trap you control to the GY; Special Summon this card from your hand. If you control no cards in your Spell & Trap Zone: You can banish this card from your GY, then target 1 ""Hole"" Normal Trap in your GY; Set it to your field.",Supports archetypes /Hole/Trap Hole ,,Activates from your hand/Sends from field to Graveyard for cost/Activates from your Graveyard/Sets from your Graveyard,Continuous/Condition/Ignition,
36956512,"Gadarla, Kaiju de la Poussière Mystérieuse",Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet],,,,,Niveau 8,2700,1600,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Une fois par tour (Effet Rapide) : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; l'ATK/DEF de tous les autres monstres sur le Terrain seront divisées par deux.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Quick,
29726552,"Kumongous, Kaiju des Fils Gluants",Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Effet],,,,,Niveau 7,2400,2500,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Lorsque votre adversaire Invoque Normalement ou Spécialement un ou plusieurs monstres (sauf durant la Damage Step) : vous pouvez retirer 2 Compteurs Kaiju depuis le Terrain ; jusqu'à la fin du prochain tour, ces monstres ne peuvent pas attaquer et leurs effets sont annulés.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters/Activates upon Normal Summon/Activates upon Special Summon,Unclassified/Trigger,
96938986,Insecte de Résonance,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Effet],,,,,Niveau 4,1000,700,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 monstre Insecte de min. Niveau 5 depuis votre Deck à votre main. Si cette carte est bannie : vous pouvez envoyer 1 monstre Insecte (""Insecte de Résonance"" exclu) depuis votre Deck au Cimetière.",Insect,,Activates from your Graveyard/Adds from Deck to hand/Sends from your Deck to your Graveyard,Trigger,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
85032782,Sauge de Fleur,Unlimited(OCG)/Unlimited(TCG),DARK,[Spellcaster/Effect],,,,,8,2900,0,,,,"You can target 1 monster you control and 1 card on the field; Special Summon this card from your hand, and if you do, destroy them. If this card is sent from the field to your GY: You can target 1 other monster in your GY; shuffle it into the Deck, then add 1 Level 1 Plant monster from your Deck or GY to your hand. You can only use each effect of ""Sauge de Fleur"" once per turn.",Plant,,Activates from your hand/Activates from your Graveyard/Returns from your Graveyard to your Deck/Adds from Deck to hand/Adds from Graveyard to hand,Ignition/Condition,
28692962,Tombée de la Nuit Violette Mekk-Chevalier,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Effet],,,,,Niveau 8,2500,2000,,,,"Si min. 2 cartes sont dans la même colonne, vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans cette colonne. Vous ne pouvez Invoquer Spécialement ""Tombée de la Nuit Violette Mekk-Chevalier"" qu'une fois par tour de cette façon. (Effet Rapide) : vous pouvez cibler 1 monstre ""Mekk-Chevalier"" que vous contrôlez ; bannissez-le (jusqu'à la Standby Phase de votre prochain tour), et si vous le faites, ajoutez 1 monstre ""Mekk-Chevalier"" (""Tombée de la Nuit Violette Mekk-Chevalier"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Tombée de la Nuit Violette Mekk-Chevalier"" qu'une fois par tour.",Supports archetypes /Mekk-Knight,,Adds from Deck to hand,Unclassified/Condition/Quick,
85103922,Moralltach - Artéfact,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 5,2100,1400,,,,"Vous pouvez Poser cette carte depuis votre main dans votre Zone Magie & Piège comme Magie. Durant le tour de votre adversaire, si cette carte Posée dans la Zone Magie & Piège est détruite et envoyée à votre Cimetière : Invoquez-la Spécialement. Si cette carte est Invoquée Spécialement durant le tour de votre adversaire : vous pouvez détruire 1 carte face recto contrôlée par votre adversaire.",,,Sets self from hand as Spell Card/Activates if destroyed while Set/Activates from your Graveyard,Unclassified/Trigger,
95929069,Main de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1400,1600,,,,"Lorsque cette carte en votre possession est détruite par une carte de votre adversaire et envoyée à votre Cimetière : vous pouvez cibler 1 Magie/Piège qu'il contrôle ; détruisez la cible, puis vous pouvez Invoquer Spécialement 1 ""Main de Feu"" depuis votre Deck.",Fire Hand,,,Trigger,
12580477,Raigeki,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,,,,Destroy all monsters your opponent controls.,,,,Effect,
75294187,Trappe Cauchemar Terrifiant,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ce tour, si votre adversaire a Invoqué Spécialement un ou plusieurs monstres : ciblez 1 monstre contrôlé par votre adversaire avec min. 2000 ATK ; détruisez-le, puis si vous avez un Piège Normal ""Trappe"" dans votre Cimetière, vous pouvez bannir 1 monstre depuis le Cimetière de votre adversaire. Vous ne pouvez activer qu'1 ""Trappe Cauchemar Terrifiant"" par tour.",Supports archetypes /Hole,,,Effect/Condition,
04206964,Trappe,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque Normalement ou par Flip un monstre avec min. 1000 ATK : ciblez le monstre ; détruisez la cible.,,,,Activation requirement/Effect,
29401950,Trappe sans Fond,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire Invoque un ou plusieurs monstres avec min. 1500 ATK : détruisez ces monstres avec min. 1500 ATK, et si vous le faites, bannissez-les.",,,,Activation requirement/Effect,
