Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
38517737,Dragon Blanc Alternatif aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en révélant ""Dragon Blanc aux Yeux Bleus"" dans votre main. Vous ne pouvez Invoquer Spécialement ""Dragon Blanc Alternatif aux Yeux Bleus"" qu'une fois par tour de cette façon. Le nom de cette carte devient ""Dragon Blanc aux Yeux Bleus"" tant qu'elle est sur le Terrain ou dans le Cimetière. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; détruisez-le. Cette carte ne peut pas attaquer le tour où cet effet est activé.",Blue-Eyes White Dragon,,Reveals your hand for cost/Destroys your opponent's Monster Cards,Summon/Unclassified/Ignition/Condition,
64202399,Dragon des Abysses aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2500,2500,,,,"Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 Magie Rituelle ou 1 ""Polymérisation"" depuis votre Deck à votre main. Durant votre End Phase : vous pouvez ajouter 1 monstre Dragon de min. Niveau 8 depuis votre Deck à votre main. Vous pouvez bannir cette carte depuis votre Cimetière ; tous les monstres Dragon de min. Niveau 8 que vous contrôlez gagnent 1000 ATK. Vous ne pouvez utiliser chaque effet de ""Dragon des Abysses aux Yeux Bleus"" qu'une fois par tour, et pouvez uniquement les activer tant que ""Dragon Blanc aux Yeux Bleus"" est sur votre Terrain ou dans votre Cimetière.",Ritual Spell Card/Polymerization/Dragon/Blue-Eyes White Dragon,,Activates upon Special Summon/Adds from Deck to hand/Activates from your Graveyard,Trigger/Ignition/Condition,
45467446,Esprit du Dragon Blanc,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2500,2000,,,,"(Cette carte est toujours traitée comme carte ""Yeux Bleus"".)Cette carte est traitée comme Monstre Normal tant qu'elle est dans la main ou Cimetière. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 Magie/Piège contrôlé par votre adversaire ; bannissez-le. Si votre adversaire contrôle un monstre (Effet Rapide) : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main.",Blue-Eyes White Dragon,,Activates upon Normal Summon/Activates upon Special Summon/Tributes itself for cost,Condition/Unclassified/Trigger/Quick,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
71039903,Pierre Blanche Ancienne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,600,500,,,,"Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez Invoquer Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Pierre Blanche Ancienne"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates from your Graveyard/Adds from Graveyard to hand,Trigger/Ignition/Condition,
08240199,Sage avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,1500,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 Syntoniseur LUMIÈRE de Niveau 1 (""Sage avec des Yeux de Bleu"" exclu) depuis votre Deck à votre main. Vous pouvez défausser cette carte, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Sage avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Deck to hand/Discards itself for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
45644898,Maître avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,300,1200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Syntoniseur LUMIÈRE de Niveau 1 dans votre Cimetière ; ajoutez-le à votre main. Vous pouvez mélanger cette carte depuis votre Cimetière dans le Deck, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" (monstre envoyé exclu) depuis votre Cimetière. Vous ne pouvez utiliser cet effet de ""Maître avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Graveyard to hand/Activates from your Graveyard/Returns itself from Graveyard to Deck for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
66961194,Dictateur des D,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,"Tant que vous contrôlez un monstre ""Yeux Bleus"", vous choisissez les cibles des attaques de votre adversaire. Vous ne pouvez utiliser chacun des effets suivants de ""Dictateur des D"" qu'une fois par tour. Vous pouvez envoyer 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main ou Deck au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous pouvez défausser 1 ""Dragon Blanc aux Yeux Bleus"" ou 1 carte qui le mentionne, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Blue-Eyes,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Discards for cost,Continuous/Condition/Ignition,
27204311,"Nibiru, l'Être Primitif",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 11,3000,600,,,,"Durant la Main Phase, si votre adversaire a Invoqué Normalement ou Spécialement min. 5 monstres ce tour (Effet Rapide) : vous pouvez Sacrifier autant de monstres face recto sur le Terrain que possible, et si vous le faites, Invoquez Spécialement cette carte depuis votre main, puis Invoquez Spécialement 1 ""Jeton Être Primitif"" (Rocher/LUMIÈRE/Niveau 11/ATK ?/DEF ?) sur le Terrain de votre adversaire. (L'ATK/DEF de ce Jeton deviennent la somme des ATK/DEF d'origine des monstres Sacrifiés.) Vous ne pouvez utiliser cet effet de ""Nibiru, l'Être Primitif"" qu'une fois par tour.",,,Activates from your hand/Tributes as an effect/Tributes opponent's monsters,Quick/Condition,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
