Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
62991792,Diapason de l'Âme,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Syntoniseur／Effet],,,,,Niveau 3,500,200,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 monstre Démon de max. Niveau 4 (""Diapason de l'Âme"" exclu) depuis votre Deck à votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro TÉNÈBRES exclus) depuis l'Extra Deck le reste de ce tour. Si une ou plusieurs cartes que vous contrôlez vont être détruites par un effet de carte, tant que vous contrôlez ""Dragon Rouge Archdémon"" ou un Monstre Synchro qui le mentionne, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Diapason de l'Âme"" qu'une fois par tour.",Fiend/DARK/Synchro Monster/Red Dragon Archfiend,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand,Trigger/Unclassified/Condition,
97021916,Diapason des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 3,1300,300,,,,"La première fois que cette carte va être détruite au combat chaque tour, elle n'est pas détruite.",,,,Continuous,
05780210,Créateur de Diapason,Unlimited(OCG)/Unlimited(TCG),VENT,[Démon/Syntoniseur／Effet],,,,,Niveau 3,800,600,,,,"Si vous contrôlez un Monstre Synchro de min. Niveau 8, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",Synchro Monster,,Activates from your hand,Summon,
40975574,Diapason Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Syntoniseur／Effet],,,,,Niveau 2,600,200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre de max. Niveau 4 depuis votre main. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre face recto sur le Terrain ; gagnez des LP égaux à son ATK. Vous ne pouvez utiliser cet effet de ""Diapason Rouge"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
14886469,Sprinteur Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 4,1700,1200,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement tant que vous ne contrôlez aucun autre monstre : vous pouvez Invoquer Spécialement 1 Syntoniseur Démon de max. Niveau 3 depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Sprinteur Rouge"" qu'une fois par tour.",Fiend/Tuner monster,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
45313993,Warg Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 6,1400,2200,,,,"Lorsque vous Invoquez Normalement un monstre ""Diapason"" : vous pouvez Invoquer Spécialement cette carte depuis votre main, mais son ATK sera divisée par deux.",Supports archetypes /Resonator,,Activates upon Normal Summon,Trigger,
35058857,Étoilune le Roi Magicien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,900,600,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un Monstre Synchro TÉNÈBRES. Si vous contrôlez un Syntoniseur, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 autre monstre face recto que vous contrôlez ou dans votre Cimetière ; jusqu'à la fin de ce tour, le Niveau de cette carte devient le même que celui du monstre, et aussi, vous ne pouvez pas Invoquer Spécialement, sauf par Invocation Synchro.",Tuner monster/DARK/Synchro Monster,,Activates upon Normal Summon/Activates upon Special Summon,Condition/Summon/Trigger,
71821687,"Ascator, Marchaube",Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 5,2300,1500,,,,"Vous pouvez défausser 1 carte ; Invoquez Spécialement cette carte depuis votre main en Position de Défense, puis vous pouvez Invoquer Spécialement 1 ""Fourmi de Feu Ascator"" depuis votre main ou Deck. Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro exclus) depuis l'Extra Deck le tour où vous activez cet effet. Vous ne pouvez utiliser cet effet de ""Ascator, Marchaube"" qu'une fois par tour.",Fire Ant Ascator/Synchro Monster,,Activates from your hand/Discards for cost,Ignition/Condition,
78010363,Sorcière de la Forêt Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1100,1200,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : ajoutez 1 monstre avec max. 1500 DEF depuis votre Deck à votre main, mais vous ne pouvez activer ni de cartes ni d'effets de cartes de ce nom le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Sorcière de la Forêt Noire"" qu'une fois par tour.",,,Adds from Deck to hand/Activates from your Graveyard,Trigger/Condition,
51779204,Force de la Puissance Absolue,,MAGIE,,,,,,,,,,,,"Ciblez 1 ""Dragon Rouge Archdémon"" que vous contrôlez ; si le monstre que vous contrôlez combat un monstre de l'adversaire ce tour, appliquez ces effets jusqu'à la fin de la Damage Step.●Il gagne 1000 ATK.●Votre adversaire ne peut activer ni de cartes ni d'effets.●S'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.●Les dommages de combat reçus par votre adversaire de ce combat sont doublés.",Red Dragon Archfiend,,,,
98173209,Gaïa Cramoisie,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Main Phase : vous pouvez ajouter 1 ""Dragon Rouge Archdémon"" ou 1 carte qui le mentionne (""Gaïa Cramoisie"" exclu) depuis votre Deck ou Cimetière à votre main. Lorsque votre ""Dragon Rouge Archdémon"" déclare une attaque : vous pouvez changer tous les monstres contrôlés par votre adversaire en Position de Défense face verso. Si un ou plusieurs monstres sur le Terrain sont détruits au combat ou par un effet de carte : vous pouvez Invoquer Spécialement 1 ""Dragon Rouge Archdémon"" depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Gaïa Cramoisie"" qu'une fois par tour.",Red Dragon Archfiend,,Adds from Deck to hand/Adds from Graveyard to hand/Activates upon attack declaration/Changes battle positions/Flips monsters face-down,Ignition-like/Trigger-like/Trigger-like/Condition,
15576074,Diapason à Réaction,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 2 monstres ""Diapason"" dans votre Cimetière ; ajoutez 1 monstre de Niveau 4 depuis votre Deck à votre main, et si vous le faites, renvoyez les cibles au Deck.",Supports archetypes /Resonator,,Adds from Deck to hand/Returns from your Graveyard to your Deck,Effect,
08559524,Ordre du Diapason,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Défaussez 1 monstre ""Diapason"" ; ajoutez 1 monstre Démon de max. Niveau 4 depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Ordre du Diapason"" par tour.",Supports archetypes /Resonator,,Discards for cost/Adds from Deck to hand,Effect/Condition,
10723472,Âme Enflammée,,MAGIE,,,,,,,,,,,,"Si vous contrôlez un Monstre Synchro de min. Niveau 8 : ajoutez 1 carte (""Âme Enflammée"" exclu) depuis votre Cimetière à votre main, puis, immédiatement après la résolution de cet effet, Invoquez par Synchronisation en utilisant des monstres que vous contrôlez comme Matériel. Le reste de ce tour après la résolution de cette carte, votre adversaire ne peut pas cibler de Monstres Synchro sur le Terrain avec des effets de carte. Vous ne pouvez activer qu'1 ""Âme Enflammée"" par tour.",Synchro Monster,,Adds from your Graveyard to your hand,Activation requirement/Effect/Lingering/Condition,
49238328,Pot de l'Extravagance,Semi-Limited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Au début de votre Main Phase 1 : bannissez face verso 3 ou 6 cartes face verso au hasard depuis votre Extra Deck ; piochez 1 carte pour toutes les 3 cartes qui ont été bannies. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas piocher de cartes par des effets de carte.",,,You draw cards,Activation requirement/Cost/Effect,
50056656,Zone Rouge,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire active une carte ou un effet tant que vous contrôlez ""Dragon Rouge Archdémon"" ou un Monstre Synchro qui le mentionne : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Vous pouvez cibler 1 de vos Monstres Synchro TÉNÈBRES Dragon bannis ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Zone Rouge"" qu'une fois par tour.",Red Dragon Archfiend/Synchro Monster/DARK/Dragon,,,Quick-like/Quick-like/Condition,
27503418,Synchro du Roi,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque sur un Monstre Synchro que vous contrôlez : annulez l'attaque, puis vous pouvez appliquer le reste de l'effet de cette carte. Bannissez le Monstre Synchro que vous contrôlez et 1 Syntoniseur depuis votre Cimetière, et si vous le faites, Invoquez Spécialement 1 Monstre Synchro depuis votre Extra Deck, dont le Niveau est égal à la somme des Niveaux que les monstres bannis avaient. (Ceci est traité comme une Invocation Synchro.)",Synchro Monster/Tuner monster,,Activates upon attack declaration,Activation requirement/Effect,
68490573,Place à la Résistance,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un Monstre Synchro Dragon est sur le Terrain : Invoquez Spécialement max. 2 monstres, qui sont des monstres ""Diapason"" et/ou monstres Dragon de Niveau 1, depuis votre Deck. Lorsqu'un effet de monstre est activé, tant que vous contrôlez un Monstre Synchro TÉNÈBRES Dragon de min. Niveau 10 : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'effet, et si vous le faites, 1 Monstre Synchro que vous contrôlez gagne 2000 ATK jusqu'à la fin du prochain tour. Vous ne pouvez utiliser chaque effet de ""Place à la Résistance"" qu'une fois par tour.",Supports archetypes /Resonator,,Activates from your Graveyard,Effect/Quick-like/Condition,
50078509,Chaîne Démoniaque,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 Monstre à Effet sur le Terrain ; annulez les effets du monstre face recto tant qu'il est sur le Terrain, et aussi, le monstre face recto ne peut pas attaquer. Lorsqu'il est détruit, détruisez cette carte.",,,,Continuous-like,
