Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
11801343,Ramasse-Miettes,Unlimited(OCG)/Unlimited(TCG),VENT,[Cyberse/Effet],,,,,Niveau 2,100,1900,,,,"Vous pouvez cibler 1 autre monstre Cyberse que vous contrôlez qui a commencé le Duel dans le Main Deck ; renvoyez-le à la main, et si vous le faites, Invoquez Spécialement 1 monstre Cyberse de même Niveau, mais de nom différent, depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Ramasse-Miettes"" qu'une fois par tour.",Cyberse,,Returns from your field to your hand,Ignition/Condition,
53309998,Archiveur des Mers,Unlimited(OCG)/Unlimited(TCG),EAU,[Cyberse/Effet],,,,,Niveau 3,300,2100,,,,"Si un monstre est Invoqué Normalement ou Spécialement dans une zone pointée par un Monstre Lien (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière (si elle y était lorsque l'Invocation est résolue) ou main (même si elle n'y était pas), mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Archiveur des Mers"" qu'une fois par tour.",Link Monster,Link Monster,Activates from your Graveyard/Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
43583400,Antialian,Unlimited(OCG)/Unlimited(TCG),EARTH,[Cyberse/Effect],,,,,4,1900,600,,,,"Once per turn, if this card battled a monster this Battle Phase, you can (Quick Effect): Immediately after this effect resolves, Normal Summon 1 Cyberse monster. If this face-up card you control leaves the field because of an opponent's card effect: Draw 1 card.",Cyberse,,Activates when it leaves the field/You draw cards,Quick/Trigger,
89571015,Tempête Cipher,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 4,2400,0,,,,"Ne peut ni attaquer directement, ni attaquer de monstres dans la Zone Monstre Extra. Non affectée par des effets de monstre activés dans la Zone Monstre Extra. Non destructible au combat avec des monstres dans la Zone Monstre Extra.",,,,Continuous,
59546797,Juragedo,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,4,1700,1300,,,,"During the Battle Step (Quick Effect): You can Special Summon this card from your hand, and if you do, gain 1000 LP. You can only use this effect of ""Juragedo"" once per turn. (Quick Effect): You can Tribute this card, then target 1 face-up monster you control; it gains 1000 ATK until the end of the next turn.",,,Activates from your hand/Tributes itself for cost,Quick/Condition,
67922702,Bête Fantôme Méca Louplonge,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1700,1200,,,,"Si cette carte est Invoquée Normalement : Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Machine/VENT/Niveau 3/ATK 0/DEF 0). Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Une fois par combat, durant la Damage Step, lorsque cette carte combat un monstre de l'adversaire (Effet Rapide) : vous pouvez Sacrifier 1 Jeton ; jusqu'à la fin de ce tour, cette carte gagne 800 ATK.",Token Monster,,Activates upon Normal Summon/Tributes for cost,Trigger/Continuous,
10028593,Tengu Réincarné,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,600,,,,"Si cette carte face recto quitte le Terrain : Invoquez Spécialement 1 ""Tengu Réincarné"" depuis votre Deck.",,,Activates when it leaves the field,Trigger,
64034255,"Homme-Oiseau, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 3,1400,400,,,,"Vous pouvez renvoyer 1 monstre face recto que vous contrôlez à la main ; Invoquez Spécialement cette carte depuis votre main, mais bannissez-la lorsqu'elle quitte le Terrain, et aussi, elle gagne 500 ATK si le monstre renvoyé était VENT sur le Terrain.",WIND,,Activates from your hand/Returns from field to hand for cost/Returns from your field to your hand,Ignition,
32362575,Marchand Ésotérique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Insecte/Flip／Effet],,,,,Niveau 1,200,700,,,,"FLIP : Dévoilez des cartes du dessus de votre Deck jusqu'à dévoiler une Magie/Piège, puis ajoutez la carte à votre main, et aussi, envoyez les cartes restantes au Cimetière.",,,Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Flip,
27450400,Compas Cosmique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,100,300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement un nombre de ""Jeton Compas"" (Machine/TERRE/Niveau 1/ATK 0/DEF 0) inférieur ou égal au nombre de monstres contrôlés par votre adversaire.",,,Activates upon Normal Summon,Trigger,
