Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
96570609,"Aether, le Monarque Céleste",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : vous pouvez envoyer 2 Cartes Magie/Piège ""Monarque"" de noms différents depuis votre main et/ou Deck au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre avec min. 2400 ATK et 1000 DEF depuis votre Deck, mais renvoyez-le à la main durant la End Phase. Durant la Main Phase de votre adversaire, si cette carte est dans votre main : vous pouvez bannir 1 Carte Magie/Piège ""Monarque"" depuis votre Cimetière ; immédiatement après la résolution de cet effet, Invoquez par Sacrifice cette carte (ceci est un Effet Rapide).",Supports archetypes /Monarch ,,Activates upon Tribute Summon/Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard/Returns from your field to your hand,Summon/Trigger/Quick,
23064604,"Érébus, le Monarque Souterrain",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : vous pouvez envoyer 2 Cartes Magie/Piège ""Monarque"" de noms différents depuis votre main et/ou Deck au Cimetière, et si vous le faites, mélangez 1 carte depuis la main (au hasard), Cimetière ou Terrain de votre adversaire dans le Deck. Une fois par tour, durant la Main Phase de chaque joueur, si cette carte est dans votre Cimetière : vous pouvez défausser 1 Carte Magie/Piège ""Monarque"", puis ciblez 1 monstre dans votre Cimetière avec min. 2400 ATK et 1000 DEF ; ajoutez-le à votre main.",Supports archetypes /Monarch ,,Activates upon Tribute Summon/Sends from your hand to your Graveyard for cost/Sends from your Deck to your Graveyard for cost/Returns from your opponent's hand to your opponent's Deck/Returns from your opponent's field to your opponent's Deck/Returns from your opponent's Graveyard to your opponent's Deck/Discards for cost/Adds from Graveyard to hand/Activates from your Graveyard,Summon/Trigger/Quick,
59463312,"Eidos, l'Écuyer Souterrain",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 2,800,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : durant votre Main Phase ce tour, vous pouvez Invoquer par Sacrifice 1 monstre, en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre avec 800 ATK/1000 DEF dans votre Cimetière (""Eidos, l'Écuyer Souterrain"" exclu) ; Invoquez-le Spécialement en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Eidos, l'Écuyer Souterrain"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates upon Special Summon/Activates from your Graveyard,Trigger/Ignition/Condition,
95457011,"Idea, l'Écuyer Céleste",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 1,800,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez Invoquer Spécialement 1 monstre avec 800 ATK/1000 DEF (""Idea, l'Écuyer Céleste"" exclu) depuis votre Deck en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck le reste de ce tour. Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 de vos Magies/Pièges ""Monarque"" bannis ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Idea, l'Écuyer Céleste"" qu'une fois par tour.",Supports archetypes /Monarch ,,Activates upon Normal Summon/Activates upon Special Summon/Activates from your Graveyard/Returns the player's banished cards to the hand,Trigger/Condition,
09748752,"Caius, le Monarque des Ombres",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,1000,,,,"Si cette carte est Invoquée par Sacrifice : ciblez 1 carte sur le Terrain ; bannissez la cible, et si vous le faites, infligez 1000 points de dommages à votre adversaire si c'est un monstre TÉNÈBRES.",DARK,DARK,Activates upon Tribute Summon,Trigger,
51945556,"Zaborg, Le Monarque du Tonnerre",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 5,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 monstre sur le Terrain ; détruisez la cible.,,,Activates upon Tribute Summon,Trigger,
60229110,Grandmarg le Monarque des Roches,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 6,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 carte Posée sur le Terrain ; détruisez la cible.,,,Activates upon Tribute Summon,Trigger,
04929256,Mobius le Monarque de Glace,,EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
26205777,"Thestalos, le Monarque de la Tempête de Feu",Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 6,2400,1000,,,,"Si cette carte est Invoquée par Sacrifice : défaussez 1 carte au hasard à votre adversaire, puis, si c'était une Carte Monstre, infligez des dommages à votre adversaire égaux à son Niveau d'origine x 100.",,,Activates upon Tribute Summon/Your opponent discards,Trigger,
73125233,"Raiza, le Monarque de la Tempête",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 6,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 carte sur le Terrain ; placez la cible au-dessus du Deck.,,,Activates upon Tribute Summon/Places cards from the player's field on the top of the Deck/Returns from your opponent's field to your opponent's Deck,Trigger,
