Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
55737443,"Exxod, Maître de la Garde",Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 8,0,4000,,,,"Cette carte ne peut ni être Invoquée par Invocation Normale ni être Posée. Cette carte ne peut être Invoquée par Invocation Spéciale excepté en sacrifiant 1 monstre sur votre Terrain qui inclut ""sphinx"" dans son nom de carte. Tant que cette carte est face recto sur le Terrain, à chaque fois qu'un monstre TERRE est Invoqué par Invocation Flip, infligez 1000 points de dommages aux Life Points de votre adversaire.",Supports archetypes /sphinx,EARTH,Activates upon Flip Summon,Summon/Trigger,
97017120,Rat Géant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1400,1450,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre TERRE avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,EARTH,,Activates from your Graveyard,Trigger,
40695128,Maharaghi,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Spirit／Effect],,,,,4,1200,1700,,,,"This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that this card is Normal Summoned or flipped face-up. If this card is Normal Summoned or flipped face-up, look at 1 card on the top of your Deck during your next Draw Phase (before you draw), and return the card to the top or the bottom of your Deck.",,,Returns itself from field to hand/Activates upon Normal Summon/Activates upon being flipped face-up/Looks at cards from the top of your Deck/Changes your Deck order/Places cards from the player's Deck on the top of the Deck/Places cards from the player's Deck on the bottom of the Deck,Summon/Trigger,
40659562,Sphinx Gardien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 5,1700,2400,,,,Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque cette carte est Invoquée par Flip : renvoyez tous les monstres contrôlés par votre adversaire à la main.,,,Changes battle positions/Flips itself face-down/Activates upon Flip Summon/Returns from field to hand,Ignition/Trigger,
47606319,Gigantes,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,4,1900,1300,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 EARTH monster from your GY. If this card is destroyed by battle and sent to the GY: Destroy all Spells and Traps on the field.,EARTH,,Activates if destroyed by battle/Activates from your Graveyard,Summon/Trigger,
31812496,Statue de Pierre des Aztèques,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 4,300,2000,,,,Tous les dommages de combat que votre adversaire reçoit lorsqu'il attaque ce monstre sont doublés.,,,,Continuous,
52323207,Golem Sentinelle,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,800,1800,,,,Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque cette carte est Invoquée par Flip : ciblez 1 monstre contrôlé par votre adversaire ; renvoyez la cible à la main.,,,Changes battle positions/Flips itself face-down/Activates upon Flip Summon/Returns from your opponent's field to your opponent's hand,Ignition/Trigger,
82260502,Hieracosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,6,2400,1200,,,,Your opponent cannot select a face-down Defense Position monster as an attack target.,,,,Continuous,
18654201,Criosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,6,1200,2400,,,,"When a monster is returned from the field to the owner's hand, the owner of the returned monster selects and sends 1 card in their hand to the Graveyard.",,,Activates if returned from the field to the hand/Sends from hand to Graveyard,Trigger,
45159319,Canons Intercepteurs Moai,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1100,2000,,,,Vous pouvez retourner cette carte en Position de Défense face verso une fois par tour durant votre Main Phase.,,,Flips itself face-down/Changes battle positions,Ignition,
73648243,Phalène des Sables,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 4,1000,2000,,,,Si cette carte en Position de Défense face verso est détruite et envoyée au Cimetière : Invoquez-la Spécialement et échangez son ATK/DEF d'origine.,,,Activates from your Graveyard,Trigger,
28120197,Canyon,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Field,,,"If a Rock-Type monster in Defense Position is attacked, double any Battle Damage to the controller of the attacking monster.",Rock,,,Continuous-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
72302403,Épées de Révélation de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.",,,Flips monsters face-up,Condition/Effect/Continuous-like,
97342942,Ectoplasmer,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Continuous,,,"Once per turn, during each player's End Phase: The turn player must Tribute 1 face-up monster, and if they do, inflict damage to their opponent equal to half the original ATK of the Tributed monster.",,,Tributes as an effect/Tributes opponent's monsters,Trigger-like,
87910978,Contrôle Cérébral,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 800 LP, puis ciblez 1 monstre face recto contrôlé par votre adversaire qui est Invocable/Posable Normalement ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Changes control,Cost/Effect,
59237154,Ombres Mouvantes,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Payez 300 Life Points pour mélanger les monstres en Position de Défense face verso sur votre Terrain et les remettre en Position de Défense face verso. Vous ne pouvez utiliser cet effet qu'une fois par tour.,,,Rearranges face-down cards,Ignition-like,
12607053,Waboku,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TRAP,,,,,,,,,,,,You take no battle damage this turn. Your monsters cannot be destroyed by battle this turn.,,,,Effect,
80604091,Offrande Suprême,Forbidden(OCG)/Forbidden(TCG),PIÈGE,,,,,,,,,,,,"Durant votre Main Phase ou la Battle Phase de votre adversaire : vous pouvez payer 500 LP ; immédiatement après la résolution de cet effet, Invoquez/Posez Normalement 1 monstre.",,,,Quick-like/Lingering,
59344077,Drainage Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire active une Carte Magie : il peut défausser 1 Magie pour annuler l'effet de cette carte, sinon annulez l'activation de sa Carte Magie, et si vous le faites, détruisez-la.",,,Your opponent discards,Activation requirement/Effect,
39537362,Ordalie du Voyageur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque : votre adversaire choisit 1 carte au hasard dans votre main et devine le type de carte (Monstre, Magie ou Piège), et s'il a mal deviné, renvoyez le monstre attaquant à la main.",,,Activates upon attack declaration/Declares a card type/Reveals your hand for effect/Returns from your opponent's field to your opponent's hand,Trigger-like,
94192409,Dispositif d'Évacuation Obligatoire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre sur le Terrain ; renvoyez la cible à la main.,,,Returns from field to hand,Effect,
