Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
40732515,"Endymion, le Maître des Magiciens",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 7,2700,1700,,,,"Vous pouvez Invoquer Spécialement cette carte depuis votre main ou Cimetière en retirant 6 Compteurs Magie de ""Citadelle Magique d'Endymion"" que vous contrôlez. Si elle est Invoquée de cette façon : ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main. Une fois par tour : vous pouvez défausser 1 Magie, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",Magical Citadel of Endymion/Spell Card,,Activates upon Special Summon/Adds from Graveyard to hand/Discards for cost,Unclassified/Trigger/Ignition,
02525268,"Bouclier Divin, le Chevalier Magique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1600,2000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Une fois par tour, si un ou plusieurs monstres Magicien sur le Terrain vont être détruits, vous pouvez retirer 1 Compteur Magie depuis votre Terrain pour chacun de ces monstres à la place.",Spellcaster,,Activates upon Normal Summon,Trigger/Continuous,
05640330,Hannibal Nécromancien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1400,1800,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Piège face recto sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger/Ignition,
00423585,Prêtre Invocateur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,800,1600,,,,"Tant que cette carte est face recto sur le Terrain, elle ne peut pas être Sacrifiée. Si cette carte est Invoquée Normalement ou par Flip : changez cette carte en Position de Défense. Une fois par tour : vous pouvez défausser 1 Magie ; Invoquez Spécialement 1 monstre de Niveau 4 depuis votre Deck, mais le monstre ne peut pas attaquer ce tour.",,,Activates upon Normal Summon/Activates upon Flip Summon/Cannot be Tributed/Changes battle positions/Discards for cost,Continuous/Trigger/Ignition,
71413901,"Fracas, le Guerrier Magique",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1600,1000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Gagne 300 ATK pour chaque Compteur Magie sur elle. Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger/Continuous/Ignition,
70791313,Bibliothèque Magique Royale,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,0,2000,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte (max. 3) lorsque la Magie est résolue. Vous pouvez retirer 3 Compteurs Magie de cette carte ; piochez 1 carte.",,,You draw cards,Continuous/Ignition,
55424270,"Cerbère, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1400,1400,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Gagne 500 ATK pour chaque Compteur Magie sur elle. À la fin de la Battle Phase, si cette carte a combattu, retirez tous les Compteurs Magie sur elle.",,,,Continuous,
82099401,Voyante à la Boule de Cristal,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Magicien/Flip／Effet],,,,,Niveau 1,100,100,,,,"FLIP : Dévoilez les 2 cartes du dessus de votre Deck, puis ajoutez-en 1 à votre main, puis placez l'autre au-dessous de votre Deck.",,,Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Changes your Deck order/Places excavated cards on the bottom of the Deck/Places cards from your Deck on the top of the Deck,Flip,
39910367,Citadelle Magique d'Endymion,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Si une carte avec un ou plusieurs Compteurs Magie est détruite, placez ses Compteurs Magie sur cette carte. Une fois par tour, si vous allez activer un effet de carte en retirant un ou plusieurs Compteurs Magie d'une carte que vous contrôlez, vous pouvez retirer autant de Compteurs Magie de cette carte à la place. Si cette carte va être détruite, vous pouvez retirer 1 Compteur Magie de cette carte à la place.",,,,Continuous-like,
36045450,Unité des Magiciens,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez min. 2 monstres Magicien en Position d'Attaque : ciblez-en 1 ; son ATK devient 3000 jusqu'à la fin de ce tour, et aussi, le reste de ce tour après la résolution de cette carte, les autres monstres Magicien que vous contrôlez ne peuvent pas attaquer.",Spellcaster,,,Activation requirement/Effect,
