Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
10485110,Seigneur Dragon Océan - Néo-Dédale,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 8,2900,1600,,,,"Cette carte ne peut ni être Invoquée par Invocation Normale ni être Posée. Cette carte ne peut être Invoquée par Invocation Spéciale excépté en sacrifiant 1 ""Dragon-Levia - Dédale"" sur votre Terrain. Envoyez ""Umi"" de votre Terrain au Cimetière pour envoyer au Cimetière toutes les cartes dans la main des deux joueurs et sur le Terrain excepté cette carte.",Umi/Levia-Dragon - Daedalus,,Tributes for cost/Sends from field to Graveyard for cost/Sends from field to Graveyard/Sends from hand to Graveyard,Summon/Ignition,
23771716,Poisson aux 7 Couleurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Normal],,,,,Niveau 4,1800,800,,,,Aucun mortel n'a jamais réussi à capturer ce poisson arc-en-ciel très rare.,,,,,
42071342,Guerrier Serpent de Mer des Ténèbres,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Normal],,,,,Niveau 4,1800,1500,,,,"Un guerrier qui défend le monde de la Mer des Ténèbres. Il s'enorgueillit de ses prouesses au combat, tant sur la terre que dans l'eau.",,,,,
36119641,Poisson-Lune Spatial,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 4,1700,1000,,,,Un poisson-lune spatial flottant dans l'univers infini. On dit que ce fossile vivant est la résurgence d'une ancienne civilisation d'Alphard4.,,,,,
57839750,Mère Grizzly,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Bête-Guerrier/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre EAU avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,WATER,,Activates from your Graveyard,Trigger,
33184167,Génovirus,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),EAU,[Aqua/Effet],,,,,Niveau 4,1600,1000,,,,Défaussez 1 carte de votre main et déclarez 1 Type de monstre. Détruisez tous les monstres face recto du Type déclaré sur le Terrain.,,,Discards for cost/Declares a Type,Ignition,
00218704,Fenrir,Unlimited(OCG)/Unlimited(TCG),WATER,[Beast/Effect],,,,,4,1400,1200,,,,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent's monster as a result of battle, your opponent skips his/her next Draw Phase.",WATER,,Activates when it destroys a monster by battle/Skips Draw Phase,Summon/Trigger,
64342551,Bugroth Amphibie MK-3,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet],,,,,Niveau 4,1500,1300,,,,"Tant qu' ""Umi"" reste face recto sur le Terrain, cette carte peut attaquer directement les Life Points de votre adversaire.",Umi,,,Continuous,
24435369,Chevalier Sirène,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1500,700,,,,"Tant que ""Umi"" reste face recto sur le Terrain, cette carte peut attaquer 2 fois durant la même Battle Phase.",Umi,,,Continuous,
04929256,Mobius le Monarque de Glace,,EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
