Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
66337215,Prophète de la Création,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1800,600,,,,"Une fois par tour : vous pouvez défausser 1 carte, puis ciblez 1 monstre de min. Niveau 7 dans votre Cimetière ; ajoutez la cible à votre main.",,,Discards for cost/Adds from Graveyard to hand,Ignition,
02732323,Dragon Appât,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 2,300,200,,,,"Si cette carte est ciblée par une attaque : ciblez 1 monstre Dragon de min. Niveau 7 dans votre Cimetière ; Invoquez-le Spécialement, et si vous le faites, transférez-lui la cible de l'attaque et faites le calcul des dommages.",Dragon,,,Trigger,
58551308,Familier des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 2,500,500,,,,"FLIP : Lorsque cette carte est envoyée au Cimetière après avoir été retournée, chaque joueur Invoque Spécialement 1 monstre de son Cimetière soit en Position d'Attaque face recto soit en Position de Défense face verso.",,,Activates from your Graveyard,Flip,
36354007,"Gilford, L'Éclair",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1400,,,,Vous pouvez Sacrifier 3 monstres pour Invoquer par Sacrifice (mais pas Poser) cette carte. Si elle est Invoquée de cette façon : détruisez tous les monstres contrôlés par votre adversaire.,,,Activates upon Tribute Summon,Summon/Trigger,
33508719,Morphojarre,Unlimited(OCG)/Semi-Limited(TCG),TERRE,[Rocher/Flip／Effet],,,,,Niveau 2,700,600,,,,"FLIP : Chaque joueur défausse autant de cartes que possible depuis sa main, puis chaque joueur pioche 5 cartes.",,,Discards for effect/You draw cards/Your opponent draws cards,Flip,
43586926,Béhémoth à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1500,1200,,,,"Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais son ATK/DEF deviennent 1000. Vous ne pouvez utiliser cet effet de ""Béhémoth à Deux Têtes"" qu'une fois par Duel.",,,Activates from your Graveyard,Trigger/Condition,
11224103,Horus Dragon de la Flamme Noire LV6,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 6,2300,1600,,,,"Cette carte n'est pas affectée par les effets de Magie. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Horus Dragon de la Flamme Noire LV8"" depuis votre main ou Deck.",Horus the Black Flame Dragon LV8,,Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Continuous/Trigger,
61505339,Le Créateur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 8,2300,3000,,,,"Non Invocable Spécialement depuis le Cimetière. Une fois par tour : vous pouvez cibler 1 monstre dans votre Cimetière ; envoyez 1 carte depuis votre main au Cimetière, et si vous le faites, Invoquez Spécialement la cible.",,,Sends from your hand to your Graveyard,Summon/Ignition,
97093037,Le Créateur Incarné,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1600,1500,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 ""Le Créateur"" depuis votre main.",The Creator,,Tributes itself for cost,Ignition,
81439173,Sacrifice Inutile,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Envoyez 1 monstre depuis votre Deck au Cimetière.,,,Sends from your Deck to your Graveyard,Effect,
68005187,Bourse des Âmes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire ; ce tour, si vous Sacrifiez un monstre, vous devez Sacrifier la cible comme si vous le contrôliez. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",,,Tributes opponent's monsters/Cannot conduct Battle Phase,Effect/Condition,
43434803,Le Tombeau Vide,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Chaque joueur cible 1 monstre dans son Cimetière ; chaque joueur Invoque Spécialement la cible depuis son Cimetière en Position de Défense face verso.,,,,Effect,
28596933,Le Battement d'Aile du Dragon Géant,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Renvoyez 1 monstre de Type Dragon de min. Niveau 5 que vous contrôlez à la main, et si vous le faites, détruisez toutes les Cartes Magie/Piège sur le Terrain.",Dragon,,Returns from your field to your hand,Effect,
