Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
47826112,"Poseidra, le Dragon de l'Atlantide",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 7,2800,1600,,,,"Vous pouvez Sacrifier 3 monstres EAU de max. Niveau 3 ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. Lorsque vous le faites : renvoyez toutes les Cartes Magie/Piège sur le Terrain à la main, et si vous le faites, si min. 3 cartes sont renvoyées à la main par cet effet, tous les monstres actuellement contrôlés par votre adversaire perdent 300 ATK pour chaque carte renvoyée.",WATER,,Activates from your hand/Activates from your Graveyard/Tributes for cost/Activates upon Special Summon/Returns from field to hand,Ignition/Trigger,
74311226,Cavalerie Dragon de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 4,1800,0,,,,"Tous vos monstres Serpent de Mer de max. Niveau 3 peuvent attaquer directement. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ajoutez 1 monstre Serpent de Mer (""Cavalerie Dragon de l'Atlantide"" exclu) depuis votre Deck à votre main.",WATER/Sea Serpent,,Activates from your Graveyard/Adds from Deck to hand,Continuous/Trigger,
00706925,Tireur de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1400,0,,,,"Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez Invoquer Spécialement 1 monstre ""Atlantide"" Serpent de Mer de max. Niveau 4 (""Tireur de l'Atlantide"" exclu) depuis votre Deck. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 carte Posée contrôlée par votre adversaire ; détruisez la cible.",Supports archetypes /Atlantean,,Activates when it inflicts battle damage/Activates from your Graveyard,Trigger,
37104630,Infanterie Lourde de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 2,0,1600,,,,"Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Serpent de Mer de max. Niveau 4 en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 carte face recto contrôlée par votre adversaire ; détruisez la cible.",WATER/Sea Serpent,,Activates from your Graveyard,Continuous/Trigger,
08078366,Escouade d'Attaque de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1400,0,,,,Cette carte gagne 800 ATK tant que vous contrôlez un monstre de Type Poisson/Serpent de Mer/Aqua face recto (cette carte exclue).,Aqua/Sea Serpent/Fish,,,Continuous,
95231062,Destructeur du Grand Bleu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1400,0,,,,"S'il y a un autre monstre Poisson/Serpent de Mer/Aqua face recto sur le Terrain : vous pouvez Sacrifier cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",Fish/Sea Serpent/Aqua,,Tributes itself for cost,Ignition,
20470500,Chasseur des Mers,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 4,1800,400,,,,"Après le calcul des dommages, si cette carte combat un Monstre à Effet : annulez les effets du monstre (y compris dans le Cimetière). Vous devez contrôler un autre monstre EAU face recto pour activer et résoudre cet effet. Si cette carte va être détruite, vous pouvez détruire 1 monstre EAU de max. Niveau 3 face recto que vous contrôlez à la place.",WATER,,,Trigger/Continuous,
42463414,Soldat Triton,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1300,0,,,,Tous les monstres de Type Poisson/Serpent de Mer/Aqua que vous contrôlez gagnent 400 ATK.,Fish/Sea Serpent/Aqua,,,Continuous,
65496056,Codarus,Unlimited(OCG)/Unlimited(TCG),WATER,[Sea Serpent/Effect],,,,,4,1400,1200,,,,"You can send 1 face-up ""Umi"" you control to the Graveyard to target up to 2 cards your opponent controls; send those targets to the Graveyard.",Umi,,Sends from field to Graveyard for cost/Sends from your opponent's field to your opponent's Graveyard,Ignition,
43797906,Guerrier de l'Atlantide,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Effet],,,,,Niveau 4,1900,1200,,,,"(Cette carte n'est pas traitée comme une carte ""Atlantide"".)Vous pouvez défausser cette carte au Cimetière ; ajoutez 1 ""Océan Légendaire"" depuis votre Deck à votre main.",A Legendary Ocean,,Discards itself for cost/Adds from Deck to hand,Ignition,
