Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
72714461,Magicien Sage-Oeil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1500,1500,,,,"Vous pouvez défausser cette carte, puis ciblez 1 carte dans votre Zone Pendule, dont l'Échelle Pendule actuelle est différente de son Échelle Pendule d'origine ; jusqu'à la fin de ce tour, son Échelle Pendule devient son Échelle Pendule d'origine.",Supports archetypes /Magician /Performapal,,Activates if other Pendulum Zone is occupied by specific card/Places from Deck to Pendulum Zone/Discards itself for cost,Pendulum Effect /Ignition-like/Monster Effect/Ignition,
26270847,Griffe d'Argent Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Pendule／Effet],,,,,Niveau 4,1800,700,,,,"Lorsque cette carte déclare une attaque : jusqu'à la fin de la Battle Phase, tous les monstres ""Potartiste"" que vous contrôlez actuellement gagnent 300 ATK.",Supports archetypes /Performapal,,Activates upon attack declaration,Pendulum Effect /Continuous-like/Monster Effect/Trigger,
91584698,Sorciècarte Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 1,100,100,,,,"Vous pouvez Sacrifier cette carte ; ajoutez 1 ""Polymérisation"" depuis votre Deck ou Cimetière à votre main.",Fusion Monster/Polymerization,,Tributes itself for cost/Adds from Deck to hand/Adds from Graveyard to hand/Uses cards on the player's field as Fusion Materials,Pendulum Effect /Ignition-like/Monster Effect/Ignition,
89189982,Dragon Armé Métaphysique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Normal],,,,,Niveau 7,2800,1000,,,,Généralement visible malgré son existence fantôme.,,,,,
51632798,"Dragon Fusilier, la Bête Bi-Modale",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,2800,2000,,,,"Vous pouvez Invoquer Normalement ou Poser cette carte sans Sacrifier, mais son ATK et sa DEF d'origine deviennent divisées par deux.",,,,Summon,
22624373,"Lyla la Magicienne, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1700,200,,,,"Durant votre Main Phase : vous pouvez cibler 1 Carte Magie/Piège contrôlée par votre adversaire ; changez cette carte en Position d'Attaque face recto que vous contrôlez en Position de Défense face recto, et détruisez la cible, mais jusqu'à la fin de votre prochain tour, la position de combat de cette carte ne peut pas être changée, sauf avec un effet de carte. Durant chacune de vos End Phases : envoyez les 3 cartes du dessus de votre Deck au Cimetière. Vous devez contrôler cette carte face recto pour activer et résoudre cet effet.",,,Changes battle positions/Prevents Battle Position changes/Sends from the top of your Deck to your Graveyard,Ignition/Trigger,
97396380,Furet Escrime de Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Effet],,,,,Niveau 4,1700,600,,,,"Si cette carte est détruite et envoyée au Cimetière : ciblez 1 monstre face recto contrôlé par votre adversaire ; détruisez la cible, et si vous le faites, infligez 500 points de dommages à votre adversaire.",,,,Trigger,
60666820,Infâme Mangeur Archdémon de l'Infâmie,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1500,200,,,,"Vous ne pouvez contrôler qu'1 ""Infâme Mangeur Archdémon de l'Infâmie"". Si vous contrôlez un monstre Magicien, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour, durant la End Phase de votre adversaire, si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre face recto que vous contrôlez ; détruisez-le, et si vous le faites, Invoquez Spécialement cette carte.",Spellcaster,,Activates from your Graveyard,Unclassified/Summon/Trigger,
40894584,Jigabyte,Unlimited(OCG)/Unlimited(TCG),WATER,[Reptile/Effect],,,,,4,1500,200,,,,"You can only control 1 ""Jigabyte"". If you control a Spellcaster monster, you can Special Summon this card (from your hand). When this card is destroyed by battle or card effect and sent to the GY: You can Special Summon 1 monster with 1500 ATK/200 DEF from your Deck, except ""Jigabyte"".",Spellcaster,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Unclassified/Summon/Trigger,
58695102,Re-Couvrement,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 1,700,300,,,,"Si cette carte est dans le Cimetière et que votre adversaire a min. 5 cartes de plus dans son Extra Deck que vous : vous pouvez payer 2000 LP ; Invoquez Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Re-Couvrement"" qu'une fois par tour.",,,Activates from your Graveyard,Ignition/Condition,
