Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
59281922,Cyber Dragon Drei,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,4,1800,800,,,,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. When this card is Normal Summoned: You can make all ""Cyber Dragon"" you currently control become Level 5. You cannot Special Summon monsters the turn you activate this effect, except Machine monsters. If this card is banished: You can target 1 ""Cyber Dragon"" you control; it cannot be destroyed by battle or card effects this turn.",Cyber Dragon/Machine,,Activates upon Normal Summon/Activates while banished,Trigger/Condition/Unclassified,
70095154,Cyber Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,5,2100,1600,,,,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",,,,Unclassified,
05373478,Cyber Dragon Zwei,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,4,1500,1000,,,,"This card's name becomes ""Cyber Dragon"" while in the GY. Once per turn: You can reveal 1 Spell in your hand; this card's name becomes ""Cyber Dragon"" until the End Phase. If this card attacks an opponent's monster, it gains 300 ATK during the Damage Step only.",Cyber Dragon,,Reveals your hand for cost,Continuous/Ignition/Unclassified,
26439287,Cyber Dragon Proto,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Effet],,,,,Niveau 3,1100,600,,,,"Le nom de cette carte devient ""Cyber Dragon"" tant qu'elle est sur le Terrain.",Cyber Dragon,,,Continuous,
33093439,Cyber Eltanin,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,10,?,?,,,,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing all LIGHT Machine monsters from your field and GY. This card's ATK/DEF become the number of monsters banished for its Special Summon x 500. If this card is Special Summoned: Send all other face-up monsters on the field to the GY.,LIGHT/Machine,,Sends from field to Graveyard/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard,Summon/Continuous/Trigger,
67159705,Cyber Vouivre Cuirassée,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Union／Effet],,,,,Niveau 4,0,2000,,,,"Une fois par tour, vous pouvez SOIT : ciblez 1 ""Cyber Dragon"" que vous contrôlez, ou 1 Monstre Fusion que vous contrôlez qui liste ""Cyber Dragon"" comme Matériel Fusion ; équipez cette carte à la cible, SOIT : déséquipez cette carte et Invoquez-la Spécialement. Une fois par tour, tant qu'elle est équipée à un monstre par cet effet : vous pouvez cibler 1 monstre face recto sur le Terrain ; le monstre équipé perd exactement 1000 ATK (même si cette carte quitte le Terrain), et s'il le fait, détruisez la cible. Si le monstre équipé va être détruit au combat ou par un effet de carte, détruisez cette carte à la place.",Cyber Dragon,,Equips self from field,Ignition/Ignition-like/Continuous-like,
02851070,Reflect Bounder,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,4,1700,1000,,,,"Before damage calculation, if this card is being attacked by an opponent's monster, and was in Attack Position at the start of the Damage Step: Inflict damage to your opponent equal to the attacking monster's ATK. If you do, after damage calculation: Destroy this card.",,,,Trigger,
15717011,La Lumière - Fusion du Sceau Maudit,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 3,1000,1600,,,,"Vous pouvez substituer cette carte à 1 Monstre-Matériel de Fusion, mais les autres Monstres-Matériels de Fusion doivent être corrects. Vous pouvez Sacrifier des Monstres-Matériels de Fusion sur le Terrain, en incluant cette carte face recto ; Invoquez Spécialement 1 Monstre de Fusion LUMIÈRE correspondant depuis votre Extra Deck.",Fusion Monster/LIGHT,,Tributes for cost/Tributes itself for cost,Unclassified/Ignition,
48130397,Super Polymérisation,Semi-Limited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Défaussez 1 carte ; Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis au moins l'un des Terrains comme Matériel Fusion. Aucun joueur ne peut activer ni de cartes ni d'effets en réponse à l'activation de cette carte.",Fusion Monster,,Discards for cost/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard/Uses cards on the player's field as Fusion Materials/Uses cards on the opponent's field as Fusion Materials,Cost/Effect/Condition,
23171610,Limiter Removal,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Quick-Play,,,"Double the ATK of all Machine monsters you currently control, until the end of this turn. During the End Phase of this turn, destroy those monsters.",Machine,,,Effect/Lingering,
22046459,Mégamorphe,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tant que vos LP sont inférieurs à ceux de votre adversaire, l'ATK du monstre équipé devient le double de son ATK d'origine. Tant que vos LP sont supérieurs, l'ATK du monstre équipé devient la moitié de son ATK d'origine.",,,,Continuous-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
02362787,Lumière de Rédemption,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 800 Life Points, puis ciblez 1 de vos monstres LUMIÈRE bannis ; ajoutez la cible à votre main.",LIGHT,,Adds banished cards to the hand,Cost/Effect,
31828916,Unité Cuirassée Méchabot,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Une fois par tour, lorsqu'un monstre Machine est détruit au combat et envoyé à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre Machine depuis votre Deck qui a le même Attribut et une ATK inférieure à celle du monstre détruit dans le Cimetière.",Machine,,Activates if destroyed by battle,Trigger-like,
