Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
14989021,"Simorgh, Oiseau de la Divinité",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 7,2700,1000,,,,"Cette carte ne peut pas être Invoquée par Invocation Spéciale. Si vous faites l'Invocation Sacrifice de cette carte, le Sacrifice doit être de monstre VENT. Tant que cette carte est face recto sur le Terrain, les deux joueurs reçoivent 1000 points de dommages durant la End Phase de chaque joueur. Diminuez les dommages que chaque joueur reçoit quand cela arrive de 500 points pour chaque Carte Magie et Piège que ce joueur contrôle.",WIND,,,Summon/Trigger,
40384720,Tireur Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1300,600,,,,"S'il n'y a aucune carte dans la Zone Magie & Piège de votre adversaire, cette carte peut attaquer directement votre adversaire. Si elle le fait, les dommages de combat infligés à votre adversaire sont l'ATK d'origine de cette carte.",,,,Continuous,
84696266,Canard Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Normal],,,,,Niveau 3,1700,700,,,,Un canard qui peut se déplacer à des vitesses transsoniques. Il lui arrive de se tromper dans ses foulées et de perdre le contrôle.,,,,,
78636495,Guerrier Ardoise,Unlimited(OCG)/Unlimited(TCG),VENT,[Démon/Flip／Effet],,,,,Niveau 4,1900,400,,,,FLIP : Cette carte gagne 500 ATK/DEF.Si cette carte est détruite au combat : le monstre qui l'a détruite perd 500 ATK/DEF.,,,Activates upon being flipped face-up/Activates if destroyed by battle,Flip/Trigger,
45547649,Visage d'Oiseau,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1600,1600,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez ajouter 1 ""Dame Harpie"" depuis votre Deck à votre main.",Harpie Lady,,Activates if destroyed by battle/Activates from your Graveyard/Adds from Deck to hand,Trigger,
73001017,Silpheed,Unlimited(OCG)/Unlimited(TCG),WIND,[Fairy/Effect],,,,,4,1700,700,,,,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WIND monster in your Graveyard. When this card is destroyed as a result of battle and sent to the Graveyard, your opponent discards 1 random card from their hand.",WIND,,Activates if destroyed by battle/Activates from your Graveyard/Your opponent discards,Summon/Trigger,
28143906,Roc de la Vallée des Brumes,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 6,2400,1400,,,,"Lorsque cette carte est envoyée de votre main au Cimetière, ajoutez cette carte au Deck et mélangez-le.",,,Activates from your Graveyard/Returns itself from Graveyard to Deck,Trigger,
06924874,"Bébé Dragon, Familier de Harpie",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 4,1200,600,,,,"Gagne des effets selon le nombre de monstres ""Harpie"" que vous contrôlez (""Bébé Dragon, Familier de Harpie"" exclu).●1+ : Votre adversaire ne peut pas cibler de monstres ""Harpie"" que vous contrôlez (""Bébé Dragon, Familier de Harpie"" exclu) avec une attaque.●2+ : Doublez l'ATK/DEF d'origine de cette carte.●3+ : Une fois par tour : vous pouvez cibler 1 carte contrôlée par votre adversaire ; détruisez la cible.",Supports archetypes /Harpie,,,Condition/Continuous/Ignition,
72892473,Destruction de Carte,Limited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Chaque joueur défausse autant de cartes que possible depuis sa main, puis chaque joueur pioche le même nombre de cartes qu'il a défaussées.",,,You discard/Your opponent discards/You draw cards/Your opponent draws cards/Discards for effect,Effect,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
71044499,Seigneur de la Suppression,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face verso sur le Terrain ; détruisez la cible, et si vous le faites, bannissez-le, puis, si c'était un monstre Flip, chaque joueur révèle son Main Deck, puis en bannit toutes les cartes du nom du monstre.",,Flip monster,Reveals your Deck/Reveals your opponent's Deck,Effect,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
75782277,Terrain de Chasse des Harpies,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Tous les monstres Bête Ailée gagnent 200 ATK/DEF. Si ""Dame Harpie"" ou ""Sœurs de Harpie"" sont Invoqués Normalement ou Spécialement : le joueur qui a mené l'Invocation cible 1 Magie/Piège sur le Terrain ; le joueur détruit la cible.",Harpie Lady/Harpie Lady Sisters/Winged Beast,,,Continuous-like/Trigger-like,
77778835,Clique Hystérique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte en défaussant 1 carte ; Invoquez Spécialement autant d'exemplaires de ""Dame Harpie"" que possible depuis votre Cimetière. Lorsque cette carte face recto quitte le Terrain, détruisez ces monstres.",Harpie Lady,,Activates from your Graveyard,Cost/Effect/Continuous-like,
60082869,Tornade de Poussière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible, puis vous pouvez Poser 1 Magie/Piège depuis votre main.",,,Sets from your hand,Effect,
97077563,Appel de l'Être Hanté,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.",,,,Effect/Continuous-like,
77414722,Brouilleur Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie est activée : défaussez 1 carte ; annulez l'activation, et si vous le faites, détruisez-la.",,,Discards for cost,Activation requirement/Cost/Effect,
01804528,Cercueil des Ténèbres,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque cette carte face verso est détruite et envoyée au Cimetière, votre adversaire doit sélectionner et exécuter 1 des effets suivants : ● Défausser au hasard 1 carte de sa main. ● Sélectionner 1 monstre sur son Terrain et le détruire.",,,Activates if destroyed while Set/Activates from your Graveyard/Your opponent discards,Trigger-like,
