Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
69933858,"Gilford, La Légende",Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 8,2600,2000,,,,Non Invocable Spécialement. Lorsque cette carte est Invoquée Normalement : vous pouvez équiper autant de Cartes Magie d'Équipement depuis votre Cimetière que possible à un ou plusieurs monstres de Type Guerrier que vous contrôlez.,Warrior/Equip Spell Card,,Activates upon Normal Summon/Places cards from Graveyard in Spell & Trap Zone,Summon/Trigger,
05438492,Dame Guerrière des Terres Désolées,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1100,1200,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre TERRE Guerrier avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,EARTH/Warrior,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
78658564,Troupe d'Assaut Gobeline,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,2300,0,,,,"Si cette carte attaque, elle est changée en Position de Défense à la fin de la Battle Phase, et sa position de combat ne peut pas être changée jusqu'à la End Phase de votre prochain tour.",,,Changes battle positions/Prevents Battle Position changes,Continuous,
00423705,Gearfried le Chevalier de Fer,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,Si au moins l'un des joueurs équipe une ou plusieurs Cartes d'Équipement à cette carte : détruisez ces Cartes d'Équipement.,,Equip Card,,Trigger,
16589042,Gaïa le Chevalier Implacable Rapide,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 7,2300,2100,,,,"Si c'est la seule carte dans votre main, vous pouvez Invoquer Normalement cette carte sans Sacrifices.",,,,Summon,
52077741,Guardien Celtique Recyclé (Actualisé de : Gardien Celtique Recyclé),Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,Non destructible au combat avec un monstre qui a min. 1900 ATK.,,,,Continuous,
10375182,Chevalier Commandeur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Guerrier/Effet],,,,,Niveau 4,1200,1900,,,,"Tous les monstres Guerrier que vous contrôlez gagnent 400 ATK. Si vous contrôlez un autre monstre, les monstres contrôlés par votre adversaire ne peuvent pas cibler cette carte avec une attaque.",Warrior,,,Continuous,
74131780,La Troupe Exilée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",,,Tributes itself for cost,Ignition,
07572887,Dame Guerrière D.D.,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,"Après le calcul des dommages, lorsque cette carte combat un monstre de l'adversaire : vous pouvez bannir le monstre, et aussi, bannissez cette carte.",,,,Trigger,
22609617,Mataza le Zappeur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,1300,800,,,,"Durant chaque Battle Phase, cette carte peut attaquer une seconde fois. Le contrôle de cette carte face recto sur le Terrain ne peut pas être échangé.",,,Cannot change control,Continuous,
47507260,Spadassin Mystique LV2,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 2,900,0,,,,"Au début de la Damage Step, si cette carte a attaqué un monstre en Position de Défense face verso : détruisez le monstre. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Mystique LV4"" depuis votre main ou Deck.",Mystic Swordsman LV4,,Sends itself from field to Graveyard for cost,Trigger,
74591968,Spadassin Mystique LV4,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1900,1600,,,,"Non Invocable Normalement (mais Posable Normalement). Au début de la Damage Step, si cette carte a attaqué un monstre en Position de Défense face verso : détruisez le monstre. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Mystique LV6"" depuis votre main ou Deck.",Mystic Swordsman LV6,,Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Summon/Trigger,
