Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
31829185,Necrofear des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,2200,2800,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 3 monstres Démon depuis votre Cimetière. Durant la End Phase, si cette carte est dans votre Cimetière parce qu'elle a été détruite dans votre Zone Monstre par une carte de l'adversaire et y a été envoyée ce tour : ciblez 1 monstre face recto contrôlé par votre adversaire ; équipez cette carte à la cible. Tant que cette carte est équipée à un monstre par cet effet, prenez le contrôle du monstre.",Fiend,,Activates from your Graveyard/Equips self from Graveyard/Takes control of equipped,Summon/Trigger/Continuous-like,
66989694,Le Comte Déchu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 5,2000,700,,,,"Redouté à la fois par les hommes et les démons, cet aristocrate est foncièrement mauvais.",,,,,
52367652,Parasite,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1200,1000,,,,Monstre qui se nourrit de l'énergie d'autres créatures.,,,,,
91996584,Corbeau à Fouet,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1650,1600,,,,Attaque du ciel avec une queue en forme de fouet.,,,,,
68049471,Le Fantôme des Rêves Enfuis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1300,1800,,,,"Ce monstre se nourrit des rêves du dormeur imprudent, entraînant sa victime dans une somnolence éternelle.",,,,,
05434080,Chevalier sans Tête,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Normal],,,,,Niveau 4,1450,1700,,,,Cet esprit hanté d'un chevalier accusé à tort erre à la recherche de vérité et de justice.,,,,,
67105242,Esprit Enchaîné à la Terre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Normal],,,,,Niveau 4,500,2000,,,,Cette créature vengeresse formée par l'âme des guerriers trépassés entraîne dans les entrailles de la terre tous ceux qui osent s'en approcher.,,,,,
63125616,L'Ombre qui Contrôle les Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 3,800,700,,,,"Ombre tapie dans le noir, qui paralyse ses adversaires et les rend inoffensifs.",,,,,
37955049,"Gaap, Maître de la Guerre",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2200,2000,,,,"Tous les monstres sont changés en Position d'Attaque, et aussi, leur position de combat ne peut pas être changée. (Les Effets Flip ne sont pas activés.) Une fois par tour : vous pouvez révéler un nombre de votre choix de monstres Démon dans votre main ; jusqu'à la fin de ce tour, cette carte gagne 300 ATK pour chacun d'eux.",Fiend,Flip monster,Changes battle positions/Flips monsters face-up/Prevents Battle Position changes/Reveals your hand for cost,Continuous/Ignition,
88132637,Loup à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1500,1000,,,,"Tant que vous contrôlez un autre monstre Démon, annulez les effets des monstres Flip détruits au combat avec cette carte.",Fiend,Flip monster,,Continuous,
82213171,"Prométhée, Roi des Ombres",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,800,,,,"Si cette carte est Invoquée Normalement : bannissez min. 1 monstre TÉNÈBRES depuis votre Cimetière, et si vous le faites, cette carte gagne 400 ATK pour chacun d'eux jusqu'à la fin de ce tour.",DARK,,Activates upon Normal Summon,Trigger,
01102515,Imitateur des Ténèbres LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1000,1000,,,,"Si cette carte est détruite au combat et envoyée au Cimetière : piochez 1 carte, mais si cette carte a été Invoquée Spécialement par l'effet de ""Imitateur des Ténèbres LV1"", piochez 2 cartes à la place.",Dark Mimic LV1,,Activates if destroyed by battle/Activates from your Graveyard/You draw cards,Trigger,
74713516,Imitateur des Ténèbres LV1,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 1,100,1000,,,,"FLIP : Piochez 1 carte.Une fois par tour, durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Imitateur des Ténèbres LV3"" depuis votre main ou Deck.",Dark Mimic LV3,,Activates upon being flipped face-up/You draw cards/Sends itself from field to Graveyard for cost,Flip/Trigger,
28933734,Masque des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 2,900,400,,,,FLIP : Ciblez 1 Piège dans votre Cimetière ; ajoutez la cible à votre main.,,,Activates upon being flipped face-up/Adds from Graveyard to hand,Flip,
37120512,Épée de la Noire Destruction,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre TÉNÈBRES. Il gagne 400 ATK et perd 200 DEF.,DARK,DARK,,Continuous-like,
19230407,Offrande aux Damnés,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; détruisez la cible, et aussi, sautez votre prochaine Draw Phase.",,,Skips Draw Phase,Effect,
90434926,Voile des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Durant votre Draw Phase, si vous piochez un ou plusieurs monstres TÉNÈBRES : vous pouvez en révéler un nombre de votre choix ; envoyez-les au Cimetière, puis vous pouvez piocher 1 carte supplémentaire.",DARK,,Reveals your hand for cost/Sends from hand to Graveyard for cost/Sends from your hand to your Graveyard/You draw cards,Trigger-like,
01475311,Invitation des Ténèbres,Limited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Piochez 2 cartes, puis bannissez 1 monstre TÉNÈBRES depuis votre main, ou, si vous n'en avez aucun dans votre main, envoyez toute votre main au Cimetière.",DARK,,You draw cards/Sends from hand to Graveyard,Effect,
78811937,Ténèbres Absorbantes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Bannissez 2 monstres TÉNÈBRES depuis votre Cimetière ; ajoutez 1 monstre TÉNÈBRES de Niveau 4 depuis votre Deck à votre main.,DARK,,Adds from Deck to hand,Cost/Effect,
79852326,Spectre Zoma,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Invoquez Spécialement cette carte en Position de Défense comme un Monstre à Effet (Zombie/TÉNÈBRES/Niveau 4/ATK 1800/DEF 500). (Cette carte est toujours aussi un Piège.) Si cette carte Invoquée de cette façon est détruite au combat : infligez des dommages à votre adversaire égaux à l'ATK du monstre qui l'a détruite.,,,Activates if destroyed by battle/Activates from your Graveyard,Effect/Condition/Trigger-like,
