Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
38033121,Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2000,1700,,,,"Gagne 300 ATK pour chaque ""Magicien Sombre"" ou ""Magicien du Chaos Sombre"" dans les Cimetières.",Dark Magician/Magician of Black Chaos,,,Continuous,
25280974,"Lexion, Le Bouffon Démoniaque",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1300,1500,,,,"Durant votre Main Phase, vous pouvez Invoquer par Sacrifice 1 monstre Magicien en Position d'Attaque, en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 Monstre Normal Magicien depuis votre Deck ou Cimetière à votre main. Vous ne pouvez utiliser cet effet de ""Lexion, Le Bouffon Démoniaque"" qu'une fois par tour.",Spellcaster/Normal Monster,,Activates from your Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Continuous/Trigger/Condition,
87557188,Le Verso Mystique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Flip／Effet],,,,,Niveau 4,1500,1200,,,,"FLIP : Révélez toutes les cartes face verso sur le Terrain (les Effets Flip ne sont pas activés), puis renvoyez-les dans leur position d'origine.",,,Reveals face-down cards,Flip,
44436472,Double Coston,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Effect],,,,,4,1700,1650,,,,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,DARK,,,Unclassified,
55969226,Invocateur Dragon Bleu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Magicien/Effet],,,,,Niveau 4,1500,600,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 Monstre Normal Dragon, Guerrier ou Magicien depuis votre Deck à votre main.",Dragon/Warrior/Spellcaster/Normal Monster,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
63391643,Mille Couteaux,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.",Dark Magician,,,Activation requirement/Effect,
13604200,Pierre de Sagesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicienne des Ténèbres"" face recto : Invoquez Spécialement 1 ""Magicien Sombre"" depuis votre main ou Deck.",Dark Magician Girl/Dark Magician,,,Activation requirement/Effect,
02314238,Attaque de Magie Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : détruisez tous les Magies/Pièges contrôlés par votre adversaire.",Dark Magician,,,Activation requirement/Effect,
34016756,Riryoku,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",,,,Effect/Condition,
02903036,Poupée de Sacrifice,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Sacrifiez 1 monstre ; Invoquez Spécialement 1 monstre de Niveau 7 depuis votre main qui est Invocable/Posable Normalement. Il ne peut pas attaquer ce tour.,,,Tributes for cost,Cost/Effect,
49587034,Épée de la Force de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Bannissez face verso 1 carte au hasard depuis la main de votre adversaire. Durant la 4e Standby Phase de votre adversaire après activation de cette carte, renvoyez la carte à sa main.",,,Returns the opponent's banished cards to the hand,Effect/Lingering,
77414722,Brouilleur Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie est activée : défaussez 1 carte ; annulez l'activation, et si vous le faites, détruisez-la.",,,Discards for cost,Activation requirement/Cost/Effect,
03819470,Sept Outils du Bandit,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Piège est activée : payez 1000 LP ; annulez l'activation, et si vous le faites, détruisez-la.",,,,Activation requirement/Cost/Effect,
24140059,Un Chat de Mauvais Augure,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête/Flip／Effet],,,,,Niveau 2,500,300,,,,"FLIP : Choisissez 1 Piège depuis votre Deck et placez-le au-dessus de votre Deck, ou, si ""Vallée Mortuaire"" est sur le Terrain, vous pouvez ajouter le Piège à votre main à la place.",Necrovalley,,Activates upon being flipped face-up/Changes your Deck order/Places cards from your Deck on the top of the Deck/Adds from Deck to hand,Flip,
