Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
94119974,Roi Rex à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Normal],,,,,Niveau 4,1600,1200,,,,Monstre puissant dont les deux têtes attaquent simultanément.,,,,,
01784619,Uraby,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Dinosaur/Normal],,,,,4,1500,800,,,,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",,,,,
06849042,Bête Dinosaure Millénaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 8,2700,1400,,,,"(Cette carte n'est pas traitée comme carte ""Millénaire"".)Vous pouvez Invoquer par Sacrifice cette carte en Position d'Attaque face recto en Sacrifiant 1 monstre Dinosaure. Lorsqu'un ou plusieurs monstres Dinosaure sont Invoqués Spécialement depuis votre Cimetière tant que ce monstre est sur le Terrain (sauf durant la Damage Step) : vous pouvez piocher 1 carte.",Dinosaur,,You draw cards,Summon/Trigger,
79870141,Bête Folle à l'Épée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 4,1400,1200,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
65287621,Driceratops des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 6,2400,1500,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
51267887,Élévateur de Chaleur Corporelle,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre Dinosaure. Il gagne 300 ATK/DEF.,Dinosaur,,,Continuous-like,
23265313,Ristourne,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Défaussez 1 carte ; le reste de ce tour, réduisez le Niveau de tous les monstres dans votre main de 2 (même après qu'ils ont été Invoqués).",,,Discards for cost,Cost/Effect,
79816536,Habileté de l'Invocateur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 Monstre Normal de min. Niveau 5 depuis votre Deck à votre main.,Normal Monster,,Adds from Deck to hand,Effect,
45141013,Onde de Chaleur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Au début de votre Main Phase 1 : jusqu'à votre prochaine Draw Phase, aucun joueur ne peut Invoquer ni Normalement ni Spécialement de Monstres à Effet.",,Effect Monster,,Activation requirement/Effect,
52112003,Carte en Avance,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Regardez max. 5 cartes du dessus de votre Deck, puis placez-les au-dessus du Deck dans l'ordre de votre choix. Ce tour, vous pouvez Invoquer par Sacrifice 1 monstre en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",,,Looks at cards from the top of your Deck/Changes your Deck order/Places cards from your Deck on the top of the Deck,Effect,
11925569,Instinct du Chasseur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués Spécialement sur le Terrain de votre adversaire (sauf durant la Damage Step) : Invoquez Spécialement 1 monstre Dinosaure depuis votre main.,Dinosaur,,Activates upon Special Summon,Activation requirement/Effect,
17814387,Renforts,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, il gagne 500 ATK.",,,,Effect,
63571750,Trésor du Pharaon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Mélangez face recto cette carte dans votre Deck. Si vous piochez cette carte face recto qui a été ajoutée au Deck par cet effet : envoyez-la au Cimetière, puis ciblez 1 carte dans votre Cimetière (cette carte exclue) ; ajoutez la cible à votre main.",,,Returns itself from field to Deck/Allows face-up cards in Main Deck/Sends itself from hand to Graveyard/Adds from Graveyard to hand,Effect/Trigger-like,
48579379,Grand Moth Ultimement Parfait,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Effet],,,,,Niveau 8,3500,3000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 1 ""Petit Papillon"" pendant votre min. 6e tour après avoir été équipé avec ""Cocon d'Évolution"".",Petit Moth/Cocoon of Evolution,,Tributes for cost,Summon,
58192742,Petit Papillon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 1,300,200,,,,Il vaut mieux éviter cette créature petite mais néanmoins mortelle.,,,,,
53606874,Gros Insecte,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 4,1200,1500,,,,Cette fourmi géante qui vit dans la jungle est puissante tant en position offensive qu'en position défensive.,,,,,
89091579,Insecte Élémentaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 2,500,700,,,,La forêt est l'environnement préféré de cet insecte que l'on aperçoit généralement dans les marais.,,,,,
39175982,Couperet Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 2,700,700,,,,Rares sont ceux qui sont capables de résister aux bras en forme de faux de cette dangereuse créature.,,,,,
56283725,Kumootoko,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Insect/Normal],,,,,3,700,1400,,,,"A massive, intelligent spider that traps enemies with webbing.",,,,,
