Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
34710660,Tortue Électromagnétique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,0,1800,,,,"Durant la Battle Phase de votre adversaire (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière ; terminez la Battle Phase. Vous ne pouvez utiliser cet effet de ""Tortue Électromagnétique"" qu'une fois par Duel.",,,Activates from your Graveyard/Ends the Battle Phase,Quick/Condition,
72989439,Soldat du Lustre Noir - Émissaire du Commencement,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour, vous pouvez activer 1 de ces effets.●Ciblez 1 monstre sur le Terrain ; bannissez-le. Cette carte ne peut pas attaquer le tour où cet effet est activé.●Si cette carte attaquante détruit un monstre de l'adversaire au combat : elle peut faire une seconde attaque à la suite.",LIGHT/DARK,,Activates when it destroys a monster by battle,Summon/Condition/Ignition/Trigger,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
06368038,Gaïa le Chevalier Implacable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 7,2300,2100,,,,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,,,,,
28279543,Malédiction du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 5,2000,1500,,,,Dragon malfaisant qui exploite les forces des ténèbres pour exécuter une attaque puissante.,,,,,
87796900,"Dragon Ailé, Gardien de la Forteresse N°1",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Normal],,,,,Niveau 4,1400,1200,,,,Dragon que l'on trouve généralement gardant les forteresses de montagne. On le reconnaît à son attaque sous forme de plongeon profond venu de nulle part.,,,,,
32452818,Guerrier Castor,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1200,1500,,,,Cette créature compense sa petite taille par une excellente méthode défensive dans les batailles en plaine.,,,,,
53829412,Griffore,Unlimited(OCG)/Unlimited(TCG),EARTH,[Beast/Normal],,,,,4,1200,1500,,,,This monster's tough hide deflects almost any attack.,,,,,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
40374923,Cimetière de Mammouth,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Normal],,,,,Niveau 3,1200,800,,,,Mammouth qui protège les tombes des siens et qui est absolument sans pitié face aux déterreurs de cadavres.,,,,,
33396948,Éxodia l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,1000,1000,,,,"Si vous avez ""Jambe Droite de l'Interdit"", ""Jambe Gauche de l'Interdit"", ""Bras Droit de l'Interdit"" et ""Bras Gauche de l'Interdit"" en plus de cette carte dans votre main, vous gagnez le Duel.",Right Leg of the Forbidden One/Left Leg of the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One,,Activates from your hand,Condition,
08124921,Jambe Droite de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe droite interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
44519536,Jambe Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe gauche interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
70903634,Bras Droit de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras droit interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
07902349,Bras Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras gauche interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
25774450,Boîte Mystique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire et 1 monstre que vous contrôlez ; détruisez la première cible, puis donnez le contrôle de la seconde cible à votre adversaire.",,,Changes control,Effect,
87910978,Contrôle Cérébral,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 800 LP, puis ciblez 1 monstre face recto contrôlé par votre adversaire qui est Invocable/Posable Normalement ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Changes control,Cost/Effect,
93260132,Flèche Brise-Sort,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Détruisez autant de Magies face recto contrôlées par votre adversaire que possible, et si vous le faites, infligez 500 points de dommages à votre adversaire pour chacune d'elles.",,,,Effect,
64047146,Corne de l'Unicorne,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Le monstre équipé gagne 700 ATK/DEF. Lorsque cette carte est envoyée depuis le Terrain au Cimetière : renvoyez-la au-dessus du Deck.,,,Returns itself from Graveyard to Deck/Activates from your Graveyard,Continuous-like/Trigger-like,
36607978,Lune Mystique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre de Type Bête-Guerrier. Il gagne 300 ATK/DEF.,Beast-Warrior,,,Condition/Continuous-like,
