Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
41721210,Magicien Sombre le Dragon Chevalier,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 8,3000,2500,,Magicien Sombre + 1 monstre Dragon,,"Le nom de cette carte devient ""Magicien Sombre"" tant qu'elle est sur le Terrain ou dans le Cimetière. Votre adversaire ne peut pas cibler de Magies/Pièges que vous contrôlez avec des effets de carte, et aussi, ils ne peuvent pas être détruits par des effets de carte de votre adversaire.",Dragon/Dark Magician,,,Unclassified/Continuous,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
38033121,Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2000,1700,,,,"Gagne 300 ATK pour chaque ""Magicien Sombre"" ou ""Magicien du Chaos Sombre"" dans les Cimetières.",Dark Magician/Magician of Black Chaos,,,Continuous,
71696014,Robe du Magicien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 2,700,2000,,,,"Durant le tour de votre adversaire (Effet Rapide) : vous pouvez défausser 1 Magie/Piège ; Invoquez Spécialement 1 ""Magicien Sombre"" depuis votre Deck. Durant le tour de votre adversaire, si vous activez une Carte Magie/Piège ou effet de Magie/Piège tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Robe du Magicien"" qu'une fois par tour.",Dark Magician,,Discards for cost/Activates from your Graveyard,Quick/Trigger/Condition,
07084129,Bâton du Magicien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,1600,100,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 Magie/Piège depuis votre Deck à votre main, qui mentionne ""Magicien Sombre"". Durant le tour de votre adversaire, si vous activez une Carte Magie/Piège ou effet de Magie/Piège tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Sacrifier 1 monstre Magicien ; ajoutez cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Bâton du Magicien"" qu'une fois par tour.",Dark Magician,,Activates upon Normal Summon/Adds from Deck to hand/Activates from your Graveyard/Tributes for cost/Adds from Graveyard to hand,Trigger/Condition,
80019195,Chevalier Légendaire Timée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1800,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Légende du Cœur"". Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Magie/Piège face recto sur le Terrain ; bannissez la cible. Lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Magie dans votre Cimetière ; Posez la cible.",Legend of Heart,,Sets from your Graveyard,Summon/Trigger,
85800949,Chevalier Légendaire Critias,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1800,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Légende du Cœur"". Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Magie/Piège face recto sur le Terrain ; bannissez la cible. Lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Piège dans votre Cimetière ; Posez la cible. Elle peut être activée ce tour.",Legend of Heart,,Sets from your Graveyard,Summon/Trigger,
84565800,Chevalier Légendaire Hermocrate,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1800,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Légende du Cœur"". Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Magie/Piège face recto sur le Terrain ; bannissez la cible. Une fois par tour, lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Monstre à Effet dans votre Cimetière ; jusqu'à la End Phase de votre prochain tour, le nom de cette carte devient le nom d'origine de la cible, et remplacez cet effet avec les effets d'origine de la cible.",Legend of Heart,,Activates upon Special Summon,Summon/Trigger,
71413901,"Fracas, le Guerrier Magique",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1600,1000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Gagne 300 ATK pour chaque Compteur Magie sur elle. Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger/Continuous/Ignition,
99789342,Rideau de Magie Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Payez la moitié de vos LP ; Invoquez Spécialement 1 ""Magicien Sombre"" depuis votre Deck. Vous ne pouvez pas Invoquer d'autres monstres le tour où vous activez cette carte (mais vous pouvez Poser Normalement).",Dark Magician,,,Cost/Effect/Condition,
47222536,Cercle Magique Sombre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : regardez les 3 cartes du dessus de votre Deck, puis vous pouvez en révéler 1 qui a ""Magicien Sombre"" ou une Magie/Piège qui mentionne ""Magicien Sombre"", et ajoutez-la à votre main, et aussi, placez les cartes restantes au-dessus de votre Deck dans l'ordre de votre choix. Si ""Magicien Sombre"" est Invoqué Normalement ou Spécialement sur votre Terrain (sauf durant la Damage Step) : vous pouvez cibler 1 carte contrôlée par votre adversaire ; bannissez-la. Vous ne pouvez utiliser chaque effet de ""Cercle Magique Sombre"" qu'une fois par tour.",Dark Magician,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Looks at cards from the top of the player's Deck/Reveals cards from your Deck/Changes Deck order/Places cards from the Deck on the top of the Deck,Effect/Trigger-like/Condition,
00111280,Magie Étendue des Ténèbres,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Appliquez ces effets dans l'ordre, selon le nombre de ""Magicien Sombre"" et/ou ""Magicienne des Ténèbres"" sur le Terrain et dans les Cimetières.●1+ : Jusqu'à la fin de ce tour, 1 monstre TÉNÈBRES Magicien sur le Terrain gagne 1000 ATK.●2+ : Ce tour, votre adversaire ne peut ni activer de cartes ni d'effets en réponse à l'activation de votre Carte Magie/Piège ou effet de Magie/Piège, et aussi, les Magies/Pièges que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire.●3+ : Jusqu'à la fin de ce tour, les monstres TÉNÈBRES Magicien que vous contrôlez actuellement ne sont pas affectés par des effets de carte de votre adversaire.",Dark Magician/Dark Magician Girl/DARK/Spellcaster,,,Effect,
41735184,Héritage de Magie Noire,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Bannissez 2 Magies depuis votre Cimetière ; ajoutez 1 Magie/Piège qui liste précisément la carte ""Magicien Sombre"" ou ""Magicienne des Ténèbres"" dans son texte (""Héritage de Magie Noire"" exclu) depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Héritage de Magie Noire"" par tour.",Dark Magician/Dark Magician Girl,,Adds from Deck to hand,Cost/Effect/Condition,
63391643,Mille Couteaux,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.",Dark Magician,,,Activation requirement/Effect,
02314238,Attaque de Magie Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : détruisez tous les Magies/Pièges contrôlés par votre adversaire.",Dark Magician,,,Activation requirement/Effect,
01784686,L'Œil de Timée,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours aussi traitée comme ""Dragon Légendaire Timée"".)Ciblez 1 monstre ""Magicien Sombre"" ou ""Magicienne des Ténèbres"" que vous contrôlez ; Invoquez par Fusion 1 Monstre Fusion qui mentionne le monstre sur le Terrain comme Matériel depuis votre Extra Deck, en l'utilisant comme le Matériel Fusion. Vous ne pouvez activer qu'1 ""L'Œil de Timée"" par tour.",Supports archetypes /Dark Magician ,,Sends from your field to your Graveyard/Uses cards on the player's field as Fusion Materials,Condition/Effect,
11082056,Le Croc de Critias,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours aussi traitée comme ""Dragon Légendaire Critias"".)Envoyez 1 Piège depuis votre main ou Terrain au Cimetière, qui est listé sur un Monstre Fusion qui ne peut être Invoqué Spécialement qu'avec ""Le Croc de Critias"" (si la carte est Posée, révélez-la), puis Invoquez Spécialement le Monstre Fusion depuis votre Extra Deck. Vous ne pouvez activer qu'1 ""Le Croc de Critias"" par tour.",Fusion Monster,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Reveals face-down cards,Condition/Effect,
46232525,La Griffe d'Hermocrate,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours aussi traitée comme ""Dragon Légendaire Hermocrate"".)Envoyez 1 monstre depuis votre main ou Terrain au Cimetière, du Type qui est listé sur un Monstre Fusion qui ne peut être Invoqué Spécialement qu'avec ""La Griffe d'Hermocrate"" (si la carte est Posée, révélez-la), puis Invoquez Spécialement le Monstre Fusion depuis votre Extra Deck. Vous ne pouvez activer qu'1 ""La Griffe d'Hermocrate"" par tour.",Fusion Monster,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Reveals face-down cards,Condition/Effect,
89397517,Légende du Cœur,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 2000 LP et Sacrifiez 1 monstre Guerrier ; bannissez max. 3 Magies ""Dragon Légendaire"" de noms différents depuis votre main et/ou Cimetière, et si vous le faites, Invoquez Spécialement autant de monstres ""Chevalier Légendaire"" de noms différents depuis votre main, Deck et/ou Cimetière. Vous ne pouvez activer qu'1 ""Légende du Cœur"" par tour.",Supports archetypes /Legendary Dragon/Legendary Knight,,Tributes for cost,Cost/Effect/Condition,
72302403,Épées de Révélation de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.",,,Flips monsters face-up,Condition/Effect/Continuous-like,
98645731,Pot de Dualité,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Dévoilez les 3 cartes du dessus de votre Deck, ajoutez-en 1 à votre main, et aussi, après ça, mélangez les cartes restantes dans votre Deck. Vous ne pouvez activer qu'1 ""Pot de Dualité"" par tour. Vous ne pouvez pas Invoquer Spécialement durant le tour où vous activez cette carte.",,,Excavates from the player's Deck/Adds from Deck to hand/Adds excavated cards to the hand/Shuffles excavated cards into the Deck,Effect/Condition,
32807846,Renfort de l'Armée,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.,Warrior,,Adds from Deck to hand,Effect,
48680970,Âme Éternelle,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Chaque ""Magicien Sombre"" dans votre Zone Monstre n'est pas affecté par des effets de carte de votre adversaire. Si cette carte face recto quitte le Terrain : détruisez tous les monstres que vous contrôlez. Vous ne pouvez utiliser l'effet suivant de ""Âme Éternelle"" qu'une fois par tour. Vous pouvez activer 1 de ces effets ;●Invoquez Spécialement 1 ""Magicien Sombre"" depuis votre main ou Cimetière.●Ajoutez 1 ""Attaque de Magie Noire"" ou ""Mille Couteaux"" depuis votre Deck à votre main.",Dark Magician/Dark Magic Attack/Thousand Knives,,Adds from Deck to hand,Continuous-like/Trigger-like/Condition/Quick-like,
07922915,Navigation des Magiciens,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement 1 ""Magicien Sombre"" depuis votre main, puis Invoquez Spécialement 1 monstre TÉNÈBRES Magicien de max. Niveau 7 depuis votre Deck. Si vous contrôlez ""Magicien Sombre"", sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Magie/Piège face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, annulez ses effets.",Dark Magician/DARK/Spellcaster,,Activates from your Graveyard,Effect/Quick-like,
57728570,Virus Broyeur de Carte,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Sacrifiez 1 monstre TÉNÈBRES avec max. 1000 ATK ; votre adversaire ne reçoit aucun dommage jusqu'à la fin du prochain tour après la résolution de cette carte, et aussi, vous regardez la main de votre adversaire et tous les monstres qu'il contrôle, et si vous le faites, détruisez les monstres avec min. 1500 ATK parmi eux, puis votre adversaire peut détruire max. 3 monstres avec min. 1500 ATK dans son Deck.",DARK,,Tributes for cost/Reveals face-down cards/Reveals your opponent's hand,Cost/Effect,
44095762,Force de Miroir,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : détruisez tous les monstres en Position d'Attaque de votre adversaire.,,,Activates upon attack declaration,Activation requirement/Effect,
57470761,Aile Tyran,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre Dragon sur le Terrain ; équipez-lui cette carte. Il gagne 400 ATK/DEF, et aussi, il peut faire max. 2 attaques sur des monstres durant chaque Battle Phase. Une fois par tour, durant la End Phase, si le monstre équipé avec cette carte par cet effet a attaqué un monstre de l'adversaire ce tour : détruisez cette carte.",Dragon,,Equips self from field,Effect/Continuous-like/Trigger-like,
