Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
30079770,Dragon Flamboyant Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Gémeau／Effet],,,,,Niveau 7,2400,2000,,,,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Si un calcul des dommages impliquant cette carte est effectué, à la fin de la Battle Phase : vous pouvez infliger des dommages à votre adversaire égaux à l'ATK d'origine de cette carte. Vous ne pouvez utiliser cet effet de ""Dragon Flamboyant Noir aux Yeux Rouges"" qu'une fois par tour.",,,,Unclassified/Condition/Trigger,
39357122,Archdémon d'Éclairs aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Gémeau／Effet],,,,,Niveau 6,2500,1200,,,,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Une fois par tour : vous pouvez détruire tous les monstres face recto contrôlés par votre adversaire avec une DEF inférieure à l'ATK de cette carte.",,,,Unclassified/Condition/Ignition,
53485634,Dragon Rétro aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 4,1700,1600,,,,"Si un ou plusieurs monstres ""Yeux Rouges"" de max. Niveau 7 que vous contrôlez sont détruits par une attaque ou effet de carte de votre adversaire, et envoyés à votre Cimetière, tant que cette carte est dans votre main : vous pouvez Invoquer Spécialement cette carte en Position de Défense, et si vous le faites, Invoquez Spécialement autant de ces monstres détruits que possible dans la même position qu'ils étaient lorsqu'ils ont été détruits. Vous pouvez Sacrifier cette carte ; durant votre Main Phase ce tour, vous pouvez Invoquer Normalement 1 monstre ""Yeux Rouges"", en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /Red-Eyes,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Tributes itself for cost,Trigger/Ignition,
66574418,Pierre Noire Légendaire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,0,0,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 monstre ""Yeux Rouges"" de max. Niveau 7 depuis votre Deck. Si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre ""Yeux Rouges"" de max. Niveau 7 dans votre Cimetière ; mélangez-le dans le Deck, et si vous le faites, ajoutez cette carte à votre main. Vous ne pouvez utiliser qu'1 effet de ""Pierre Noire Légendaire"" par tour, et uniquement une fois le tour.",Supports archetypes /Red-Eyes,,Tributes itself for cost/Returns from your Graveyard to your Deck/Returns itself from Graveyard to hand/Activates from your Graveyard,Ignition/Condition,
93969023,Dragon de Métal Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,600,600,,,,"Vous pouvez cibler 1 monstre ""Yeux Rouges"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain à la cible. Elle gagne 600 ATK. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 carte ""Yeux Rouges"" depuis votre Deck à votre main.",Supports archetypes /Red-Eyes,,Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard/Adds from Deck to hand,Ignition/Continuous-like/Trigger,
48305365,Axe Raider,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Normal],,,,,4,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,,
64428736,Glaive de l'Alligator,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1500,1200,,,,Ce puissant lézard peut faire virevolter son glaive à une vitesse dépassant celle du son !,,,,,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
78658564,Troupe d'Assaut Gobeline,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,2300,0,,,,"Si cette carte attaque, elle est changée en Position de Défense à la fin de la Battle Phase, et sa position de combat ne peut pas être changée jusqu'à la End Phase de votre prochain tour.",,,Changes battle positions/Prevents Battle Position changes,Continuous,
00423705,Gearfried le Chevalier de Fer,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,Si au moins l'un des joueurs équipe une ou plusieurs Cartes d'Équipement à cette carte : détruisez ces Cartes d'Équipement.,,Equip Card,,Trigger,
30860696,Guerrier Roquette,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,1300,,,,"Durant votre Battle Phase, cette carte ne peut pas être détruite au combat, et aussi, vous ne recevez aucun dommage de combats impliquant cette carte. Si cette carte attaque un monstre, après le calcul des dommages : jusqu'à la fin de ce tour, la cible de l'attaque perd 500 ATK.",,,,Continuous/Trigger,
50903514,Spadassin des Flammes Bleues,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,"Une fois par tour, durant la Battle Phase de chaque joueur : vous pouvez cibler 1 autre monstre de Type Guerrier que vous contrôlez ; cette carte perd exactement 600 ATK, et si elle le fait, le monstre gagne 600 ATK. Lorsque cette carte que vous contrôlez est détruite par une carte de votre adversaire (au combat ou par un effet de carte) et envoyée à votre Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre FEU de Type Guerrier dans votre Cimetière ; Invoquez Spécialement la cible.",Warrior/FIRE,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Quick/Trigger,
69488544,Gearfried Phénix,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Gémeau／Effet],,,,,Niveau 8,2800,2200,,,,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Si votre adversaire active une Carte Magie : vous pouvez cibler 1 monstre Gémeau dans votre Cimetière ; Invoquez Spécialement la cible. Durant le tour de chaque joueur, lorsqu'une Carte Magie/Piège qui cible un ou plusieurs monstres sur le Terrain est activée : vous pouvez envoyer 1 Carte d'Équipement face recto que vous contrôlez au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la.",Gemini monster/Equip Card,,Sends from your field to your Graveyard for cost,Unclassified/Condition/Trigger/Quick,
