Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
93124273,Cavalerie Samouraï de Reptier,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Pendule／Effet],,,,,Niveau 4,1800,1200,,,,"Au début de la Damage Step, si cette carte attaque un monstre face recto de votre adversaire (Monstres Pendule exclus) : vous pouvez détruire le monstre.",,,,Trigger,
15978426,Secondâne Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1000,2000,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Potartiste"" (""Secondâne Potartiste"" exclu) depuis votre Deck au Cimetière. Si vous avez 2 cartes dans vos Zones Pendule, vous pouvez l'ajouter à votre main à la place.",Supports archetypes /Performapal,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard/Adds from Deck to hand,Trigger,
52963531,Splashmammouth Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Pendule／Effet],,,,,Niveau 6,1900,2300,,,,"Durant votre Main Phase : vous pouvez Invoquer par Fusion 1 Monstre de Fusion de Type Dragon depuis votre Extra Deck, en utilisant des monstres que vous contrôlez comme Matériels de Fusion. Vous ne pouvez utiliser cet effet de ""Splashmammouth Potartiste"" qu'une fois par Duel.",Supports archetypes /Odd-Eyes,,Activates upon Special Summon/Sends from your field to your Graveyard/Uses cards on the player's field as Fusion Materials,Pendulum Effect /Trigger-like/Monster Effect/Ignition/Condition,
88358139,Aideprincesse Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1200,1200,,,,"Lorsque vous Invoquez Normalement ou Spécialement un ou plusieurs monstres ""Potartiste"" (""Aideprincesse Potartiste"" exclu), sauf durant la Damage Step : vous pouvez Invoquer Spécialement cette carte depuis votre main.",Supports archetypes /Performapal,,,Trigger,
14756848,Voleur Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 10,1000,1000,,,,"Si vous n'avez aucune Carte Magie/Piège dans votre Cimetière, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Après que cette carte a été Invoquée Spécialement de cette façon, le reste de ce tour, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Samouraï Supralourd"" exclus). Vous pouvez Sacrifier cette carte, puis activez 1 de ces effets ;●Détruisez 1 carte dans la Zone Magie & Piège de votre adversaire, puis vous pouvez Poser la Carte Magie/Piège détruite sur votre Terrain.●Détruisez 1 carte dans la Zone Pendule de votre adversaire, puis vous pouvez placer la carte détruite dans votre Zone Pendule.",Supports archetypes /Superheavy Samurai,Pendulum Monster,Tributes itself for cost/Exchanges cards/Sets from your opponent's Graveyard,Summon/Unclassified/Ignition,
14624296,Cornâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,300,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou votre Terrain à la cible. Il peut faire une seconde attaque durant chaque Battle Phase. Tant que cette carte est équipée à un monstre par l'effet de cette carte : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Cornâme Samouraï Supralourd"" qu'une fois par tour.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard,Ignition/Continuous-like/Ignition-like/Condition,
40028305,Serrâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 2,500,500,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou votre Terrain à la cible. Il gagne 500 ATK/DEF, et aussi, il ne peut pas être détruit au combat. Tant que cette carte est équipée à un monstre par l'effet de cette carte : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Serrâme Samouraï Supralourd"" qu'une fois par tour.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field,Ignition/Continuous-like/Ignition-like/Condition,
71578874,Miroir Conducteur Mageartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,600,1400,,,,"Une fois par tour, durant le tour de chaque joueur : vous pouvez cibler 1 monstre face recto sur le Terrain ; échangez son ATK et sa DEF actuelles, puis recevez 500 points de dommages. Ce changement d'ATK/DEF dure jusqu'à la fin de ce tour.",,,,Pendulum Effect /Ignition-like/Monster Effect/Quick,
07563579,Peluchefeu Mageartiste,Unlimited(OCG)/Unlimited(TCG),FEU,[Magicien/Pendule／Effet],,,,,Niveau 4,1000,1000,,,,"Si cette carte sur le Terrain est détruite au combat ou par un effet de carte : vous pouvez Invoquer Spécialement 1 monstre ""Mageartiste"" (""Peluchefeu Mageartiste"" exclu) depuis votre main ou Deck. Vous ne pouvez utiliser cet effet de ""Peluchefeu Mageartiste"" qu'une fois par tour.",Supports archetypes /Performage,,Activates from your Graveyard,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger,
44968687,Le Pêcheur Légendaire III,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Effet],,,,,Niveau 7,2500,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 ""Le Pêcheur Légendaire"". Lorsque cette carte est Invoquée Spécialement : vous pouvez bannir tous les monstres contrôlés par votre adversaire, et aussi, cette carte ne peut pas attaquer ce tour. Non destructible ni au combat ni par des effets de carte, et aussi, non affectée par des effets de Magie/Piège. Une fois par tour : vous pouvez renvoyer autant de cartes bannies de votre adversaire que possible à son Cimetière, et si vous le faites, les premiers dommages de combat ou d'effet que votre adversaire reçoit ce tour seront doublés.",The Legendary Fisherman,,Activates upon Special Summon/Returns the opponent's banished cards to the Graveyard,Summon/Trigger/Continuous/Ignition,
