Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
36262024,Poussin Dragon Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,800,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Dragon Noir aux Yeux Rouges"" depuis votre main.",Red-Eyes Black Dragon,,Sends itself from field to Graveyard for cost,Ignition,
96561011,Dragon des Ténèbres aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 9,2400,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 ""Dragon Noir aux Yeux Rouges"". Gagne 300 ATK pour chaque monstre Dragon dans votre Cimetière.",Red-Eyes Black Dragon/Dragon,,Tributes for cost,Summon/Continuous,
88264978,Dragon Sombre Métallique aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 10,2800,2400,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en bannissant 1 monstre Dragon face recto que vous contrôlez. Vous ne pouvez Invoquer Spécialement ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour de cette façon. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Dragon (""Dragon Sombre Métallique aux Yeux Rouges"" exclu) depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour.",Dragon,,,Summon/Ignition,
67300516,Vouivre aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 4,1800,1600,,,,"Une fois par tour, durant votre End Phase : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Yeux Rouges"" dans votre Cimetière ; Invoquez Spécialement la cible. Vous ne pouvez pas Invoquer/Poser Normalement durant le tour où vous activez cet effet.",Supports archetypes /Red-Eyes,,Activates from your Graveyard,Trigger,
55343236,Dragon Noir aux Yeux Rouges Corrompu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2400,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 ""Dragon Noir aux Yeux Rouges"" depuis votre Deck. Il ne peut y avoir qu'1 monstre ""Corrompu"" sur le Terrain. Les autres monstres que vous contrôlez ne peuvent pas déclarer d'attaque. S'il n'y a aucune Magie de Terrain face recto sur le Terrain, détruisez cette carte.",Red-Eyes Black Dragon/Field Spell Card,Anti-supports archetypes /Malefic,,Summon/Unclassified/Continuous,
66574418,Pierre Noire Légendaire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,0,0,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 monstre ""Yeux Rouges"" de max. Niveau 7 depuis votre Deck. Si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre ""Yeux Rouges"" de max. Niveau 7 dans votre Cimetière ; mélangez-le dans le Deck, et si vous le faites, ajoutez cette carte à votre main. Vous ne pouvez utiliser qu'1 effet de ""Pierre Noire Légendaire"" par tour, et uniquement une fois le tour.",Supports archetypes /Red-Eyes,,Tributes itself for cost/Returns from your Graveyard to your Deck/Returns itself from Graveyard to hand/Activates from your Graveyard,Ignition/Condition,
93969023,Dragon de Métal Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,600,600,,,,"Vous pouvez cibler 1 monstre ""Yeux Rouges"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain à la cible. Elle gagne 600 ATK. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 carte ""Yeux Rouges"" depuis votre Deck à votre main.",Supports archetypes /Red-Eyes,,Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard/Adds from Deck to hand,Ignition/Continuous-like/Trigger,
58257569,Bébé Dragon aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 3,1200,700,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Yeux Rouges"" de max. Niveau 7 depuis votre Deck, et si vous le faites, équipez-lui cette carte depuis le Cimetière. Il gagne 300 ATK. Si cette carte est envoyée au Cimetière tant qu'elle est équipée à un monstre : vous pouvez ajouter 1 monstre Dragon de Niveau 1 depuis votre Deck ou Cimetière à votre main.",Supports archetypes /Red-Eyes,,Activates if destroyed by battle/Activates from your Graveyard/Equips self from Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Trigger/Continuous-like,
85651167,Gearfried aux Yeux Rouges le Chevalier de Fer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,"Une fois par tour, si l'un des joueurs équipe une ou plusieurs Cartes d'Équipement à cette carte : vous pouvez détruire ces Cartes d'Équipement, puis vous pouvez détruire 1 Magie/Piège contrôlé par votre adversaire. Une fois par tour : vous pouvez envoyer 1 Carte d'Équipement que vous contrôlez qui est équipée à cette carte au Cimetière, puis ciblez 1 monstre ""Yeux Rouges"" de max. Niveau 7 dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Red-Eyes,Equip Card,Sends from field to Graveyard for cost,Trigger/Ignition,
