Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
58257569,Bébé Dragon aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 3,1200,700,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Yeux Rouges"" de max. Niveau 7 depuis votre Deck, et si vous le faites, équipez-lui cette carte depuis le Cimetière. Il gagne 300 ATK. Si cette carte est envoyée au Cimetière tant qu'elle est équipée à un monstre : vous pouvez ajouter 1 monstre Dragon de Niveau 1 depuis votre Deck ou Cimetière à votre main.",Supports archetypes /Red-Eyes,,Activates if destroyed by battle/Activates from your Graveyard/Equips self from Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Trigger/Continuous-like,
85651167,Gearfried aux Yeux Rouges le Chevalier de Fer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,"Une fois par tour, si l'un des joueurs équipe une ou plusieurs Cartes d'Équipement à cette carte : vous pouvez détruire ces Cartes d'Équipement, puis vous pouvez détruire 1 Magie/Piège contrôlé par votre adversaire. Une fois par tour : vous pouvez envoyer 1 Carte d'Équipement que vous contrôlez qui est équipée à cette carte au Cimetière, puis ciblez 1 monstre ""Yeux Rouges"" de max. Niveau 7 dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Red-Eyes,Equip Card,Sends from field to Graveyard for cost,Trigger/Ignition,
21140872,Dragon Lame aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 7,2800,2400,,Dragon Noir aux Yeux Rouges + 1 monstre Guerrier,,"Lorsqu'un monstre ""Yeux Rouges"" déclare une attaque : vous pouvez cibler 1 monstre Guerrier dans votre Cimetière ; équipez-le à cette carte comme une Magie d'Équipement qui donne 200 ATK à cette carte. Lorsqu'une carte ou un effet qui cible une carte que vous contrôlez est activé (Effet Rapide) : vous pouvez envoyer 1 Carte d'Équipement que vous contrôlez au Cimetière ; annulez l'activation, et si vous le faites, détruisez la carte. Si cette carte est détruite au combat ou par un effet de carte : vous pouvez Invoquer Spécialement autant de monstres depuis votre Cimetière que possible, qui étaient équipés à cette carte.",Warrior/Equip Card,,Activates upon attack declaration/Equips monsters from the player's Graveyard to itself/Grants effect to Equip Spell Card/Sends from field to Graveyard for cost/Activates if destroyed by battle/Activates if destroyed by card effect,Trigger/Continuous/Quick,
57135971,Croc aux Yeux Rouges avec Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre ""Yeux Rouges"" que vous contrôlez ; équipez-lui cette carte. Durant chaque Battle Phase, il peut faire max. 2 attaques sur des monstres. Vous pouvez envoyer cette Carte d'Équipement au Cimetière, puis ciblez 1 Monstre à Effet sur le Terrain ; équipez la cible au monstre qui était équipé avec cette carte, et si vous le faites, tant qu'un monstre lui est équipé par cet effet, son ATK/DEF deviennent égales à l'ATK/DEF d'origine du monstre équipé.",Effect Monster,Effect Monster,Equips self from field/Sends itself from field to Graveyard for cost,Effect/Continuous-like/Quick-like,
53485634,Dragon Rétro aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 4,1700,1600,,,,"Si un ou plusieurs monstres ""Yeux Rouges"" de max. Niveau 7 que vous contrôlez sont détruits par une attaque ou effet de carte de votre adversaire, et envoyés à votre Cimetière, tant que cette carte est dans votre main : vous pouvez Invoquer Spécialement cette carte en Position de Défense, et si vous le faites, Invoquez Spécialement autant de ces monstres détruits que possible dans la même position qu'ils étaient lorsqu'ils ont été détruits. Vous pouvez Sacrifier cette carte ; durant votre Main Phase ce tour, vous pouvez Invoquer Normalement 1 monstre ""Yeux Rouges"", en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /Red-Eyes,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Tributes itself for cost,Trigger/Ignition,
06172122,Fusion aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion qui liste un monstre ""Yeux Rouges"" comme Matériel depuis votre Extra Deck, en utilisant des monstres depuis votre main, Deck ou Terrain comme Matériel Fusion, et si vous le faites, son nom devient ""Dragon Noir aux Yeux Rouges"". Vous ne pouvez Invoquer ni Normalement ni Spécialement d'autres monstres le tour où vous activez cette carte. Vous ne pouvez activer qu'1 ""Fusion aux Yeux Rouges"" par tour.",Supports archetypes /Red-Eyes,,Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard/Sends from your field to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards in the player's Deck as Fusion Materials/Uses cards on the player's field as Fusion Materials,Effect/Condition,
84539520,Princesse Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 3,1200,900,,,,"Le nom de cette carte devient ""Reine Amazonesse"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Amazonesse"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Princesse Amazonesse"" qu'une fois par tour. Lorsque cette carte déclare une attaque : vous pouvez envoyer 1 autre carte depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement 1 monstre ""Amazonesse"" (""Princesse Amazonesse"" exclu) depuis votre Deck en Position de Défense.",Supports archetypes /Amazoness,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Activates upon attack declaration/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost,Unclassified/Trigger/Condition,
10928224,Bébé Tigre Amazonesse,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 2,500,500,,,,"Le nom de cette carte devient ""Tigresse Amazonesse"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si un monstre ""Amazonesse"" est Invoqué Normalement ou Spécialement sur votre Terrain tant que cette carte est dans votre main ou Cimetière : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Bébé Tigre Amazonesse"" qu'une fois par tour. Gagne 100 ATK pour chaque carte ""Amazonesse"" dans votre Cimetière.",Supports archetypes /Amazoness,,Activates from your hand/Activates from your Graveyard/Activates upon Normal Summon/Activates upon Special Summon,Unclassified/Trigger/Condition/Continuous,
83407038,Assaut Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Une fois par tour, durant la Battle Phase : vous pouvez Invoquer Spécialement 1 monstre ""Amazonesse"" depuis votre main, et si vous le faites, il gagne 500 ATK jusqu'à la fin de ce tour (même si cette carte quitte le Terrain). Après le calcul des dommages, si votre monstre ""Amazonesse"" combat un monstre de l'adversaire tant que cette carte est déjà face recto dans votre Zone Magie & Piège : vous pouvez bannir le monstre de l'adversaire. Si cette carte sur le Terrain est détruite et envoyée au Cimetière : vous pouvez cibler 1 monstre ""Amazonesse"" dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Amazoness,,Activates from your Graveyard,Quick-like/Trigger-like,
