Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
71187462,Aile Noire - Vâta l'Emblème du Vagabondage,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 2,800,0,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Vâta l'Emblème du Vagabondage"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Aile Noire - Vâta l'Emblème du Vagabondage"" qu'une fois par tour de cette façon. Durant votre Main Phase : vous pouvez envoyer cette carte sur le Terrain au Cimetière ainsi que min. 1 monstre non-Syntoniseur ""Aile Noire"" depuis votre Deck, de façon à ce que le Niveau total envoyé est égal à exactement 8, et si vous le faites, Invoquez Spécialement 1 ""Dragon Ailes Sombres"" depuis votre Extra Deck, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Aile Noire - Vâta l'Emblème du Vagabondage"" qu'une fois par tour.",Supports archetypes /Blackwing,,Sends itself from field to Graveyard for cost/Sends from Deck to Graveyard for cost,Unclassified/Condition/Ignition/Condition,
08571567,Aile Noire - Shamal la Tempête de Sable,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 4,1600,0,,,,"Vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; placez 1 ""Tourbillon Plume Noire"" depuis votre Deck face recto dans votre Zone Magie & Piège. Si ""Dragon Ailes Sombres"" ou un ou plusieurs Monstres Synchro ""Aile Noire"" sont Invoqués Spécialement sur votre Terrain, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez bannir cette carte, puis ciblez 1 monstre ""Aile Noire"" dans votre Cimetière ; ajoutez-le à votre main, puis recevez 700 points de dommages. Vous ne pouvez utiliser chaque effet de ""Aile Noire - Shamal la Tempête de Sable"" qu'une fois par tour.",Supports archetypes /Blackwing,,,Ignition/Trigger/Condition,
34976176,Aile Noire - Chinook le Souffle de Neige,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,100,700,,,,"Vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; envoyez 1 Monstre Synchro ""Aile Noire"" ou 1 ""Dragon Ailes Sombres"" depuis votre Extra Deck au Cimetière, et si vous le faites, jusqu'à la fin de ce tour, le monstre ciblé perd 700 ATK, et aussi, annulez ses effets. Ceci est un Effet Rapide si vous contrôlez un Monstre Synchro TÉNÈBRES. Vous ne pouvez utiliser cet effet de ""Aile Noire - Chinook le Souffle de Neige"" qu'une fois par tour.",Supports archetypes /Blackwing,,Sends itself from hand to Graveyard for cost,Ignition/Condition/Condition,
70465810,Aile Noire - Sudri le Miroitement Fantôme,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1400,1400,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 carte qui mentionne ""Dragon Ailes Sombres"" (""Aile Noire - Sudri le Miroitement Fantôme"" exclu) depuis votre Deck à votre main. Vous pouvez Sacrifier 1 monstre ; Invoquez Spécialement 1 ""Jeton Miroitement Fantôme"" (Bête Ailée/Syntoniseur/TÉNÈBRES/Niveau 2/ATK 700/DEF 700), puis vous recevez 700 points de dommages. Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro exclus) depuis l'Extra Deck le tour où vous activez cet effet. Vous ne pouvez utiliser cet effet de ""Aile Noire - Sudri le Miroitement Fantôme"" qu'une fois par tour.",Black-Winged Dragon/Synchro Monster,,Activates upon Normal Summon/Adds from Deck to hand/Tributes as an effect,Trigger/Ignition/Condition/Condition,
07459919,Aile Noire - Zonda le Crépuscule,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 6,2300,900,,,,"Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro exclus) depuis l'Extra Deck. Vous ne pouvez utiliser qu'1 des effets suivants de ""Aile Noire - Zonda le Crépuscule"" par tour, et uniquement une fois le tour. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre sur le Terrain ; renvoyez-le à la main. Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Aile Noire"" de min. Niveau 5 depuis votre main ou Deck, puis recevez des dommages égaux à son ATK.",Supports archetypes /Blackwing,,Activates upon Normal Summon/Activates upon Special Summon/Returns from field to hand,Continuous/Condition/Trigger/Ignition,
60242223,Bystial Saronir,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 6,2500,2000,,,,"Vous pouvez cibler 1 monstre LUMIÈRE ou TÉNÈBRES dans l'un des Cimetières ; bannissez-le, et si vous le faites, Invoquez Spécialement cette carte depuis votre main. Ceci est un Effet Rapide si votre adversaire contrôle un monstre. Si cette carte est envoyée au Cimetière : vous pouvez envoyer 1 monstre ""Bystial"" (""Bystial Saronir"" exclu) ou 1 Magie/Piège ""Marqué"" depuis votre Deck au Cimetière. Vous ne pouvez utiliser chaque effet de ""Bystial Saronir"" qu'une fois par tour.",Supports archetypes /Bystial/Branded,LIGHT/DARK,Sends from Deck to Graveyard,Ignition/Condition/Trigger/Condition,
32731036,Le Bystial Lubellion,Limited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2500,3000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main ou Cimetière) en Sacrifiant 1 monstre TÉNÈBRES Dragon de min. Niveau 6. Vous ne pouvez Invoquer Spécialement ""Le Bystial Lubellion"" qu'une fois par tour de cette façon. Vous pouvez envoyer cette carte depuis votre main au Cimetière ; ajoutez 1 monstre ""Bystial"" (""Le Bystial Lubellion"" exclu) depuis votre Deck à votre main. Durant votre Main Phase : vous pouvez placer 1 Magie Continue/Piège Continu ""Marqué"" depuis votre Deck face recto sur votre Terrain. Vous ne pouvez utiliser chaque effet de ""Le Bystial Lubellion"" qu'une fois par tour.",Supports archetypes /Bystial/Branded,,Tributes for cost/Sends itself from hand to Graveyard for cost/Adds from Deck to hand/Places cards from Deck in Spell & Trap Zone,Summoning condition/Summoning condition/Condition/Ignition/Ignition/Condition,
69120785,Le Bystial Alba Los,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 12,3500,3500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main ou Cimetière) en Sacrifiant 2 monstres ""Bystial"". Tant que cette carte, Invoquée de cette façon, est dans la Zone Monstre, annulez les effets de tous les Monstres Rituels, Fusion, Synchro, Xyz et Lien face recto sur le Terrain. Si cette carte face recto contrôlée par son propriétaire quitte le Terrain à cause d'un effet de carte de l'adversaire : jusqu'à la End Phase de votre adversaire, vous pouvez bannir face recto toutes les cartes face verso dans les Extra Decks.",Supports archetypes /Bystial,Ritual Monster/Fusion Monster/Synchro Monster/Xyz Monster/Link Monster,Tributes as an effect,Summoning condition/Summoning condition/Continuous/Trigger,
95515789,"Éclatante Cartésia, la Vertueuse",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 4,1500,1500,,,,"Si vous contrôlez ""Albaz le Déchu"" ou qu'il est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte depuis votre main. Durant la Main Phase (Effet Rapide) : vous pouvez Invoquer par Fusion 1 Monstre Fusion de min. Niveau 8 depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel. Durant la End Phase, si un ou plusieurs Monstres Fusion ont été envoyés à votre Cimetière ce tour : vous pouvez ajouter cette carte depuis le Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Éclatante Cartésia, la Vertueuse"" qu'une fois par tour.",Fallen of Albaz/Fusion Monster,,Uses cards on the player's field as Fusion Materials/Uses cards in the hand as Fusion Materials/Adds from Graveyard to hand,Ignition/Quick/Trigger/Condition,
67282505,Mitsu le Ninja des Insectes,Unlimited(OCG)/Unlimited(TCG),EAU,[Insecte/Effet],,,,,Niveau 2,200,2100,,,,"Si vous contrôlez une carte ""Ninja"" ou un monstre en Position de Défense face verso : vous pouvez Invoquer Spécialement cette carte depuis votre main. Lorsque votre adversaire active un effet de monstre (Effet Rapide) : vous pouvez cibler 1 monstre en Position de Défense face verso que vous contrôlez ; changez-le en Position de Défense face recto, et si vous le faites, changez cette carte en Position de Défense face verso, puis, si le monstre ciblé était un monstre ""Ninja"" (""Mitsu le Ninja des Insectes"" exclu), annulez l'effet activé de l'adversaire. Vous ne pouvez utiliser chaque effet de ""Mitsu le Ninja des Insectes"" qu'une fois par tour.",Supports archetypes /Ninja,,Flips monsters face-up/Flips itself face-down,Ignition/Quick/Condition,
