Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
36795102,Bête Cristalline : Dragon Arc-en-Ciel,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,0,,,,"Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Bête Cristalline : Dragon Arc-en-Ciel"" qu'une fois par tour. Lorsqu'une attaque impliquant un monstre ""Bête Cristalline"" est déclarée : vous pouvez Invoquer Spécialement cette carte depuis votre main. Vous pouvez bannir cette carte traitée comme Magie Continue ; Invoquez Spécialement 1 monstre ""Bête Cristalline"" de max. Niveau 4 depuis votre Deck, mais annulez ses effets, et si vous le faites, ajoutez 1 monstre ""Cristal Ultime"" depuis votre Deck à votre main.",Supports archetypes /Crystal Beast/Ultimate Crystal,,Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone/Activates from your hand/Activates upon attack declaration/Adds from Deck to hand,Unclassified/Condition/Trigger/Ignition-like,
25857977,D/D/D Roi du Vice Requiem,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 8,2800,2000,,,,"Vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""D/D/D"" exclus). Un monstre ""D/D/D"" qui a été Invoqué par Fusion, Synchronisation, Xyz ou Lien en utilisant cette carte sur le Terrain comme Matériel gagne cet effet.●Une fois par tour : vous pouvez cibler 1 carte sur le Terrain ; mélangez 1 carte ""Contrat des Ténèbres"" depuis votre Terrain ou Cimetière dans le Deck, et si vous le faites, détruisez la cible, puis gagnez 1000 LP.Vous ne pouvez utiliser cet effet de ""D/D/D Roi du Vice Requiem"" qu'une fois par tour.",Supports archetypes /D/D/D/Dark Contract,,Grants effect as Fusion Material/Grants effect as Synchro Material/Grants effect as Xyz Material/Grants effect as Link Material/Returns from your Graveyard to your Deck/Returns from your field to your Deck,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Unclassified/Ignition,
61245672,Décodeur Bavard Chaleurâme,Unlimited(OCG)/Unlimited(TCG),FEU,[Cyberse/Lien／Effet],Lien 3,Top/Bottom-Left/Bottom-Right,,,,2300,-,,,,"2+ monstres Cyberse d'Attributs différentsGagne 500 ATK pour chaque monstre pointé par cette carte. (Effet Rapide) : vous pouvez payer 1000 LP ; piochez 1 carte, puis si vous avez max. 2000 LP, vous pouvez appliquer cet effet.●Bannissez cette carte depuis le Terrain, et si vous le faites, Invoquez Spécialement 1 monstre Cyberse de max. Link-3 (""Décodeur Bavard Chaleurâme"" exclu) depuis votre Extra Deck.Vous ne pouvez utiliser cet effet de ""Décodeur Bavard Chaleurâme"" qu'une fois par tour.",Cyberse/Link Monster,,You draw cards,Continuous/Quick/Condition,
38529357,"Neptune, Agent de la Vie",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,0,600,,,,"Vous pouvez défausser cette carte ; Invoquez Spécialement 1 monstre ""Agent"" (""Neptune, Agent de la Vie"" exclu) depuis votre main ou Cimetière, ou, si ""Le Sanctuaire Céleste"" est sur le Terrain ou dans l'un des Cimetières, vous pouvez Invoquer Spécialement 1 monstre ""Hypérion"" à la place. Jusqu'à la fin du tour de votre adversaire, aucun joueur ne peut Sacrifier un monstre Invoqué avec cet effet. Si cette carte est bannie : vous pouvez ajouter 1 ""Le Sanctuaire Céleste"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Neptune, Agent de la Vie"" qu'une fois par tour.",Supports archetypes /Hyperion/The Agent,,,Ignition/Trigger/Condition,
37706769,"Pluton, l'Exécuteur des Enfers",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Synchro／Syntoniseur／Effet],,,,,Niveau 5,2300,0,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"(Cette carte est toujours traitée comme une carte ""Agent"".)Une fois par tour : vous pouvez bannir 1 monstre depuis votre Cimetière, puis ciblez 1 Monstre à Effet sur le Terrain ; changez-le en Position de Défense face verso. Ceci est un Effet Rapide si ""Le Sanctuaire Céleste"" est sur le Terrain ou dans l'un des Cimetières. Vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 ""Le Sanctuaire Céleste"" depuis votre Deck ou Cimetière à votre main. Vous ne pouvez utiliser cet effet de ""Pluton, l'Exécuteur des Enfers"" qu'une fois par tour.",The Sanctuary in the Sky,Effect Monster,Changes battle positions/Flips monsters face-down/Activates from your Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Condition/Ignition,
63101468,Maître Flamboyant Hypérion,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Effet],,,,,Niveau 10,3200,2600,,1 Syntoniseur + 1+ monstre non-Syntoniseur Elfe,,"Vous pouvez envoyer 1 monstre ""Agent"", ou 1 monstre qui mentionne ""Le Sanctuaire Céleste"", depuis votre main, Deck ou Extra Deck au Cimetière ; jusqu'à la End Phase, le nom de cette carte devient le nom d'origine du monstre, et remplacez cet effet avec les effets d'origine du monstre. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez bannir 1 monstre Elfe depuis votre main ou Cimetière, puis ciblez 1 carte sur le Terrain ; bannissez-la. Vous ne pouvez utiliser chaque effet de ""Maître Flamboyant Hypérion"" qu'une fois par tour.",Supports archetypes /The Agent,,Sends from Deck to Graveyard for cost/Sends from hand to Graveyard for cost/Sends from Extra Deck to Graveyard,Ignition/Quick/Condition,
90290572,"Lune, Protectrice des Agents",,LUMIÈRE,[Elfe/Lien／Effet],Lien 2,Right/Bottom-Right,,,,1800,-,,,,"2 monstres ElfeSi cette carte est Invoquée par Lien : vous pouvez envoyer 1 ""Le Sanctuaire Céleste"" ou 1 carte qui le mentionne depuis votre Deck au Cimetière, ou si ""Le Sanctuaire Céleste"" est sur le Terrain ou dans l'un des Cimetières, vous pouvez ajouter 1 ""Terre, Agent du Mystère"" depuis votre Deck ou Cimetière à votre main à la place. Vous pouvez Sacrifier 1 monstre Elfe, puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Lune, Protectrice des Agents"" qu'une fois par tour.",The Sanctuary in the Sky/The Agent of Mystery - Earth/Fairy,,Activates upon Link Summon/Sends from your Deck to your Graveyard/Adds from Deck to hand/Adds from Graveyard to hand/Tributes for cost,Trigger/Ignition/Condition,
64927055,Le Chœur Céleste,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 1000 LP, puis ciblez 1 monstre Elfe dans votre Cimetière ; ajoutez-le à votre main, puis, si ""Le Sanctuaire Céleste"" est sur le Terrain ou dans l'un des Cimetières, vous pouvez ajouter 1 de vos ""Le Sanctuaire Céleste"" bannis ou 1 de vos cartes bannies qui le mentionne, à votre main. Vous ne pouvez activer qu'1 ""Le Chœur Céleste"" par tour.",Fairy/The Sanctuary in the Sky,,,Effect/Condition,
26684111,Les Eaux Sacrées Célestes,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Activez 1 ""Le Sanctuaire Céleste"" directement depuis votre Deck, ou ajoutez 1 monstre qui mentionne ""Le Sanctuaire Céleste"" depuis votre Deck à votre main, puis, si ""Le Sanctuaire Céleste"" est sur le Terrain ou dans l'un des Cimetières, vous pouvez gagner 500 LP pour chaque monstre ""Hypérion"" et ""Agent"" que vous contrôlez. Si votre monstre qui mentionne ""Le Sanctuaire Céleste"" va être détruit au combat, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Les Eaux Sacrées Célestes"" qu'une fois par tour.",Supports archetypes /Hyperion/The Agent,,Activates cards from your Deck/Adds from Deck to hand,Effect/Unclassified/Condition,
90312154,Sanctuaire Déchu,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque cette carte est activée : Posez 1 ""Le Sanctuaire Céleste"", ou 1 Magie/Piège qui le mentionne, directement depuis votre Deck. Le nom de cette carte devient ""Le Sanctuaire Céleste"" tant qu'elle est sur le Terrain ou dans le Cimetière. Vous pouvez bannir 1 monstre Elfe depuis votre Cimetière, puis ciblez 1 Monstre à Effet contrôlé par votre adversaire ; jusqu'à la fin de ce tour (même si cette carte quitte le Terrain), annulez ses effets. Vous ne pouvez utiliser cet effet de ""Sanctuaire Déchu"" qu'une fois par tour. Vous ne pouvez activer qu'1 ""Sanctuaire Déchu"" par tour.",Fairy/The Sanctuary in the Sky,,,Effect/Unclassified/Quick-like/Condition/Condition,
