Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
00209710,Clown Flick,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 4,1000,1400,,,,"Si vous contrôlez min. 2 autres monstres Cyberse et que vous n'avez aucune carte dans votre main : vous pouvez payer 1000 LP ; piochez 1 carte. Vous ne pouvez utiliser cet effet de ""Clown Flick"" qu'une fois par tour.",Cyberse,,You draw cards,Ignition/Condition,
67744384,Protecteur Tindangle,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 3,800,1600,,,,"FLIP : Vous pouvez changer max. 3 monstres que vous contrôlez en Position de Défense face verso en Position de Défense face recto, puis si tous ces monstres sont des monstres ""Tindangle"", vous pouvez ajouter max. autant de cartes ""Tindangle"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Protecteur Tindangle"" qu'une fois par tour.",Supports archetypes /Tindangle,,Activates upon being flipped face-up/Flips monsters face-up/Adds from Deck to hand,Flip/Condition,
29415459,Étoile Jaune Mekk-Chevalier,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Effet],,,,,Niveau 7,2200,2800,,,,"Si min. 2 cartes sont dans la même colonne, vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans cette colonne. Vous ne pouvez Invoquer Spécialement ""Étoile Jaune Mekk-Chevalier"" qu'une fois par tour de cette façon. Vous pouvez bannir 1 monstre ""Mekk-Chevalier"" depuis votre Cimetière, puis ciblez 1 Magie/Piège dans la colonne de cette carte ; détruisez-le.",Supports archetypes /Mekk-Knight,,,Unclassified/Condition/Ignition,
28692962,Tombée de la Nuit Violette Mekk-Chevalier,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Effet],,,,,Niveau 8,2500,2000,,,,"Si min. 2 cartes sont dans la même colonne, vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans cette colonne. Vous ne pouvez Invoquer Spécialement ""Tombée de la Nuit Violette Mekk-Chevalier"" qu'une fois par tour de cette façon. (Effet Rapide) : vous pouvez cibler 1 monstre ""Mekk-Chevalier"" que vous contrôlez ; bannissez-le (jusqu'à la Standby Phase de votre prochain tour), et si vous le faites, ajoutez 1 monstre ""Mekk-Chevalier"" (""Tombée de la Nuit Violette Mekk-Chevalier"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Tombée de la Nuit Violette Mekk-Chevalier"" qu'une fois par tour.",Supports archetypes /Mekk-Knight,,Adds from Deck to hand,Unclassified/Condition/Quick,
55787576,"Héritage du Monde - ""Bouclier du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 6,0,3000,,,,"Non affectée par les effets activés d'un monstre Invoqué Spécialement depuis l'Extra Deck. Votre adversaire ne peut pas cibler vos cartes ""Héritage du Monde"" dans la colonne de cette carte avec des effets de carte, et aussi, elles ne peuvent pas être détruites par des effets de carte de votre adversaire. Durant la Standby Phase, si cette carte est dans votre Cimetière : vous pouvez payer 1000 LP ; Invoquez Spécialement cette carte, puis votre adversaire peut Invoquer Spécialement 1 monstre depuis sa main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Héritage du Monde - ""Bouclier du Monde"""" qu'une fois par tour.",Supports archetypes /World Legacy,,Activates from your Graveyard,Continuous/Trigger/Condition,
91182675,"Chacal, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 1,0,1400,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Vous pouvez retirer 3 Compteurs Magie depuis votre Terrain et Sacrifier cette carte ; Invoquez Spécialement 1 Monstre à Effet ""Bête Mythique"" (""Chacal, Bête Mythique"" exclu) depuis votre Deck.",Supports archetypes /Mythical Beast,,Activates if other Pendulum Zone is unoccupied/Tributes itself for cost,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Ignition,
28570310,"Garuda, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1200,1600,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Lorsque votre adversaire Invoque Normalement ou Spécialement un ou plusieurs monstres (sauf durant la Damage Step) : vous pouvez retirer 3 Compteurs Magie depuis votre Terrain ; Invoquez Spécialement cette carte depuis votre main, puis renvoyez ces monstres Invoqués de l'adversaire à la main. Vous ne pouvez utiliser cet effet de ""Garuda, Bête Mythique"" qu'une fois par tour.",,,Activates if other Pendulum Zone is unoccupied/Activates upon Normal Summon/Activates upon Special Summon/Returns from your opponent's field to your opponent's hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Trigger/Continuous,
54965929,"Méduse, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1500,1500,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Une fois par tour, durant la Battle Phase (Effet Rapide) : vous pouvez retirer 2 Compteurs Magie depuis votre Terrain, puis ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, son ATK/DEF deviennent la moitié de son ATK/DEF actuelles.",,,Activates if other Pendulum Zone is unoccupied,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Quick,
80959027,"Bashilisk, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1800,500,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Vous pouvez retirer 3 Compteurs Magie depuis votre Terrain ; renvoyez 1 carte ""Bête Mythique"" depuis votre Zone Pendule ou face recto depuis votre Extra Deck à la main. Vous ne pouvez utiliser cet effet de ""Bashilisk, Bête Mythique"" qu'une fois par tour.",Supports archetypes /Mythical Beast,,Activates if other Pendulum Zone is unoccupied/Returns from your Extra Deck to your Main Deck/You draw cards/Returns from your field to your hand/Adds from Extra Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Ignition,
27354732,"Roi Chacal, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 6,2400,1400,,,,"Chaque fois qu'une Carte Magie est activée, placez 2 Compteurs Magie sur cette carte lorsque la Magie est résolue. Une fois par tour, lorsque l'adversaire active un effet de monstre (Effet Rapide) : vous pouvez retirer 2 Compteurs Magie depuis votre Terrain ; annulez l'activation, et si vous le faites, détruisez la carte.",Supports archetypes /Mythical Beast,,Activates if other Pendulum Zone is unoccupied,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Quick,
