Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
65612386,"Angmarl, le Monarque Démoniaque",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez bannir 1 Carte Magie depuis votre Cimetière ; ajoutez 1 carte du même nom que la Carte Magie bannie depuis votre Deck à votre main.,,,Activates upon Tribute Summon/Adds from Deck to hand,Trigger,
35058857,Étoilune le Roi Magicien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,900,600,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un Monstre Synchro TÉNÈBRES. Si vous contrôlez un Syntoniseur, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 autre monstre face recto que vous contrôlez ou dans votre Cimetière ; jusqu'à la fin de ce tour, le Niveau de cette carte devient le même que celui du monstre, et aussi, vous ne pouvez pas Invoquer Spécialement, sauf par Invocation Synchro.",Tuner monster/DARK/Synchro Monster,,Activates upon Normal Summon/Activates upon Special Summon,Condition/Summon/Trigger,
64880894,Guerrier Chargeur de Poussière d'Étoile,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Synchro／Effet],,,,,Niveau 6,2000,1300,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez piocher 1 carte. Vous ne pouvez utiliser cet effet de ""Guerrier Chargeur de Poussière d'Étoile"" qu'une fois par tour. Cette carte peut attaquer une fois tous les monstres Invoqués Spécialement contrôlés par votre adversaire.",,,Activates upon Synchro Summon/You draw cards,Trigger/Condition/Continuous,
37279508,Numéro 37 : Espoir Tissé Dragon Araignée Requin,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Xyz／Effet],,,Rang 4,,,2600,2100,,2 monstres EAU de Niveau 4,,"Lorsque le monstre d'un joueur déclare une attaque : vous pouvez détacher 1 Matériel Xyz de cette carte ; jusqu'à la fin de ce tour, tous les monstres actuellement contrôlés par votre adversaire perdent 1000 ATK. Lorsque cette carte est détruite au combat ou par un effet de carte, et envoyée au Cimetière : vous pouvez cibler 1 autre monstre dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Numéro 37 : Espoir Tissé Dragon Araignée Requin"" qu'une fois par tour.",WATER,,Activates upon attack declaration/Activates from your Graveyard,Trigger/Condition,
63767246,Numéro 38 : Espoir Annonciateur Dragon Titanesque Galactique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Xyz／Effet],,,Rang 8,,,3000,2500,,2 monstres de Niveau 8,,"Une fois par tour, lorsqu'une Carte Magie ou effet de Magie est activé sur le Terrain (Effet Rapide) : vous pouvez annuler l'effet, et si vous le faites, attachez la carte à cette carte comme Matériel. Lorsqu'un monstre de l'adversaire déclare une attaque : vous pouvez détacher 1 Matériel de cette carte ; transférez la cible de l'attaque sur cette carte et faites le calcul des dommages. Si un ou plusieurs autres Monstres Xyz face recto que vous contrôlez sont détruits au combat ou par un effet de carte : vous pouvez cibler 1 Monstre Xyz face recto que vous contrôlez ; il gagne une ATK égale à l'ATK d'origine d'1 de ces monstres détruits.",Xyz Monster,,Attaches as Xyz Material/Activates upon attack declaration/Exchanges cards,Quick/Trigger,
62541668,Numéro 77 : Les Sept Péchés,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Xyz／Effet],,,Rang 12,,,4000,3000,,2 monstres de Niveau 12,,"Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un Monstre Xyz TÉNÈBRES de Rang 10 ou 11 que vous contrôlez comme Matériel. (Transférez ses Matériels à cette carte.) Si elle est Invoquée de cette façon, l'effet suivant ne peut pas être activé ce tour. Une fois par tour : vous pouvez détacher 2 Matériels de cette carte ; bannissez autant de monstres Invoqués Spécialement contrôlés par votre adversaire que possible, puis attachez 1 de ces monstres bannis à cette carte comme Matériel. Si cette carte face recto sur le Terrain va être détruite au combat ou par un effet de carte, vous pouvez détacher 1 Matériel de cette carte à la place.",DARK/Xyz Monster,,Transfers/Detaches multiple Xyz Materials as cost/Attaches your opponent's banished cards as Xyz Material/Exchanges cards/Detaches Xyz Materials for effect,Summon/Condition/Ignition/Continuous,
99940363,Souffle de Gelée des Monarques,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre avec min. 2400 ATK et 1000 DEF : ciblez 1 carte Posée sur le Terrain ; détruisez-la. Vous pouvez bannir cette carte et 1 Carte Magie/Piège ""Monarque"" depuis votre Cimetière, puis ciblez 1 carte Posée sur le Terrain ; détruisez-la.",Supports archetypes /Monarch ,,Activates from your Graveyard,Activation requirement/Effect/Ignition-like,
62829077,Route d'Espoir Lumineux,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 3 monstres dans votre Cimetière ; Invoquez-les Spécialement tous les 3, mais leurs effets sont annulés. Immédiatement après la résolution de cet effet, Invoquez par Xyz 1 Monstre Xyz ""Utopie"" ou ""Utopique"" en utilisant uniquement ces 3 monstres. Vous ne pouvez pas Invoquer Spécialement d'autres monstres durant le tour où vous activez cette carte.",Supports archetypes /Utopia /Utopic,,,Activation requirement/Effect/Condition,
98827725,Les Chevaliers Fantômes de la Brigandine Ombragée,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement cette carte en Position de Défense comme Monstre Normal (Guerrier/TÉNÈBRES/Niveau 4/ATK 0/DEF 300) (cette carte N'EST PAS traitée comme Piège). Si vous n'avez aucun Piège dans votre Cimetière, vous pouvez activer cette carte le tour où elle a été Posée. Vous ne pouvez activer qu'1 ""Les Chevaliers Fantômes de la Brigandine Ombragée"" par tour.",,,,Effect/Condition,
24212820,Les Chevaliers Fantômes des Gantelets des Ténèbres,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Envoyez 1 Magie/Piège ""Chevaliers Fantômes"" depuis votre Deck au Cimetière. Lorsqu'un monstre de l'adversaire déclare une attaque directe tant que vous ne contrôlez aucune carte et que cette carte est dans votre Cimetière : Invoquez Spécialement cette carte en Position de Défense comme un Monstre à Effet (Guerrier/TÉNÈBRES/Niveau 4/ATK 300/DEF 600), mais bannissez-la lorsqu'elle quitte le Terrain. (Cette carte N'EST PAS traitée comme un Piège.) Si elle est Invoquée de cette façon, cette carte gagne 300 DEF pour chaque Magie/Piège ""Chevaliers Fantômes"" dans votre Cimetière.",Supports archetypes /Phantom Knights,,Sends from your Deck to your Graveyard/Activates upon attack declaration/Activates from your Graveyard,Effect/Trigger-like/Condition/Continuous-like,
