Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
59494222,Inscription des Protecteurs du Tombeau,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Au début de votre Main Phase 1 : jusqu'à la fin du tour de votre adversaire, appliquez 1 des effets suivants.●Aucun joueur ne peut activer d'effets de carte dans le Cimetière.●Aucun joueur ne peut bannir de cartes depuis le Cimetière.●Aucun joueur ne peut Invoquer Spécialement de monstres depuis les Cimetières.",,,,Effect,
73478096,Empereur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1000,,,,"Si cette carte est envoyée au Cimetière, sauf depuis le Terrain, tant qu'un autre monstre ""Photon"" ou ""Galactique"" est sur votre Terrain ou dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte en Position de Défense. Vous ne pouvez utiliser cet effet de ""Empereur Photon"" qu'une fois par tour. Après que vous avez Invoqué Normalement ou Spécialement cette carte, vous pouvez Invoquer Normalement 1 monstre LUMIÈRE durant votre Main Phase ce tour, en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /Photon/Galaxy,,Activates from your Graveyard,Trigger/Condition/Unclassified,
00863795,Invocateur Galactique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1600,1400,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""Photon"" ou ""Galactique"" (""Invocateur Galactique"" exclu) dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense. Vous pouvez cibler 1 autre monstre LUMIÈRE que vous contrôlez ; jusqu'à la fin de ce tour, il devient de Niveau 4. Vous ne pouvez utiliser chaque effet de ""Invocateur Galactique"" qu'une fois par tour.",Supports archetypes /Photon/Galaxy,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Ignition/Condition,
05141117,Âmépée - Le Dragon des Abysses,Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Effet],,,,,Niveau 8,3000,2900,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de monstre Wyrm. Si un monstre est banni par un effet de carte (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis le Cimetière (si elle y était lorsque le monstre a été banni) ou la main (même si elle n'y était pas), mais bannissez-la lorsqu'elle quitte le Terrain. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 carte dans la Zone Terrain et 1 monstre contrôlé par votre adversaire ou dans son Cimetière ; bannissez-les. Vous ne pouvez utiliser chaque effet de ""Âmépée - Le Dragon des Abysses"" qu'une fois par tour.",,,Activates upon Special Summon,Summoning condition/Summoning condition/Trigger/Trigger/Condition,
78534861,Kashtira Griffrayeur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Effet],,,,,Niveau 7,0,2600,,,,"Durant la Main Phase (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, bannissez 1 carte ""Kashtira"" ou ""Griffrayeur"" depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Kashtira Griffrayeur"" qu'une fois par tour. Cette carte peut attaquer tant qu'elle est en Position de Défense face recto. Si elle le fait, appliquez sa DEF pour le calcul des dommages. Si votre monstre ""Kashtira"" ou ""Griffrayeur"" combat un monstre de l'adversaire, les effets du monstre de l'adversaire sont annulés jusqu'à la fin de ce tour.",Supports archetypes /Scareclaw/Kashtira,,,Quick/Condition/Continuous/Continuous,
04928565,Kashtira des Tiarmentations,Limited(OCG)/Unlimited(TCG),EAU,[Psychique/Effet],,,,,Niveau 7,2300,1200,,,,"Durant la Main Phase (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, bannissez 1 carte ""Kashtira"" ou ""Tiarmentations"" depuis votre main ou Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer les 3 cartes du dessus du Deck de l'un des joueurs au Cimetière. Si cette carte est envoyée au Cimetière par un effet de carte : vous pouvez envoyer les 2 cartes du dessus de votre Deck au Cimetière. Vous ne pouvez utiliser chaque effet de ""Kashtira des Tiarmentations"" qu'une fois par tour.",Supports archetypes /Tearlaments/Kashtira,,Activates upon Normal Summon/Activates upon Special Summon/Sends from Deck to Graveyard/Activates from your Graveyard,Quick/Trigger/Trigger/Condition,
30327674,Sorcière du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1500,1500,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 2 ""Jeton Bête des Ténèbres"" (Démon/TÉNÈBRES/Niveau 2/ATK 1000/DEF 500). Si cette carte est bannie depuis la main ou Cimetière : vous pouvez Invoquer Spécialement 2 ""Jeton Bête de la Lumière"" (Elfe/Syntoniseur/LUMIÈRE/Niveau 2/ATK 500/DEF 1000). Vous ne pouvez utiliser qu'1 effet de ""Sorcière du Chaos"" par tour, et uniquement une fois le tour, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro LUMIÈRE ou TÉNÈBRES exclus) depuis l'Extra Deck, le tour où vous activez l'un des effets.",LIGHT/DARK/Synchro Monster,,Tributes itself for cost/Activates while banished,Ignition/Trigger/Condition,
77312273,Carapace du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1600,0,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de carte. Si cette carte face recto va quitter le Terrain, bannissez-la à la place. Vous ne pouvez utiliser chacun des effets suivants de ""Carapace du Chaos"" qu'une fois par tour. Vous pouvez bannir 1 monstre LUMIÈRE depuis votre main ou Cimetière ; Invoquez Spécialement cette carte depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro LUMIÈRE ou TÉNÈBRES exclus) depuis l'Extra Deck le reste de ce tour. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 de vos ""Cœur du Chaos"" bannis ; Invoquez-le Spécialement.",LIGHT/DARK/Synchro Monster/Core of Chaos,,Activates upon Special Summon,Summoning condition/Summoning condition/Unclassified/Condition/Ignition/Trigger,
03806388,Cœur du Chaos,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Syntoniseur／Effet],,,,,Niveau 2,0,1600,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de carte. Si cette carte face recto va quitter le Terrain, bannissez-la à la place. Vous ne pouvez utiliser chacun des effets suivants de ""Cœur du Chaos"" qu'une fois par tour. Vous pouvez bannir 1 monstre TÉNÈBRES depuis votre main ou Cimetière ; Invoquez Spécialement cette carte depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro LUMIÈRE ou TÉNÈBRES exclus) depuis l'Extra Deck le reste de ce tour. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 de vos ""Carapace du Chaos"" bannis ; Invoquez-le Spécialement.",DARK/LIGHT/Synchro Monsters/Shell of Chaos,,Activates upon Special Summon,Summoning condition/Summoning condition/Unclassified/Condition/Ignition/Trigger,
03084730,Bio-Armure d'Insecte,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Effet],,,,,Niveau 5,1500,2000,,,,"Si cette carte est dans votre main ou Cimetière et que vous ne contrôlez pas ""Bio-Armure d'Insecte"" : vous pouvez cibler 1 monstre Insecte que vous contrôlez ; équipez-lui cette carte, mais bannissez-le lorsqu'il quitte le Terrain, et aussi, bannissez cette Carte d'Équipement lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Bio-Armure d'Insecte"" qu'une fois par tour. Le monstre équipé gagne 1500 ATK/2000 DEF uniquement durant la Battle Phase et Main Phase 2.",Insect,,Activates from your hand/Activates from your Graveyard/Equips self from hand/Equips self from Graveyard,Ignition/Condition/Continuous-like,
65477143,Acteur des Abysses - Dramaturge de la Liberté,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 4,1500,1500,,,,"Si cette carte est Invoquée Spécialement depuis la Zone Pendule : le propriétaire de cette carte révèle 3 Magies ""Script des Abysses"" depuis son Deck, son adversaire en prend 1 au hasard pour le propriétaire de cette carte à Poser sur son Terrain (mais le propriétaire la détruit durant la End Phase), et aussi, mélangez les cartes restantes dans le Deck. Si cette carte est détruite : vous pouvez mélanger 1 Magie ""Script des Abysses"" depuis votre Cimetière dans le Deck. Vous ne pouvez utiliser chaque effet de ""Acteur des Abysses - Dramaturge de la Liberté"" qu'une fois par tour.",Supports archetypes /Abyss Script,,Discards for cost/Activates upon Special Summon/Reveals cards from your Deck/Sets from your Deck/Activates if destroyed by battle/Activates if destroyed by card effect/Returns from your Graveyard to your Deck,,
