Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
38955728,Sorceleuse de Noyaux de Dragon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Syntoniseur／Normal],,,,,Niveau 8,2300,3000,,,,"Ses nombreuses années de massacre de dragons ont fait baigner cette chasseresse dans une innombrable quantité de sang. Chaque goutte lui a conféré plus de puissance, mais en contrepartie son corps désormais maudit est recouvert par une contamination de dragon qui se répand comme une épidémie. Aucun village n'accepte de l'accueillir et elle ne se rappelle plus ce qui l'a poussée dans cette croisade.",,,,,
64450427,Sorcière Capricieuse Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 3,800,800,,,,Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un Monstre Pendule.,Pendulum Monster,,,Pendulum Effect /Ignition-like/Condition/Monster Effect/Unclassified,
91449532,Hippopotame du Flip Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,800,800,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Potartiste"" depuis votre main, mais il a ses effets annulés jusqu'à la fin de ce tour. Une fois par tour : vous pouvez changer tous les monstres que vous contrôlez en Position de Défense.",Supports archetypes /Performapal,,Activates upon Normal Summon/Changes battle positions,Trigger/Ignition,
69228245,Changeraffe Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 1,100,500,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; tant que cette carte est face recto sur le Terrain, le monstre face recto ne peut pas attaquer, et aussi, annulez les effets du monstre face recto tant qu'il est sur le Terrain.",,,,Pendulum Effect /Trigger-like/Monster Effect/Trigger,
96622984,Attrape-Mouche Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 2,400,800,,,,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; placez 1 Compteur Prédateur sur celui-ci, et s'il est de min. Niveau 2, il devient Niveau 1 tant qu'il a un Compteur Prédateur. Au début de la Damage Step, lorsque cette carte combat un monstre de Niveau inférieur ou égal : vous pouvez détruire le monstre, puis augmentez le Niveau de cette carte du Niveau d'origine du monstre détruit.",,,,Ignition/Trigger,
22011689,Murène Népenthès Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 4,1600,1000,,,,"Cette carte gagne 200 ATK pour chaque Compteur Prédateur sur le Terrain. Lorsque cette carte détruit un monstre de votre adversaire au combat : vous pouvez équiper le monstre à cette carte. Une fois par tour : vous pouvez cibler 1 Carte Monstre équipée à cette carte par l'effet de cette carte ; détruisez-la, et si vous le faites, gagnez des LP égaux à son ATK d'origine.",,,Activates when it destroys a monster by battle/Equips monsters from the player's Graveyard to itself/Equips monsters from the opponent's Graveyard to itself,Continuous/Trigger/Ignition,
95500396,Pacificâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,0,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain à la cible. Tant que cette carte est équipée à un monstre par cet effet, les monstres contrôlés par votre adversaire ne peuvent pas attaquer les monstres que vous contrôlez (le monstre équipé exclu). Vous pouvez Sacrifier un monstre que vous contrôlez équipé avec cette carte par l'effet de cette carte ; Invoquez Spécialement 1 monstre ""Samouraï Supralourd"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Pacificâme Samouraï Supralourd"" qu'une fois par tour.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Tributes for cost,Ignition/Continuous-like/Ignition-like/Condition,
21999001,Raptor Jumeau Cipher,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1600,800,,,,"Si votre adversaire contrôle un monstre face recto qui a été Invoqué Spécialement depuis l'Extra Deck et que vous ne contrôlez aucun monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous pouvez défausser 1 carte ; Invoquez Spécialement 1 monstre ""Cipher"" depuis votre main ou Deck, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Cipher"" exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Raptor Jumeau Cipher"" qu'une fois par tour.",Supports archetypes /Cipher,,Discards for cost,Summon/Ignition/Condition,
58383100,Chevalier Miroir Cipher,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,0,0,,,,"Lorsqu'un monstre ""Cipher"" que vous contrôlez est détruit au combat et envoyé à votre Cimetière : vous pouvez défausser cette carte ; envoyez 1 carte depuis votre main ou Terrain au Cimetière, et si vous le faites, Invoquez Spécialement le monstre détruit. Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter 1 carte ""Cipher"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chevalier Miroir Cipher"" qu'une fois par tour.",Supports archetypes /Cipher,,Discards itself for cost/Sends from your hand to your Graveyard for cost/Sends from your field to your Graveyard for cost/Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
94388754,Fleur Cardian Trèfle avec Sanglier,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 7,1000,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 1 monstre ""Fleur Cardian"" (""Fleur Cardian Trèfle avec Sanglier"" exclu). Si cette carte est Invoquée Spécialement : piochez 1 carte, et si vous le faites, montrez-la, puis, si c'est un monstre ""Fleur Cardian"", vous pouvez détruire 1 monstre contrôlé par votre adversaire. Sinon, envoyez-la au Cimetière.",Supports archetypes /Flower Cardian,,Tributes for cost/Activates upon Special Summon/You draw cards/Shows the player's drawn cards/Sends from your hand to your Graveyard,Summon/Trigger,
21772453,Fleur Cardian Érable avec Cerf,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 10,1000,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 1 monstre ""Fleur Cardian"" (""Fleur Cardian Érable avec Cerf"" exclu). Si cette carte est Invoquée Spécialement : piochez 1 carte, et si vous le faites, montrez-la, puis, si c'est un monstre ""Fleur Cardian"", vous pouvez détruire 1 Carte Magie/Piège contrôlée par votre adversaire. Sinon, envoyez-la au Cimetière.",Supports archetypes /Flower Cardian,,Tributes for cost/Activates upon Special Summon/You draw cards/Shows the player's drawn cards/Sends from your hand to your Graveyard,Summon/Trigger,
57261568,Fleur Cardian Pivoine à Papillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Syntoniseur／Effet],,,,,Niveau 6,1000,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 1 monstre ""Fleur Cardian"" (""Fleur Cardian Pivoine à Papillon"" exclu). Si cette carte est Invoquée Spécialement : piochez 1 carte, et si vous le faites, montrez-la, puis, si c'est un monstre ""Fleur Cardian"", regardez les 3 cartes du dessus du Deck de votre adversaire, puis placez-les toutes au-dessus ou au-dessous du Deck dans l'ordre de votre choix. Sinon, envoyez-la au Cimetière. Lorsque cette carte est utilisée comme Matériel de Synchro, vous pouvez traiter cette carte et tous les autres Matériels de Synchro (qui ont un Niveau) comme des monstres de Niveau 2.",Supports archetypes /Flower Cardian,,Tributes for cost/Activates upon Special Summon/You draw cards/Shows the player's drawn cards/Looks at cards from the top of opponent's Deck/Changes opponent's Deck order/Places cards from opponent's Deck on the top of the Deck/Places cards from opponent's Deck on the bottom of the Deck/Sends from hand to Graveyard,Summon/Trigger/Continuous,
93665266,Quan Crystron,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Syntoniseur／Effet],,,,,Niveau 1,500,500,,,,"Durant la Main ou Battle Phase de votre adversaire (Effet Rapide) : vous pouvez Invoquer Spécialement 1 monstre non-Syntoniseur depuis votre main, mais ses effets sont annulés (s'il en a), et si vous le faites, immédiatement après la résolution de cet effet, Invoquez par Synchronisation 1 Monstre Synchro Machine en utilisant uniquement le monstre et cette carte. Vous ne pouvez utiliser cet effet de ""Quan Crystron"" qu'une fois par tour.",Machine/Synchro Monster,,Uses itself as a Synchro Material,Quick/Condition,
