Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
97923414,Inpachi,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Normal],,,,,4,1600,1900,,,,"A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.",,,,,
80770678,Esprit de la Harpe,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal],,,,,Niveau 4,800,2000,,,,Esprit qui apaise l'âme grâce à la musique de sa harpe divine.,,,,,
02964201,Ryu-Ran,Unlimited(OCG)/Unlimited(TCG),FIRE,[Dragon/Normal],,,,,7,2200,2600,,,,A vicious little dragon sheltered in an egg that looks deceptively harmless.,,,,,
38445524,Gil Garth,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Normal],,,,,4,1800,1200,,,,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,,,,,
89386122,"Claíomh Solais, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Normal],,,,,Niveau 6,2300,1200,,,,"L'arme ultime conçue d'après Claíomh Solais, le légendaire monstre de la Vallée des Brumes. Ses attaques aériennes surprises affolent les envahisseurs.",,,,,
72302403,Épées de Révélation de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.",,,Flips monsters face-up,Condition/Effect/Continuous-like,
05650082,Force de Miroir Violente,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : renvoyez tous les monstres en Position d'Attaque de votre adversaire à la main.,,,Activates upon attack declaration/Returns from your opponent's field to your opponent's hand,Activation requirement/Effect,
95281259,Le Guerrier Réincarné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.,Warrior,,Adds from Graveyard to hand,Effect,
24508238,Corbeau D.D.,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 1,100,100,,,,"(Effet Rapide) : vous pouvez défausser cette carte au Cimetière, puis ciblez 1 carte dans le Cimetière de votre adversaire ; bannissez la cible.",,,Discards itself for cost,Quick,
56099748,Visas Starfrost,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Warrior/Tuner／Effect],,,,,6,2100,1500,,,,"If this card is in your hand: You can target 1 monster you control with a different Type and Attribute than this card; destroy that monster, and if you do, Special Summon this card. You can only use this effect of ""Visas Starfrost"" once per turn. When this card destroys an opponent's monster by battle: You can make this card gain ATK equal to half the original ATK or DEF of that monster (whichever is higher, your choice if tied).",,,Activates from your hand/Activates when it destroys a monster by battle,Ignition/Condition/Trigger,
