Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
64268668,Cyber Ogre,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Effect],,,,,5,1900,1200,,,,"By discarding this card from your hand to the Graveyard, negate 1 battle involving a ""Cyber Ogre"" on your side of the field, and it gains 2000 ATK until the end of its next battle. This effect can be activated during either player's turn.",,,Activates from your hand/Discards itself for cost,Quick,
91663373,Cyber Esper,Unlimited(OCG)/Unlimited(TCG),FIRE,[Machine/Effect],,,,,4,1200,1800,,,,"While this card is in face-up Attack Position, you can look at every card your opponent draws.",,,Shows the opponent's drawn cards,Trigger,
86209650,Asmodien Égaré,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 3,1300,1700,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière, chaque joueur gagne 800 Life Points.",,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
12694768,Abaki,Unlimited(OCG)/Unlimited(TCG),FIRE,[Fiend/Effect],,,,,4,1700,1100,,,,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
11685347,Asmodien Explosif,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 3,1000,300,,,,"Si une (ou plusieurs) Carte Magie et/ou Piège est mise dans une Chaîne, infligez 500 points de dommages à votre adversaire.",,,,Trigger,
47084486,Démon de la Vanité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,1200,,,,Non Invocable Spécialement. Aucun joueur ne peut Invoquer Spécialement de monstres.,,,,Summon/Continuous,
84478195,Statue-Barrière des Abysses,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus).,DARK,,,Continuous,
10963799,Statue-Barrière du Torrent,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres EAU exclus).,WATER,,,Continuous,
47961808,Statue-Barrière des Enfers,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres FEU exclus).,FIRE,,,Continuous,
73356503,Statue-Barrière des Tempêtes,Forbidden(OCG)/Forbidden(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres VENT exclus).,WIND,,,Continuous,
19740112,Statue-Barrière de la Sécheresse,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres TERRE exclus).,EARTH,,,Continuous,
46145256,Statue-Barrière du Paradis,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1000,1000,,,,Aucun joueur ne peut Invoquer Spécialement de monstres (monstres LUMIÈRE exclus).,LIGHT,,,Continuous,
72634965,Maître de la Vanité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2500,1600,,,,Non Invocable Spécialement. Votre adversaire ne peut pas Invoquer Spécialement de monstres.,,,,Summon/Continuous,
09628664,"Iris, la Mère de la Terre",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 6,2400,1200,,,,"Après qu'une Chaîne de 3 Blocks ou plus soit résolue, piochez 1 carte. Cet effet ne s'active pas si plusieurs cartes/effets avec le même nom ont été activés dans cette Chaîne.",,,You draw cards,Trigger,
45023678,Punisseur Foudroyant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet],,,,,Niveau 7,2600,1600,,,,"Après qu'une Chaîne de 3 Blocks ou plus soit résolue, détruisez 1 carte sur le Terrain de votre adversaire. Cet effet ne s'active pas si plusieurs cartes/effets avec le même nom ont été activés dans cette Chaîne.",,,,Trigger,
71411377,Garde du Corps de la Reine,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1700,1200,,,,"Les monstres ""Reine Charmeuse"" sur votre Terrain en peuvent pas être sélectionnés comme cible d'une attaque.",Supports archetypes /Allure Queen,,,Continuous,
08806072,Guerrier des Combos,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 4,1600,800,,,,"Si une Chaîne (de 2 Blocks ou plus) se produit pendant votre Main Phase 1, cette carte peut attaquer deux fois durant la Battle Phase ce tour.",,,,Continuous,
71395725,Homme-Bête d'Ares,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 3,500,500,,,,"Après qu'une Chaîne (de 2 Blocks ou plus) soit résolue, cette carte gagne 500 points d'ATK.",,,,Continuous,
39188539,Tireur de la Tempête,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 7,2300,500,,,,"Une fois par tour, vous pouvez sélectionner et activer 1 des effets suivants : ● Déplacer cette carte vers une Zone Carte Monstre adjacente inoccupée. ● Renvoyer 1 Carte Magie, Piège ou Monstre dans la même colonne que cette carte sur le Terrain de votre adversaire dans la main de son propriétaire.",,,Returns from field to hand/Returns from your opponent's field to your opponent's hand,Ignition,
99532708,Alien Mars,Unlimited(OCG)/Unlimited(TCG),FIRE,[Reptile/Effect],,,,,3,1000,1000,,,,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars"".",,,,Continuous,
37057012,Cyber Ogre 2,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Fusion／Effect],,,,,7,2600,1900,,"Cyber Ogre + ""Cyber Ogre""",,"A Fusion Summon of this monster can only be conducted with the above Fusion Material Monsters. When this card attacks, it gains ATK equal to half the ATK of the attack target, during damage calculation only.",,,,Summon/Continuous,
02561846,"Cellule de Corruption ""A""",Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Mettez 1 Compteur-A sur 1 monstre face recto sur le Terrain de votre adversaire.,,,Distributes A-Counter,Effect,
39956951,Éclair de la Magie Interdite,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Si votre adversaire contrôle des monstres dans toutes ses Zones Monstre Main : détruisez tous les monstres contrôlés par votre adversaire.,,,,Activation requirement/Effect,
38834303,Aspirateur à Compteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Payez 500 LP ; retirez tous les Compteurs sur le Terrain.,,Counter,,Cost/Effect,
64238008,Canon à Accélérateur Linéaire,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Sacrifiez 1 monstre et infligez des dommages à votre adversaire égaux à la moitié de l'ATK d'origine de ce monstre. Si vous activez cette carte, vous ne pouvez activer aucune autre Carte Magie ce tour.",,,Tributes as an effect,Cost/Effect/Condition,
37011715,Renaissance Miraculeuse,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Activable uniquement en tant que Block Chaîne 4 ou supérieur. Sélectionnez 1 monstre depuis le Cimetière de l'un ou l'autre joueur et Invoquez-le Spécialement. Vous ne pouvez pas activer cette carte s'il y a plusieurs cartes/effets avec le même nom dans cette Chaîne.,,,,Activation requirement/Effect/Condition,
63516460,Typhon de Vent Mystique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Activable uniquement en tant que Block Chaîne 3 ou supérieur. Détruisez 1 Carte Magie ou Piège sur le Terrain. Vous ne pouvez pas activer cette carte s'il y a plusieurs cartes/effets avec le même nom dans cette Chaîne.,,,,Activation requirement/Effect/Condition,
90500169,Perte de Niveau !?,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Sélectionnez 1 monstre ""LV"" face recto sur le Terrain pour activer cette carte. Renvoyez la carte sélectionnée dans le Deck de son propriétaire et faites l'Invocation Spéciale d'1 monstre du Cimetière du propriétaire sur son Terrain avec le même nom mais un ""LV"" inférieur (en ignorant les conditions d'Invocation).",Supports archetypes /LV,,Returns from your field to your Deck/Returns from your opponent's field to your opponent's Deck,Effect,
63394872,Commutateur Senet,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Une fois par tour : vous pouvez cibler 1 monstre dans votre Zone Monstre Main et choisir 1 de ses Zones Monstre (horizontales) adjacentes inutilisées ; déplacez la cible dans la zone adjacente choisie.,,,,Ignition-like,
25173686,Suite Royale,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Si votre adversaire contrôle une carte dans chacune de ses Zones Magie & Piège : détruisez toutes les cartes dans ses Zones Magie & Piège.,,,,Activation requirement/Effect,
25050038,Soins en Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Gagnez 500 Life Points. Si cette carte a été activée en tant que Block Chaîne 2 ou 3, ajoutez cette carte au Deck et mélangez-le. Si cette carte a été activée en tant que Block Chaîne 4 ou supérieur, renvoyez cette carte dans la main.",,,Returns itself from field to Deck/Returns itself from field to hand,Effect,
51449743,Détonations en Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Infligez 500 points de dommages à votre adversaire. Si cette carte a été activée en tant que Block Chaîne 2 ou 3, ajoutez cette carte au Deck et mélangez-le. Si cette carte a été activée en tant que Block Chaîne 4 ou supérieur, renvoyez cette carte dans la main.",,,Returns itself from field to Deck/Returns itself from field to hand,Effect,
36935434,Sacrifice de Byroad,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activable uniquement si un monstre sur votre Terrain est détruit au combat. Faites l'Invocation Spéciale d'1 ""Cyber Ogre"" depuis votre main.",Cyber Ogre,,,Activation requirement/Effect,
24838456,Appel de la Vanité,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Activable uniquement en tant que Block 4 ou supérieur d'une Chaîne. Payez la moitié de vos Life Points. Annulez l'activation et les effets de toutes les autres cartes de la même chaîne et détruisez-les.,,,,Activation requirement/Cost/Effect,
50323155,Corne Céleste Ténébreuse,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire va Invoquer Spécialement exactement 1 monstre : annulez l'Invocation Spéciale, et si vous le faites, détruisez-le.",,,,Activation requirement/Effect,
