Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
17390179,Chevalier Flash,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Pendule／Normal],,,,,Niveau 4,1800,600,,,,La puissance du pendule se dégage de ce chevalier éclatant.,,,,,
43785278,Canon de Foucault,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Normal],,,,,Niveau 5,2200,1200,,,,"Une forme de vie mécanisée, errant à travers l'espace-temps. Étrangement, elle semble avoir presque perdu tou... sa mémoi... P...ur que...lle raison ? Refu... elle d'interf... avec ?",,,,Pendulum Effect /Trigger-like,
89189982,Dragon Armé Métaphysique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Normal],,,,,Niveau 7,2800,1000,,,,Généralement visible malgré son existence fantôme.,,,,,
79967395,Serpent à Fouet Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Reptile/Effet],,,,,Niveau 4,1700,900,,,,"Une fois par tour, durant la Main Phase de chaque joueur : vous pouvez cibler 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, échangez son ATK et sa DEF actuelles.",,,,Quick,
15452043,Poisson Épée Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 2,600,600,,,,Si cette carte est Invoquée Normalement ou Spécialement : tous les monstres actuellement contrôlés par votre adversaire perdent 600 ATK/DEF. Si vous Invoquez Spécialement un ou plusieurs monstres tant que vous contrôlez cette carte : tous les monstres actuellement contrôlés par votre adversaire perdent 600 ATK/DEF.,,,Activates upon Normal Summon/Activates upon Special Summon,Trigger,
41440148,Hippopotame à la Mode Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,800,800,,,,"Après que vous avez Invoqué Normalement cette carte, vous pouvez Invoquer par Sacrifice 1 monstre de min. Niveau 7 en Position d'Attaque face recto durant votre Main Phase ce tour, en plus de votre Invocation Normale ou Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",,,,Unclassified,
04239451,Crapaud du Tour Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Pendule／Effet],,,,,Niveau 2,0,800,,,,"Une fois par tour, durant votre Battle Phase (sauf durant la Damage Step) : vous pouvez cibler 1 monstre que vous contrôlez ; changez sa position de combat, et si vous le faites, jusqu'à la fin de ce tour, échangez son ATK et sa DEF actuelles.",,,Changes battle positions,Pendulum Effect /Ignition-like/Monster Effect/Trigger,
77013169,Spadassin Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1000,1800,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez changer sa position de combat. Si un monstre ""Samouraï Supralourd"" que vous contrôlez combat un monstre de votre adversaire, après le calcul des dommages : l'ATK/DEF du monstre de votre adversaire deviennent 0.",Supports archetypes /Superheavy Samurai,,Activates upon Normal Summon/Activates upon Special Summon/Changes battle positions,Trigger,
40502912,Aria la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1600,1200,,,,"Tant que cette carte Invoquée Spécialement est sur le Terrain, les monstres ""Musique"" que vous contrôlez ne peuvent être ni ciblés par des effets de carte, ni détruits au combat.",Supports archetypes /Melodious,,,Continuous,
76990617,Sonate la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,1200,1000,,,,"Si vous contrôlez un monstre ""Musique"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Tant que cette carte Invoquée Spécialement est sur le Terrain, tous les monstres de Type Elfe que vous contrôlez gagnent 500 ATK/DEF.",Supports archetypes /Melodious,,,Summon/Continuous,
03395226,Mozarta la Maestria de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2600,2000,,,,Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre LUMIÈRE de Type Elfe depuis votre main. Vous ne pouvez pas Invoquer Spécialement d'autres monstres (monstres LUMIÈRE exclus) le tour où vous activez cet effet.,LIGHT/Fairy,,,Ignition/Condition,
39389320,Roi des Gardes,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 8,3000,1100,,,,"Une fois par tour : vous pouvez Sacrifier un nombre de votre choix de monstres de Type Guerrier (cette carte exclue) ; pour chaque monstre Sacrifié, cette carte gagne 1 attaque supplémentaire durant chaque Battle Phase ce tour.",Warrior,,Tributes for cost,Ignition,
