Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
29603180,Annihilateur Archdémon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 9,2000,3000,,,,"Vous pouvez cibler 1 carte que vous contrôlez et 1 carte contrôlée par votre adversaire ; détruisez-les, et si vous avez détruit un ou plusieurs monstres Démon face recto par cet effet, cette carte gagne une ATK égale à la moitié de l'ATK d'origine des monstres Démon jusqu'à la fin de ce tour. Vous ne pouvez utiliser cet effet de ""Annihilateur Archdémon"" qu'une fois par tour.",Fiend,Fiend,,Ignition/Condition,
14146794,Donyoribo @Ignister,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 1,300,0,,,,"Durant le calcul des dommages, si votre monstre ""@Ignister"" est attaqué (Effet Rapide) : vous pouvez défausser cette carte ; vous ne recevez aucun dommage de combat de ce combat. Lorsqu'un effet de monstre ""@Ignister"", une Carte Magie/Piège ""A.I."" ou un effet de Magie/Piège ""A.I."", qui inflige des dommages à votre adversaire est activé, même durant la Damage Step (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière ; doublez ces points de dommages infligés à votre adversaire. Vous ne pouvez utiliser chaque effet de ""Donyoribo @Ignister"" qu'une fois par tour.",Supports archetypes /@Ignister/A.I.,,Activates from your hand/Discards itself for cost/Activates from your Graveyard,Trigger,
40140448,Guerriers Anciens - Magistral Sun Mou,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,1500,,,,"Tant que vous contrôlez un autre monstre ""Guerriers Anciens"", les monstres de votre adversaire ne peuvent pas cibler cette carte avec une attaque. Vous ne pouvez utiliser chacun des effets suivants de ""Guerriers Anciens - Magistral Sun Mou"" qu'une fois par tour.●Vous pouvez envoyer 1 carte depuis votre main ou Terrain au Cimetière ; ajoutez 1 monstre ""Guerriers Anciens"" (""Guerriers Anciens - Magistral Sun Mou"" exclu) depuis votre Deck à votre main.●Si un effet de votre autre monstre ""Guerriers Anciens"" est activé (sauf durant la Damage Step) : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; renvoyez-le à la main.",Supports archetypes /Ancient Warriors,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Adds from Deck to hand/Returns from your opponent's field to your opponent's hand,Continuous/Condition/Ignition/Trigger,
77539547,Guerriers Anciens - Gracieux Zhou Gong,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Effet],,,,,Niveau 4,1600,1600,,,,"Vous pouvez cibler 1 Magie Continue/Piège Continu que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, ajoutez 1 Magie/Piège ""Guerriers Anciens"" depuis votre Deck à votre main. Si un effet de votre autre monstre ""Guerriers Anciens"" est activé (sauf durant la Damage Step) : vous pouvez cibler 1 Monstre à Effet contrôlé par votre adversaire ; jusqu'à la fin de ce tour, annulez ses effets. Vous ne pouvez utiliser chaque effet de ""Guerriers Anciens - Gracieux Zhou Gong"" qu'une fois par tour.",Supports archetypes /Ancient Warriors,Effect Monster,Sends from your field to your Graveyard/Adds from Deck to hand,Ignition/Trigger/Condition,
13923256,Guerriers Anciens - Excentrique Lu Jing,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Effet],,,,,Niveau 4,700,2000,,,,"Vous pouvez cibler 1 Magie Continue/Piège Continu que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, ajoutez 1 Magie/Piège ""Guerriers Anciens"" de nom différent depuis votre Cimetière à votre main. Si un effet de votre autre monstre ""Guerriers Anciens"" est activé (sauf durant la Damage Step) : vous pouvez cibler 1 Magie/Piège contrôlé par votre adversaire ; détruisez-le. Vous ne pouvez utiliser chaque effet de ""Guerriers Anciens - Excentrique Lu Jing"" qu'une fois par tour.",Supports archetypes /Ancient Warriors,,Sends from your field to your Graveyard/Adds from Graveyard to hand,Ignition/Trigger/Condition,
02089016,Roquette Tuspa Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1000,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Chronomal"" depuis votre Deck ou Extra Deck au Cimetière, puis ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, il perd une ATK égale au Niveau/Rang du monstre envoyé au Cimetière x 200. Un Monstre Xyz ""Numéro"" qui a été Invoqué en utilisant cette carte sur le Terrain comme Matériel gagne cet effet.●Durant chaque Battle Phase, cette carte peut faire max. 2 attaques sur des monstres.Vous ne pouvez utiliser chaque effet de ""Roquette Tuspa Chronomal"" qu'une fois par tour.",Supports archetypes /Chronomaly/Number,,Activates upon Normal Summon/Activates upon Special Summon/Sends from Deck to Graveyard for cost/Sends from Extra Deck to Graveyard for cost/Grants effect as Xyz Material,Trigger/Unclassified/Continuous,
38173725,Arcjet Lightcraft,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 9,0,2100,,,,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Normalement cette carte sans Sacrifices. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre Machine de max. Niveau 8 dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense, et si vous le faites, son Niveau devient 9, et aussi, annulez ses effets. Vous ne pouvez utiliser cet effet de ""Arcjet Lightcraft"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Xyz Machine exclus) depuis l'Extra Deck.",Machine/Xyz Monster,,Activates upon Normal Summon/Activates upon Special Summon,Unclassified/Continuous/Trigger,
74578720,Chronogistreur des Voleurs de Temps,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1000,1000,,,,"Durant la Battle Phase de votre adversaire (Effet Rapide) : vous pouvez Sacrifier cette carte ; les prochains dommages de combat que vous recevez d'une attaque de monstre de l'adversaire ce tour sont infligés à votre adversaire à la place. Si un Monstre Xyz face recto que vous contrôlez quitte le Terrain par un effet de carte, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Chronogistreur des Voleurs de Temps"" qu'une fois par tour.",Xyz Monster,,Tributes itself for cost/Activates from your Graveyard,Quick/Trigger,
01966438,Âme Désenchaînée Abominable,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,3000,1500,,,,"Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Âme Désenchaînée Abominable"" qu'une fois par tour. Si une ou plusieurs cartes que vous contrôlez sont détruites au combat ou par un effet de carte : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez défausser 1 carte ; détruisez 1 carte sur le Terrain. Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais placez-la au-dessous du Deck lorsqu'elle quitte le Terrain.",,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates upon Special Summon/Discards for cost/Activates from your Graveyard/Returns itself to the Deck when it leaves the field,Condition/Trigger,
00744887,"Utgarda, Boss Genèraideur de la Délusion",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 9,2200,2700,,,,"Vous ne pouvez contrôler qu'1 ""Utgarda, Boss Genèraideur de la Délusion"". (Effet Rapide) : vous pouvez Sacrifier 2 monstres ""Genèraideur"" et/ou monstres Rocher, puis ciblez 1 carte sur le Terrain ; bannissez-la. Vous ne pouvez utiliser cet effet de ""Utgarda, Boss Genèraideur de la Délusion"" qu'une fois par tour.",Supports archetypes /Generaider,,Tributes for cost,Unclassified/Quick,
