Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
03557275,Poussièron Blanc,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Normal],,,,,Niveau 1,0,1000,,,,Le plus fier des Poussièrons.,,,,,
02618045,Chargeur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Une fois par tour : jusqu'à votre prochaine Standby Phase, vous pouvez faire devenir l'ATK de cette carte le double de son ATK d'origine. Cette carte ne peut pas attaquer le tour où vous activez cet effet.",,,,Ignition/Condition,
38007744,Transmetteur Moai Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,900,1800,,,,"Si votre adversaire contrôle une carte et que vous n'en contrôlez aucune, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",,,,Summon,
65591858,Sphinx Ailé Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,1600,1900,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Chronomal"" de Niveau 5 dans votre Cimetière ; Invoquez Spécialement la cible. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Chronomal"" exclus) le tour où vous activez cet effet.",Supports archetypes /Chronomaly,,,Trigger/Condition,
90764875,Goule Gorgonique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Rocher/Effet],,,,,Niveau 1,100,100,,,,"Si vous contrôlez ""Goule Gorgonique"" : vous pouvez payer 300 LP ; Invoquez Spécialement cette carte depuis votre main. Vous ne pouvez utiliser l'effet de ""Goule Gorgonique"" que max. deux fois par tour.",,,,Ignition/Condition,
36046926,Maréchafeuille Sylvan,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Effet],,,,,Niveau 3,1500,1200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez choisir 1 ou 2, puis dévoilez ce nombre de cartes du dessus de votre Deck, envoyez les monstres de Type Plante dévoilés au Cimetière, et aussi, placez les autres cartes au-dessous de votre Deck dans l'ordre de votre choix. Si cette carte est dévoilée depuis le Deck et envoyée au Cimetière par un effet de carte : vous pouvez cibler 1 monstre sur le Terrain ; détruisez la cible.",Plant,,Activates upon Normal Summon/Excavates from the player's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Changes your Deck order/Places excavated cards on the bottom of the Deck/Activates from your Graveyard,Trigger,
61318483,Jackfrost Fantôruse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,800,100,,,,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsqu'un monstre de votre adversaire déclare une attaque directe : vous pouvez changer le monstre de votre adversaire en Position de Défense face verso, et si vous le faites, Invoquez Spécialement cette carte depuis votre main en Position de Défense face verso.",Supports archetypes /Ghostrick,,Changes battle positions/Flips itself face-down/Flips monsters face-down/Activates upon attack declaration,Summon/Ignition/Trigger,
98707192,Marie Fantôruse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,100,1600,,,,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque vous recevez des dommages : vous pouvez défausser cette carte ; Invoquez Spécialement 1 monstre ""Fantôruse"" depuis votre Deck en Position de Défense face verso. Vous ne pouvez utiliser cet effet de ""Marie Fantôruse"" qu'une fois par tour.",Supports archetypes /Ghostrick,,Flips itself face-down/Changes battle positions/Activates from your hand/Activates if you take battle damage/Activates if you take effect damage/Discards itself for cost,Summon/Ignition/Trigger/Condition,
97584500,Momie Fantôruse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,1500,0,,,,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Tant que cette carte est face recto sur le Terrain, vous pouvez Invoquer Normalement 1 monstre ""Fantôruse"" en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus).",Supports archetypes /Ghostrick,,Changes battle positions/Flips itself face-down,Summon/Ignition/Continuous,
22134079,Attaquant en Embuscade des Protecteurs du Tombeau,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1700,0,,,,"Lorsque cette carte est retournée face recto : vous pouvez cibler 1 carte dans le Cimetière de votre adversaire ; placez la cible au-dessous de son Deck. Si cette carte est envoyée depuis le Terrain au Cimetière après avoir été retournée face recto : vous pouvez cibler 1 carte ""Vallée Mortuaire"" dans votre Cimetière ; ajoutez la cible à votre main. Ces effets ne sont pas affectés par ""Vallée Mortuaire"".",Supports archetypes /Necrovalley ,,Activates upon being flipped face-up/Returns from your opponent's Graveyard to your opponent's Deck/Activates from your Graveyard/Adds from Deck to hand/Unaffected by specific cards,Trigger/Condition,
