Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
82301904,Dragon Empereur du Chaos - Émissaire de l'Achèvement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez payer 1000 LP ; envoyez autant de cartes dans la main de chaque joueur et sur le Terrain que possible au Cimetière, puis infligez 300 points de dommages à votre adversaire pour chaque carte envoyée dans le Cimetière de l'adversaire par cet effet. Vous ne pouvez pas activer d'autres cartes ou effets durant le tour où vous activez l'effet de cette carte.",LIGHT/DARK,,Sends from hand to Graveyard/Sends from field to Graveyard,Summon/Ignition,
04896788,Esprit du Pot de Cupidité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,100,100,,,,"Lorsque cette carte est en Position d'Attaque face recto sur le Terrain, si un joueur active un ""Pot de Cupidité"", il peut piocher une carte supplémentaire.",Pot of Greed,,You draw cards/Your opponent draws cards,Trigger,
40884383,"Chopman, le Hors-la-loi Épouvantable",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,1100,500,,,,"Lorsque cette carte est Invoquée avec succès par Invocation Flip, vous pouvez équiper 1 Carte Magie d'Équipement de votre Cimetière à cette carte.",Equip Spell Card,,Activates upon Flip Summon/Places cards from Graveyard in Spell & Trap Zone,Trigger,
03773196,Avion de Reconnaissance D.D.,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 2,800,1200,,,,"Durant la End Phase, si cette carte est actuellement bannie, et a été bannie ce tour : Invoquez-la Spécialement en Position d'Attaque face recto. Cet effet ne peut être activé qu'une fois par tour.",,,Activates while banished,Trigger,
16556849,"Freed, le Vagabond Courageux",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1700,1200,,,,Retirez du jeu 2 monstres LUMIÈRE de votre Cimetière pour détruire 1 monstre face recto sur le Terrain avec une ATK supérieure à cette carte. Cet effet ne peut être activé qu'une fois par tour.,LIGHT,,,Ignition,
42541548,Entraîneur Gobelin,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Effet],,,,,Niveau 4,1200,1500,,,,"Tant que cette carte reste face recto sur votre Terrain, vous pouvez renvoyer 1 Carte Monstre Normal de votre main sous votre Deck durant votre End Phase pour piocher 1 carte de votre Deck. Cet effet ne peut être activé qu'une fois par tour.",Normal Monster,,Places cards from the player's hand on the bottom of the Deck/Returns from hand to Deck for cost/You draw cards,Trigger/Condition,
75946257,Médecin Sorcier du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,500,500,,,,FLIP : Sélectionnez 1 Carte Monstre de votre Cimetière ou de celui de votre adversaire. Retirez-la du jeu.,,,Activates upon being flipped face-up,Flip,
47829960,"Gustaph, Chevaucheur du Chaos",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Guerrier/Effet],,,,,Niveau 4,1400,1500,,,,"Une fois par tour : vous pouvez bannir max. 2 Magies depuis votre Cimetière ; jusqu'à la fin du tour de votre adversaire, cette carte gagne 300 ATK pour chaque carte bannie par cet effet.",,,,Ignition,
74823665,Inferno,Unlimited(OCG)/Unlimited(TCG),FIRE,[Pyro/Effect],,,,,4,1100,1900,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 FIRE monster from your GY. If this card destroys an opponent's monster by battle and sends it to the GY: Inflict 1500 damage to your opponent.,FIRE,,Activates when it destroys a monster by battle,Summon/Trigger,
00218704,Fenrir,Unlimited(OCG)/Unlimited(TCG),WATER,[Beast/Effect],,,,,4,1400,1200,,,,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent's monster as a result of battle, your opponent skips his/her next Draw Phase.",WATER,,Activates when it destroys a monster by battle/Skips Draw Phase,Summon/Trigger,
47606319,Gigantes,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,4,1900,1300,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 EARTH monster from your GY. If this card is destroyed by battle and sent to the GY: Destroy all Spells and Traps on the field.,EARTH,,Activates if destroyed by battle/Activates from your Graveyard,Summon/Trigger,
73001017,Silpheed,Unlimited(OCG)/Unlimited(TCG),WIND,[Fairy/Effect],,,,,4,1700,700,,,,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WIND monster in your Graveyard. When this card is destroyed as a result of battle and sent to the Graveyard, your opponent discards 1 random card from their hand.",WIND,,Activates if destroyed by battle/Activates from your Graveyard/Your opponent discards,Summon/Trigger,
09596126,Sorcier du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2300,2000,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez cibler 1 monstre face recto sur le Terrain ; bannissez la cible. Cette carte ne peut pas attaquer le tour où vous activez cet effet.,,,,Summon/Ignition/Condition,
36584821,Gren Maju Da Eiza,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FIRE,[Fiend/Effect],,,,,3,?,?,,,,This card's ATK/DEF become the number of your banished cards x 400.,,,,Continuous,
72989439,Soldat du Lustre Noir - Émissaire du Commencement,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour, vous pouvez activer 1 de ces effets.●Ciblez 1 monstre sur le Terrain ; bannissez-le. Cette carte ne peut pas attaquer le tour où cet effet est activé.●Si cette carte attaquante détruit un monstre de l'adversaire au combat : elle peut faire une seconde attaque à la suite.",LIGHT/DARK,,Activates when it destroys a monster by battle,Summon/Condition/Ignition/Trigger,
99050989,Drillago,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,4,1600,1100,,,,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.",,,,Continuous,
62543393,Lekunga,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Plant/Effect],,,,,4,1700,500,,,,"You can banish 2 WATER monsters from your GY; Special Summon 1 ""Lekunga Token"" (Plant/WATER/Level 2/ATK 700/DEF 700) in Attack Position.",WATER,,Banishes from Graveyard for cost/Banishes from your Graveyard,Ignition,
52090844,Bowganian,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,3,1300,1000,,,,"Once per turn, during your Standby Phase: Inflict 600 damage to your opponent.",,,,Trigger,
13944422,Granadora,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Reptile/Effect],,,,,4,1900,700,,,,If this card is Summoned: Gain 1000 LP. If this card is destroyed and sent to the GY: You take 2000 damage.,,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger,
09373534,Fuhma Shuriken,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Equip,,,"Equip only to a ""Ninja"" monster. It gains 700 ATK. When this card is sent from the field to the Graveyard: Inflict 700 damage to your opponent.",Supports archetypes /Ninja,,Activates from your Graveyard,Condition/Continuous-like/Trigger-like,
35762283,Cœur de l'Opprimé,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Draw Phase, lorsque vous piochez un ou plusieurs Monstres Normaux : vous pouvez les révéler ; piochez 1 carte supplémentaire.",Normal Monster,,Reveals your hand for cost/You draw cards,Trigger-like,
61166988,Libération de la Nature Sauvage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Bête ou Bête-Guerrier ; il gagne une ATK égale à sa DEF actuelle (jusqu'à la End Phase), et s'il le fait, il est détruit durant la End Phase.",Beast/Beast-Warrior,,,Effect/Condition,
04542651,Bouclier du Lustre Jaune,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Augmentez la DEF de tous les monstres sur votre Terrain de 300 points.,,,,Continuous-like,
97439308,Cupidité du Chaos,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Vous ne pouvez activer cette carte que lorsque 4 de vos cartes ou plus sont retirées du jeu et qu'il n'y a pas de carte dans votre Cimetière. Piochez 2 cartes de votre Deck.,,,You draw cards,Activation requirement/Effect,
96316857,Recyclage,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Standby Phase, payez 300 Life Points pour sélectionner 1 Carte non Monstre dans votre Cimetière et renvoyez-la sous votre Deck.",,,Places cards from the player's Graveyard on the bottom of the Deck,Trigger-like,
69196160,Coup de Tonnerre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Détruisez tous les monstres que vous contrôlez, et si vous le faites, infligez 300 points de dommages à votre adversaire pour chaque monstre détruit.",,,,Effect,
68073522,Absorption de l'Âme,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Si une ou plusieurs cartes sont bannies : gagnez 500 LP pour chacune d'elles.,,,,Trigger-like,
21466326,Minage des Ruines,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Vous ne pouvez activer cette carte que s'il y a 30 cartes ou plus dans votre Cimetière. Infligez 3000 points de dommages aux Life Points de votre adversaire.,,,,Activation requirement/Effect,
58851034,Sceau Maudit de la Magie Interdite,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie est activée : défaussez 1 Magie ; annulez l'activation, et si vous le faites, détruisez-la, et si vous faites ça, votre adversaire ne peut pas activer des Cartes Magie de ce nom le reste de ce Duel.",,,Discards for cost,Activation requirement/Cost/Effect,
