Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
40817915,Kurivolt,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Thunder/Effect],,,,,1,300,200,,,,"You can target 1 Xyz Monster that has material; detach 1 material from it, and if you do, Special Summon 1 ""Kurivolt"" from your Deck. Cannot be used as Synchro Material.",,Xyz Monster,Detaches Xyz Materials for effect,Ignition/Condition,
76202610,Darklon,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,1,100,100,,,,"When this card is Normal Summoned: You can have all face-up monsters you currently control gain 1 Level, also, they become DARK (these effects last until the End Phase).",,,Activates upon Normal Summon,Trigger,
76080032,ZW - Lance Unicorne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 4,1900,0,,,,"Vous pouvez cibler 1 ""Numéro C39 : Rayon Utopie"" que vous contrôlez ; équipez cette carte depuis votre main à la cible. Il gagne 1900 ATK. Si le monstre équipé combat un monstre de votre adversaire, durant la Battle Phase uniquement, les effets du monstre de votre adversaire sont annulés. Vous ne pouvez contrôler qu'1 ""ZW - Lance Unicorne"".",Number C39: Utopia Ray,,Activates from your hand/Equips self from hand,Ignition/Continuous-like/Unclassified,
38973775,Lézard Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 3,900,1200,,,,"Vous pouvez Sacrifier cette carte ; ajoutez 1 monstre ""Photon"" (""Photon Morphtronique"" exclu) de max. Niveau 4 depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Lézard Photon"" qu'une fois par tour.",Supports archetypes /Photon,,Tributes itself for cost/Adds from Deck to hand,Ignition,
65367484,Lanceur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,2100,0,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) tant que vous ne contrôlez aucun monstre. Ne peut pas attaquer si vous contrôlez un autre monstre.,,,,Summon/Continuous,
01362589,Broyeur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,2000,0,,,,"Si cette carte attaque, elle est changée en Position de Défense à la fin de la Damage Step.",,,Changes battle positions,Continuous,
38757297,Léo Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 6,2100,1100,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez faire mélanger toute la main de votre adversaire dans le Deck, puis il pioche le même nombre de cartes que mélangées dans le Deck.",,,Returns from your opponent's hand to your opponent's Deck/Your opponent draws cards,Trigger,
64145892,Cercle Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1000,1000,,,,Les dommages de combat que vous recevez de combats impliquant cette carte sont divisés par deux.,,,,Continuous,
93451636,Abeille Automate,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Effet],,,,,Niveau 1,100,300,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Automate"" de max. Niveau 4 depuis votre Deck.",Supports archetypes /Wind-Up,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
95905259,Chow Len le Prophète,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Magicien/Effet],,,,,Niveau 4,1800,200,,,,"Une fois par tour : vous pouvez déclarer soit Magie soit Piège, puis ciblez 1 carte Posée dans la Zone Magie & Piège de votre adversaire ; regardez la cible, et si elle est du type de carte déclaré, la carte ne peut pas être activée ce tour.",,,Declares a card type/Reveals face-down cards,Ignition,
21390858,Dharc - Familier Possédé,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1850,1500,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main ou Deck) en envoyant 1 ""Dharc la Charmeuse des Ténèbres"" face recto que vous contrôlez et 1 monstre TÉNÈBRES face recto que vous contrôlez au Cimetière. Lorsque vous le faites : vous pouvez ajouter 1 monstre LUMIÈRE de Type Magicien de Niveau 3 ou 4 depuis votre Deck à votre main. Si cette carte a été Invoquée Spécialement par cet effet et attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Dharc the Dark Charmer/DARK/LIGHT/Spellcaster,,Activates from your hand/Activates from your Deck/Sends from field to Graveyard for cost/Adds from Deck to hand,Unclassified/Trigger/Continuous,
57784563,Lame Sombre le Capitaine du Monde Maléfique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1800,1500,,,,"Une fois par tour : vous pouvez bannir 1 monstre TÉNÈBRES depuis votre Cimetière pour cibler 1 monstre LUMIÈRE de max. Niveau 4 contrôlé par votre adversaire ; équipez-le à cette carte. (Vous ne pouvez équiper qu'1 monstre à cette carte à la fois avec cet effet.) Si cette carte sur le Terrain va être détruite, le monstre qui lui est équipé avec cet effet est détruit à la place.",DARK,LIGHT,Equips monsters from the opponent's field to itself,Ignition/Continuous,
94283662,Transe Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1500,500,,,,"Une fois par tour : vous pouvez défausser 1 monstre de Type Démon, et si vous le faites, cette carte gagne 500 ATK jusqu'à la fin de ce tour. Lorsque cette carte que vous contrôlez est détruite et envoyée à votre Cimetière : vous pouvez cibler 1 de vos monstres TÉNÈBRES bannis ; ajoutez la cible à votre main.",DARK/Fiend,,Discards for effect/Activates from your Graveyard/Adds banished cards to the hand,Ignition/Trigger,
20277376,Dragon Divin Apocralyphe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 4,1000,1500,,,,"Une fois par tour : vous pouvez défausser 1 carte, puis ciblez 1 monstre de Type Dragon dans votre Cimetière ; ajoutez la cible à votre main.",Dragon,,Discards for cost/Adds from Graveyard to hand,Ignition,
83061014,Numen erat Testudo,Unlimited(OCG)/Unlimited(TCG),WATER,[Aqua/Effect],,,,,5,1800,0,,,,Neither player can Special Summon monsters with 1800 or less ATK.,,,,Continuous,
29455728,Lézard Jumeau Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Fusion／Effet],,,,,Niveau 6,2400,1000,,"2 monstres ""Photon"" (""Photon Morphtronique"" exclu)",,Vous pouvez Sacrifier cette carte ; Invoquez Spécialement les deux Monstres-Matériels de Fusion utilisés pour l'Invocation Fusion de cette carte depuis votre Cimetière.,Supports archetypes /Photon,,Tributes itself for cost,Ignition,
19333131,Numéro 12 : Ninja Armure Ombre Pourpre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Xyz／Effet],,,Rang 5,,,2400,1700,,2 monstres de Niveau 5,,"Une fois par tour, durant le tour de chaque joueur : vous pouvez détacher 1 Matériel Xyz de cette carte ; ce tour, les monstres ""Ninja"" face recto que vous contrôlez ne peuvent être détruits ni au combat ni par des effets de carte.",Supports archetypes /Ninja,,,Quick,
81122844,Transporteur Zenmaity Automate,Unlimited(OCG)/Forbidden(TCG),EAU,[Machine/Xyz／Effet],,,Rang 3,,,1500,1500,,2 monstres de Niveau 3,,"Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte ; Invoquez Spécialement 1 monstre ""Automate"" depuis votre main ou Deck. Lorsqu'un monstre ""Automate"" face recto sur le Terrain est détruit et envoyé à votre Cimetière (sauf durant la Damage Step) : vous pouvez détacher 1 Matériel Xyz de cette carte pour cibler le monstre ; renvoyez la cible à la main.",Supports archetypes /Wind-Up,,Adds from Graveyard to hand,Ignition/Trigger,
