Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
46123974,Garçon Geek Libromancien,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Effet],,,,,Niveau 3,800,800,,,,"Vous pouvez révéler 1 Monstre Rituel dans votre main : Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 Magie ""Libromancien"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Garçon Geek Libromancien"" qu'une fois par tour.",Supports archetypes /Libromancer,,Reveals cards in your hand/Activates upon Special Summon/Adds from Deck to hand,Ignition/Trigger/Condition,
03078380,Timée le Dragon Uni,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2800,1800,,,,"Vous pouvez envoyer 1 monstre Magicien, ou 1 Magie/Piège qui mentionne ""Magicien Sombre"", depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Durant votre Main Phase : vous pouvez Invoquer par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel (un monstre Magicien inclus). Vous ne pouvez utiliser chaque effet de ""Timée le Dragon Uni"" qu'une fois par tour.",Spellcaster/Dark Magician/Fusion Monster,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials,Ignition/Condition,
66961194,Dictateur des D,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,"Tant que vous contrôlez un monstre ""Yeux Bleus"", vous choisissez les cibles des attaques de votre adversaire. Vous ne pouvez utiliser chacun des effets suivants de ""Dictateur des D"" qu'une fois par tour. Vous pouvez envoyer 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main ou Deck au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous pouvez défausser 1 ""Dragon Blanc aux Yeux Bleus"" ou 1 carte qui le mentionne, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Blue-Eyes,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Discards for cost,Continuous/Condition/Ignition,
66749546,Martin-Pêcheur de Création Jadeglace,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 9,2500,2500,,,,"Vous pouvez cibler 1 monstre EAU que vous contrôlez ; équipez-lui cette carte depuis votre main ou Terrain. Un monstre ""Jadeglace"" équipé avec cette carte peut attaquer tant qu'il est en Position de Défense. S'il le fait, appliquez sa DEF pour le calcul des dommages. Tant que cette carte est équipée à un monstre : vous pouvez cibler 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à la DEF du monstre équipé ; Invoquez Spécialement cette carte, et si vous le faites, renvoyez le monstre ciblé à la main. Vous ne pouvez utiliser cet effet de ""Martin-Pêcheur de Création Jadeglace"" qu'une fois par tour.",Supports archetypes /Icejade,,Equips from the player's hand to itself/Equips monsters from the player's field to itself/Returns from your opponent's field to your opponent's hand,Ignition/Unclassified/Condition,
65626958,"Gullinbursti, Bête Nordique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 3,300,100,,,,"Pour une Invocation Synchro, vous pouvez substituer cette carte à 1 Syntoniseur ""Nordique"". Vous ne pouvez utiliser chacun des effets suivants de ""Gullinbursti, Bête Nordique"" qu'une fois par tour. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez Invoquer Spécialement 1 monstre ""Nordique"" depuis votre main. Vous pouvez cibler 1 monstre ""Nordique"" (""Gullinbursti, Bête Nordique"" exclu) dans votre Cimetière ; ajoutez-le à votre main.",Supports archetypes /Nordic,,,Condition/Condition/Trigger/Ignition,
91011603,"Ivaldi, Forgeron Nordique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,700,,,,"Si vous contrôlez un monstre ""Ases"" ou ""Nordique"" : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Relique Nordique"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Ivaldi, Forgeron Nordique"" qu'une fois par tour.",Supports archetypes /Nordic/Aesir/Nordic Relic,,,Ignition/Trigger/Condition,
28406301,D/D Griffon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 4,1200,1200,,,,"Si vous contrôlez un monstre ""D/D"" : vous pouvez Invoquer Spécialement cette carte depuis votre main en Position de Défense. Si cette carte est Invoquée par Pendulation : vous pouvez défausser 1 carte ""D/D"" ou ""Contrat des Ténèbres"" ; piochez 1 carte. Si cette carte est Invoquée Spécialement depuis le Cimetière : vous pouvez ajouter 1 carte ""D/D"" (""D/D Griffon"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""D/D Griffon"" qu'une fois par tour.",Supports archetypes /D/D/Dark Contract,,Activates from your hand/Activates upon Pendulum Summon/Discards for cost/You draw cards/Activates upon Special Summon/Adds from Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition/Trigger,
64804316,Sirène Fantôruse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 4,800,1500,,,,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour, durant votre Main Phase : vous pouvez changer cette carte en Position de Défense face verso. Si cette carte est Invoquée Normalement ou retournée face recto : envoyez les 2 cartes du dessus de votre Deck au Cimetière, puis si l'une des cartes était une carte ""Fantôruse"", vous pouvez appliquer 1 de ces effets.●Ajoutez 1 Magie/Piège ""Fantôruse"" depuis votre Deck à votre main.●Changez 1 Monstre à Effet contrôlé par votre adversaire en Position de Défense face verso.",Supports archetypes /Ghostrick,,,Summoning condition/Trigger/Ignition,
27383719,Lapcewell de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 6,2400,2500,,,,"Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Force-S"" (""Lapcewell de la Force-S"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Vous pouvez bannir 1 carte ""Force-S"" depuis votre main ; détruisez tous les monstres de votre adversaire dans les mêmes colonnes que vos monstres ""Force-S"". Vous ne pouvez utiliser chaque effet de ""Lapcewell de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Special Summons from your Graveyard,Trigger/Ignition/Condition,
53782828,Rétroactive de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 1,0,0,,,,"Si un monstre que vous contrôlez va être utilisé comme Matériel Lien pour un monstre ""Force-S"", cette carte dans votre main peut aussi être utilisée comme Matériel. Durant la Main Phase (Effet Rapide) : vous pouvez renvoyer cette carte à la main, et si vous le faites, Invoquez Spécialement 1 monstre ""Force-S"" de min. Niveau 2 depuis votre main. Si un monstre ""Force-S"" que vous contrôlez va bannir une ou plusieurs cartes depuis votre main pour activer son effet, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Rétroactive de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,,Unclassified/Quick/Unclassified/Condition,
