Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
09411399,Malveillant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,800,800,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 ""Malveillant - HÉROS de la Destinée"" depuis votre Deck.",,,Activates from your Graveyard,Ignition,
28985331,Chevalier Armageddon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est Invoquée : vous pouvez envoyer 1 monstre TÉNÈBRES depuis votre Deck au Cimetière.,DARK,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger,
97651498,Lurrie Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 1,200,400,,,,Si cette carte est défaussée au Cimetière : Invoquez-la Spécialement.,,,Activates from your Graveyard,Trigger,
74311226,Cavalerie Dragon de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 4,1800,0,,,,"Tous vos monstres Serpent de Mer de max. Niveau 3 peuvent attaquer directement. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ajoutez 1 monstre Serpent de Mer (""Cavalerie Dragon de l'Atlantide"" exclu) depuis votre Deck à votre main.",WATER/Sea Serpent,,Activates from your Graveyard/Adds from Deck to hand,Continuous/Trigger,
90411554,"Redox, Maître Dragon des Rochers",Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Effet],,,,,Niveau 7,1600,3000,,,,"Si cette carte est dans votre main ou Cimetière : vous pouvez bannir un total de 2 monstres TERRE et/ou Dragon (cette carte exclue) depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte. Durant la End Phase de votre adversaire, si vous contrôlez cette carte Invoquée Spécialement : renvoyez-la à la main. Vous pouvez défausser cette carte et 1 monstre TERRE au Cimetière, puis ciblez 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible. Si cette carte est bannie : vous pouvez ajouter 1 monstre TERRE Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Redox, Maître Dragon des Rochers"" par tour, et uniquement une fois le tour.",EARTH/Dragon,,Returns itself from field to hand/Discards itself for cost/Discards for cost/Adds from Deck to hand,Ignition/Trigger/Condition,
26400609,"Tidal, Maître Dragon des Chutes d'Eau",Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Effet],,,,,Niveau 7,2600,2000,,,,"Si cette carte est dans votre main ou Cimetière : vous pouvez bannir un total de 2 monstres EAU et/ou Dragon (cette carte exclue) depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte. Durant la End Phase de votre adversaire, si cette carte a été Invoquée Spécialement : renvoyez-la à la main. Vous pouvez défausser cette carte et 1 monstre EAU au Cimetière ; envoyez 1 monstre depuis votre Deck au Cimetière. Si cette carte est bannie : vous pouvez ajouter 1 monstre EAU Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Tidal, Maître Dragon des Chutes d'Eau"" par tour, et uniquement une fois le tour.",WATER/Dragon,,Returns itself from field to hand/Discards itself for cost/Discards for cost/Sends from your Deck to your Graveyard/Adds from Deck to hand,Ignition/Trigger/Condition,
53804307,"Blaster, Maître Dragon des Brasiers",Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 7,2800,1800,,,,"Si cette carte est dans votre main ou Cimetière : vous pouvez bannir un total de 2 monstres FEU et/ou Dragon (cette carte exclue) depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte. Durant la End Phase de votre adversaire, si vous contrôlez cette carte Invoquée Spécialement : renvoyez-la à la main. Vous pouvez défausser cette carte et 1 monstre FEU au Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible. Si cette carte est bannie : vous pouvez ajouter 1 monstre FEU Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Blaster, Maître Dragon des Brasiers"" par tour, et uniquement une fois le tour.",FIRE/Dragon,,Returns itself from field to hand/Discards itself for cost/Adds from Deck to hand,Ignition/Trigger/Condition,
89399912,"Tempest, Maître Dragon des Tempêtes",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 7,2400,2200,,,,"Vous pouvez défausser cette carte et 1 monstre VENT au Cimetière ; ajoutez 1 monstre Dragon depuis votre Deck à votre main. Vous pouvez bannir un total de 2 monstres VENT et/ou Dragon depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. Durant la End Phase de votre adversaire, si vous contrôlez cette carte Invoquée Spécialement : renvoyez-la à la main. Si cette carte est bannie : vous pouvez ajouter 1 monstre VENT Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Tempest, Maître Dragon des Tempêtes"" par tour, et uniquement une fois le tour.",WIND/Dragon,,Returns itself from field to hand/Discards itself for cost/Discards for cost/Adds from Deck to hand/Activates from your hand/Activates from your Graveyard/Activates while banished,Ignition/Trigger/Condition,
21565445,"Neptabysses, le Prince de l'Atlantide",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 1,800,0,,,,"Vous pouvez envoyer 1 monstre ""Atlantide"" (""Neptabysses, le Prince de l'Atlantide"" exclu) depuis votre Deck au Cimetière ; ajoutez 1 carte ""Atlantide"" (""Neptabysses, le Prince de l'Atlantide"" exclu) depuis votre Deck à votre main. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 monstre ""Atlantide"" (""Neptabysses, le Prince de l'Atlantide"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Neptabysses, le Prince de l'Atlantide"" qu'une fois par tour.",Supports archetypes /Atlantean,,Sends from your Deck to your Graveyard for cost/Adds from Deck to hand/Activates from your Graveyard,Ignition/Trigger/Condition,
69811710,"Girsu, le Mekk-Chevalier Orcust",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1800,0,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 carte ""Orcust"" ou ""Héritage du Monde"" depuis votre Deck au Cimetière, puis, s'il y a min. 2 autres cartes dans la colonne de cette carte, traitez cette carte comme Syntoniseur ce tour. Si vous ne contrôlez aucun autre monstre : vous pouvez Invoquer Spécialement 1 ""Jeton Héritage du Monde"" (Machine/TÉNÈBRES/Niveau 1/ATK 0/DEF 0) sur chaque Terrain en Position de Défense. Vous ne pouvez utiliser chaque effet de ""Girsu, le Mekk-Chevalier Orcust"" qu'une fois par tour.",Supports archetypes /Orcust/World Legacy,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger/Ignition/Condition,
