Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
38898779,Guerrier Colossal/Mode Assaut,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 10,3300,1500,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut pas être Invoquée Spécialement, excepté avec ""Activation Mode Assaut"". Lorsque cette carte est Invoquée Spécialement, vous pouvez envoyer jusqu'à 2 monstres de Type Guerrier depuis votre Deck au Cimetière. Tous les monstres contrôlés par votre adversaire perdent 100 points d'ATK pour chaque monstre de Type Guerrier dans votre Cimetière. Lorsque cette carte sur le Terrain est détruite, vous pouvez Invoquer Spécialement 1 ""Guerrier Colossal"" depuis votre Cimetière.",Warrior/Colossal Fighter/Assault Mode Activate,,Sends from your Deck to your Graveyard,Summon/Trigger/Continuous,
88559132,Guerrier Tourelle,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,1200,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre de Type Guerrier, et si vous le faites, elle gagne une ATK égale à l'ATK d'origine du monstre Sacrifié.",Warrior,,Activates from your hand/Tributes for cost,Summon,
40348946,Robot Hyper Synchronique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 4,1600,800,,,,"Si cette carte est envoyée au Cimetière pour l'Invocation Synchro d'un monstre de Type Dragon : le monstre gagne 800 ATK, et aussi, bannissez le monstre face recto durant la End Phase.",Dragon,,Activates from your Graveyard/Activates if used as Synchro Material,Trigger,
13821299,Mangeur de Piège,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 4,1900,1600,,,,Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en envoyant 1 Piège face recto contrôlé par votre adversaire au Cimetière.,,,Sends from field to Graveyard for cost/Sends from your opponent's field to your opponent's Graveyard,Summon,
02009101,Aile Noire - Mistral le Tourbillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1300,400,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Mistral le Tourbillon"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; l'ATK/DEF de la cible deviennent la moitié de son ATK/DEF actuelles.",Supports archetypes /Blackwing,,,Summon/Ignition,
49003716,Aile Noire - Bora la Lance,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1700,800,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Bora la Lance"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",Supports archetypes /Blackwing,,,Summon/Continuous,
75498415,Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 5,2000,900,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer/Poser Normalement cette carte sans Sacrifice. Une fois par tour, durant votre Main Phase 1 : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à la somme des ATK de tous les autres monstres ""Aile Noire"" actuellement sur le Terrain (lui-même exclu), et aussi, le reste de ce tour, vous ne pouvez attaquer qu'avec le monstre.",Supports archetypes /Blackwing,Anti-supports archetypes /Blackwing,,Summon/Ignition/Condition,
02986553,Chevalier de la Rose du Crépuscule,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Syntoniseur／Effet],,,,,Niveau 3,1000,1000,,,,Les monstres contrôlés par votre adversaire ne peuvent pas cibler de monstres Plante avec une attaque. Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre Plante de max. Niveau 4 depuis votre main.,Plant,,,Continuous/Trigger,
89493368,Réacteur d'Invocation ・FEU,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 5,2000,1400,,,,"La première fois qu'un (ou plusieurs) monstre(s) est (sont) Invoqué(s) sur le Terrain de votre adversaire à chaque tour, infligez 800 points de dommages à votre adversaire. Durant la Battle Phase du tour où cet effet est activé, vous pouvez annuler l'attaque d'1 monstre contrôlé par votre adversaire. Vous pouvez envoyer 1 ""Réacteur de Piège ・DU"" face recto, 1 ""Réacteur de Magie ・CIEL"" face recto et cette carte face recto que vous contrôlez au Cimetière pour Invoquer Spécialement 1 ""Forteresse Volante FEU DU CIEL"" depuis votre main, Deck ou Cimetière.",Trap Reactor・Y FI/Spell Reactor・RE/Flying Fortress SKY FIRE,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from field to Graveyard for cost/Sends itself from field to Graveyard for cost,Trigger/Ignition,
52286175,Réacteur de Piège ・DU,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,800,1800,,,,"Une fois par tour, lorsque votre adversaire active une Carte Piège, vous pouvez détruire la Carte Piège et infliger 800 points de dommages à votre adversaire.",,,,Trigger,
15175429,Réacteur de Magie ・CIEL,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 3,1200,900,,,,"Une fois par tour, lorsque votre adversaire active une Carte Magie, vous pouvez détruire la Carte Magie et infliger 800 points de dommages à votre adversaire.",,,,Trigger,
16898077,Forteresse Volante FEU DU CIEL,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 8,3000,2500,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut pas être Invoquée Spécialement, excepté par l'effet de ""Réacteur d'Invocation ・FEU"". Une fois par tour, vous pouvez envoyer 1 carte depuis votre main au Cimetière pour détruire 1 carte contrôlée par votre adversaire. Une fois durant chaque tour de votre adversaire, vous pouvez activer 1 des effets suivants : ●Lorsque votre adversaire Invoque Normalement ou Spécialement un monstre, détruisez-le et infligez 800 points de dommages à votre adversaire. ●Lorsque votre adversaire Pose une carte, détruisez-la et infligez 800 points de dommages à votre adversaire.",Summon Reactor・SK,,Sends from hand to Graveyard for cost/Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Summon/Ignition/Quick,
48381268,Planchon Morphtronique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,500,1800,,,,"●En Position d'Attaque : Les monstres ""Morphtronique"" que vous contrôlez peuvent attaquer votre adversaire directement. ●En Position de Défense : Les autres monstres ""Morphtronique"" que vous contrôlez ne peuvent pas être détruits au combat.",Supports archetypes /Morphtronic,,,Continuous,
75775867,Frondon Morphtronique,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1200,800,,,,"●En Position d'Attaque : Une fois par tour, vous pouvez Sacrifier 1 monstre ""Morphtronique"", excepté ""Frondon Morphtronique"", pour détruire 1 carte sur le Terrain. ●En Position de Défense : Si cette carte doit être détruite, vous pouvez détruire un autre monstre ""Morphtronique"" que vous contrôlez à la place.",Supports archetypes /Morphtronic,,Tributes for cost,Ignition/Continuous,
37169670,Artilleur Hyper Psychique/Mode Assaut,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Effet],,,,,Niveau 11,3500,3000,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut pas être Invoquée Spécialement, excepté avec ""Activation Mode Assaut"". Si cette carte combat un monstre, à la fin de la Damage Step, infligez des dommages à votre adversaire égaux à la DEF de ce monstre et gagnez un montant de Life Points égal à son ATK. Lorsque cette carte sur le Terrain est détruite, vous pouvez Invoquer Spécialement 1 ""Artilleur Hyper Psychique"" depuis votre Cimetière.",Hyper Psychic Blaster/Assault Mode Activate,,,Summon/Trigger,
77036039,Mercenaire d'Assaut,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1800,300,,,,"Une fois par tour, vous pouvez renvoyer 1 ""Activation Mode Assaut"" depuis votre main ou Cimetière au Deck pour détruire 1 Carte Magie ou Piège contrôlée par votre adversaire.",Assault Mode Activate,,Returns from hand to Deck for cost/Returns from Graveyard to Deck for cost,Ignition,
49826746,Sorcière aux Ailes de Nuit,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 3,1300,1200,,,,"Vous pouvez activer ""Activation Mode Assaut"" le tour où il est Posé.",Assault Mode Activate,,,Continuous,
76214441,Harmonisateur de Force Vitale,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Effet],,,,,Niveau 2,800,400,,,,"Lorsque votre adversaire active l'effet d'une carte qui inflige des dommages, vous pouvez défausser cette carte pour annuler son activation et la détruire.",,,Discards itself for cost,Quick,
81278754,Grenouille Flip Flap,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 2,500,200,,,,"Une fois par tour, vous pouvez retourner cette carte en Position de Défense face verso. Lorsque cette carte est retournée face recto, vous pouvez renvoyer les monstres contrôlés par votre adversaire dans la main de leur propriétaire jusqu'au nombre de monstres ""Grenouille"" ou ""Rainette"" face recto que vous contrôlez, excepté ""Grenouille, la Bave"".",Supports archetypes /Frog,,Flips itself face-down/Changes battle positions/Returns from field to hand,Ignition/Trigger,
75937826,B.E.S. Grand Vaisseau MK-2,Unlimited(OCG)/Unlimited(TCG),FEU,[Machine/Effet],,,,,Niveau 6,2400,1100,,,,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Normalement cette carte sans Sacrifice. Lorsque cette carte est Invoquée Spécialement, placez 3 compteurs sur elle. Cette carte ne peut pas être détruite au combat. Si cette carte attaque ou est attaquée, retirez 1 compteur de cette carte à la fin de la Damage Step. Si vous ne pouvez pas, détruisez-la.",,,Activates upon Special Summon,Summon/Trigger/Continuous,
