Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
42378577,Remplacement Pendule,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Vous pouvez cibler 1 carte dans votre Zone Pendule ; Invoquez-la Spécialement. Vous pouvez cibler 1 Monstre Pendule dans votre Zone Monstre ; placez le Monstre Pendule dans votre Zone Pendule. Vous ne pouvez utiliser qu'1 effet de ""Remplacement Pendule"" par tour, et uniquement une fois le tour.",Pendulum Monster,,Places from field to Pendulum Zone,Quick-like/Condition,
73734821,Magicien Céleste Potartiste,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 7,2500,2000,,,,"Une fois par tour, si vous activez une Carte Magie : cette carte gagne 300 ATK. (Effet Rapide) : vous pouvez cibler 1 Magie Continue que vous contrôlez ; renvoyez-la à la main, puis vous pouvez activer 1 Magie Continue ""Magicien"" depuis votre main. Vous ne pouvez utiliser cet effet de ""Magicien Céleste Potartiste"" qu'une fois par tour. Si cette carte face recto quitte le Terrain : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la.",Supports archetypes /Magician ,,Returns from your field to your hand/Activates cards from your hand/Activates from your Graveyard,Trigger/Quick/Condition,
73511233,Golem U Go Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 4,1600,1000,,,,"Une fois par tour, durant votre Main Phase, si cette carte a été Invoquée par Pendulation ce tour : vous pouvez Invoquer par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant cette carte que vous contrôlez et des monstres Dragon que vous contrôlez comme Matériels Fusion.",Supports archetypes /Performapal/Odd-Eyes/Magician ,,Activates upon Fusion Summon/Adds from Graveyard to hand/Adds from Extra Deck to hand/Uses cards on the player's field as Fusion Materials/Uses itself as a Fusion Material,Pendulum Effect /Trigger-like/Monster Effect/Ignition,
09000988,Dragon Pièce Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Pendule／Effet],,,,,Niveau 4,1700,1000,,,,"Les autres monstres de Type Dragon que vous contrôlez gagnent 500 ATK, et aussi, ils ne peuvent pas être détruits par des effets de carte.",Dragon,,,Pendulum Effect /Ignition-like/Monster Effect/Continuous,
62899696,Aimant Malveillant Vitesseroid,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Non utilisable comme Matériel Synchro, sauf pour une Invocation Synchro par son propre effet. Durant votre Main Phase, si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; immédiatement après la résolution de cet effet, Invoquez par Synchronisation 1 Monstre Synchro VENT en utilisant uniquement cette carte que vous contrôlez et le monstre. Vous ne pouvez utiliser cet effet de ""Aimant Malveillant Vitesseroid"" qu'une fois par tour.",WIND/Synchro Monster,,Activates upon Normal Summon/Activates upon Special Summon/Uses the opponent's monsters as Synchro Materials/Uses itself as a Synchro Material,Condition/Trigger,
35272499,Ophrys Scorpio Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 3,1200,800,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; Invoquez Spécialement 1 monstre ""Prédaplante"" (""Ophrys Scorpio Prédaplante"" exclu) depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Ophrys Scorpio Prédaplante"" qu'une fois par tour.",Supports archetypes /Predaplant,,Activates upon Normal Summon/Activates upon Special Summon/Sends from hand to Graveyard for cost,Trigger/Condition,
61677004,Darlingtonia Cobra Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 3,1000,1500,,,,"Si cette carte est Invoquée Spécialement par l'effet d'un monstre ""Prédaplante"" : vous pouvez ajouter 1 Carte Magie ""Polymérisation"" ou Carte Magie ""Fusion"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Darlingtonia Cobra Prédaplante"" qu'une fois par Duel.",Supports archetypes /Predaplant/Fusion /Polymerization ,,Adds from Deck to hand,Trigger/Condition,
07161742,Cordyceps Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 1,0,0,,,,"Durant votre Standby Phase : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 2 monstres ""Prédaplante"" de max. Niveau 4 dans votre Cimetière ; Invoquez-les Spécialement, et aussi, le reste de ce tour, vous ne pouvez ni Invoquer Spécialement de monstres (Monstres de Fusion exclus), ni Invoquer/Poser Normalement de monstres.",Supports archetypes /Predaplant,,Activates from your Graveyard,Trigger,
34550857,Lyrilusc - Moineau de Cobalt,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 1,0,100,,,,"Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 monstre Bête Ailée de Niveau 1 depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Lyrilusc - Moineau de Cobalt"" qu'une fois par tour. Un Monstre Xyz VENT qui a été Invoqué en utilisant cette carte sur le Terrain comme Matériel gagne cet effet.●Votre adversaire ne peut pas cibler cette carte avec des effets de carte.",Winged Beast/WIND/Xyz Monster,,Activates upon Special Summon/Adds from Deck to hand/Grants effect as Xyz Material,Trigger/Condition/Unclassified/Continuous,
60954556,Lyrilusc - Hirondelle de Saphir,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 1,100,0,,,,"Si vous contrôlez un monstre Bête Ailée : vous pouvez Invoquer Spécialement cette carte ainsi qu'1 monstre Bête Ailée de Niveau 1 depuis votre main. Vous ne pouvez utiliser cet effet de ""Lyrilusc - Hirondelle de Saphir"" qu'une fois par tour. Un Monstre Xyz VENT qui a été Invoqué en utilisant cette carte sur le Terrain comme Matériel gagne cet effet.●S'il est Invoqué par Xyz : vous pouvez cibler 1 monstre ""Lyrilusc"" dans votre Cimetière ; attachez-le à cette carte comme Matériel.",Supports archetypes /Lyrilusc,,Grants effect as Xyz Material/Activates upon Xyz Summon/Attaches as Xyz Material,Ignition/Condition/Unclassified/Trigger,
