Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
03149401,Dragon de la Fierté et de l'Âme Ultime,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 12,4500,4500,,3 monstres avec 2500 ATK/DEF d'origine,,"Tant que vous contrôlez cette carte Invoquée par Fusion, votre adversaire ne peut pas la cibler avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Tant que vous avez min. 25 cartes dans votre Cimetière, cette carte Invoquée par Fusion gagne 4500 ATK/DEF. Une fois par tour, si votre adversaire a min. 25 cartes dans son Cimetière : vous pouvez détruire toutes les cartes contrôlées par votre adversaire.",2500 ATK Monster Cards/2500 DEF Monster Cards,,,Continuous/Continuous/Ignition,
27480536,Requin Blindé,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 3,500,2000,,,,"(Cette carte est toujours traitée comme carte ""Blindé Xyz"".)Vous pouvez envoyer 1 Monstre Xyz EAU depuis votre Extra Deck au Cimetière, puis ciblez 1 monstre Poisson dans votre Cimetière du même Niveau que le Rang du monstre ; Invoquez-le Spécialement. Durant le tour de votre adversaire, si cette carte est dans votre Cimetière (Effet Rapide) : vous pouvez cibler 1 Monstre Xyz EAU que vous contrôlez ; équipez cette carte au monstre comme Magie d'Équipement qui lui donne 500 ATK. Vous ne pouvez utiliser chaque effet de ""Requin Blindé"" qu'une fois par tour.",WATER/Xyz Monster/Fish,,Sends from Extra Deck to Graveyard for cost/Activates from your Graveyard/Equips self from Graveyard,Condition/Ignition/Quick/Condition,
54475145,Cœur des Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"(Cette carte est toujours traitée comme carte ""Millénaire"".)Le contrôle de cette carte ne peut pas être échangé. Vous pouvez défausser cette carte ; ajoutez 1 ""Ânkh Millénaire"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Cœur des Yeux Bleus"" qu'une fois par tour. Si cette carte est dans votre Cimetière, et que vous avez activé avec succès ""Ânkh Millénaire"" ce Duel, et que votre adversaire Invoque Normalement ou Spécialement un ou plusieurs monstres qui sont min. Niveau 8 ou qui ont min. 3000 ATK : vous pouvez envoyer le monstre au Cimetière, et si vous le faites, Invoquez Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Cœur des Yeux Bleus"" qu'une fois par Duel.",Millennium Ankh,,Discards itself for cost/Adds from Deck to hand/Cannot change control/Activates upon Normal Summon/Activates upon Special Summon/Activates from your Graveyard/Sends from your opponent's field to your opponent's Graveyard,Condition/Continuous/Ignition/Condition/Trigger/Condition,
80870883,Dragon de Métal Noir Entier aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,3400,2400,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement avec ""Métalmorphe Max"" qui a été activé en Sacrifiant un monstre Dragon de min. Niveau 5. Vous pouvez révéler cette carte dans votre main ; Posez 1 Piège ""Métalmorphe"" depuis votre Deck, et si vous le faites, mélangez cette carte dans le Deck. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez annuler l'activation, puis vous pouvez infliger des dommages à votre adversaire égaux à l'ATK d'origine d'1 monstre en Position d'Attaque contrôlé par votre adversaire. Vous ne pouvez utiliser chaque effet de ""Dragon de Métal Noir Entier aux Yeux Rouges"" qu'une fois par tour.",Supports archetypes /Metalmorph ,,Tributes for cost/Activates from your hand/Reveals itself in the hand for cost/Sets from your Deck/Returns itself from hand to Deck,Summoning condition/Summoning condition/Ignition/Quick/Condition,
53753697,Zoa la Bête Démoniaque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 7,2600,1900,,,,"Si votre adversaire contrôle un monstre, vous pouvez Invoquer Normalement cette carte sans Sacrifices. Vous ne pouvez utiliser chacun des effets suivants de ""Zoa la Bête Démoniaque"" qu'une fois par tour. Si cette carte est dans votre main : vous pouvez Invoquer Spécialement cette carte en Position de Défense, puis si ""Métalmorphe Max"" n'est pas dans votre Cimetière, votre adversaire peut Invoquer Spécialement 1 monstre depuis sa main. Durant votre Main Phase : vous pouvez Poser 1 Piège ""Métalmorphe"" depuis votre Deck.",Supports archetypes /Metalmorph ,,Activates from your hand/Sets from your Deck,Unclassified/Condition/Ignition/Ignition,
56146300,Guêpe de Bataille - Rapière l'Assaut,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet],,,,,Niveau 5,1900,0,,,,"Si vous ne contrôlez aucun monstre face recto, ou si les seuls monstres face recto que vous contrôlez sont des monstres Insecte : vous pouvez défausser 1 autre monstre Insecte ; placez 1 ""Vent de Guêpe de Bataille"" depuis votre Deck, face recto dans votre Zone Magie & Piège, puis Invoquez Spécialement cette carte depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Insecte exclus) depuis l'Extra Deck le reste de ce tour. Vous pouvez bannir cette carte depuis votre Cimetière ; réduisez de 1 le Niveau d'1 monstre Insecte que vous contrôlez. Vous ne pouvez utiliser chaque effet de ""Guêpe de Bataille - Rapière l'Assaut"" qu'une fois par tour.",Insect/Battlewasp Wind,,Activates from your hand/Discards for cost/Places cards from Deck in Spell & Trap Zone,Ignition/Ignition/Condition,
92530005,Équilibriste de Balles Mageartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1000,1800,,,,"Si vous contrôlez un monstre ""Mageartiste"" : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez activer 1 de ces effets ;●Ajoutez 1 Monstre Pendule ""Mageartiste"" depuis votre Deck à votre Extra Deck face recto.●Détruisez 1 Carte Monstre ""Mageartiste"" que vous contrôlez.Lorsqu'un monstre Invoqué Spécialement de l'adversaire déclare une attaque directe : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Équilibriste de Balles Mageartiste"" qu'une fois par tour.",Supports archetypes /Performage,,Sends from Extra Deck to Graveyard for cost/Activates from your hand/Activates from your Graveyard/Activates upon attack declaration/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to Extra Deck,,
28803166,Lacrima les Larmes Cramoisies,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 4,1200,1200,,,,"(Cette carte est toujours traitée comme carte ""Démonforgeron"".)Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 carte ""Démonforgeron"" (""Lacrima les Larmes Cramoisies"" exclu) depuis votre Deck au Cimetière. Durant le tour de votre adversaire, si cette carte est dans votre Cimetière (Effet Rapide) : vous pouvez cibler 1 Monstre Lien ""Démonforgeron"" dans votre Cimetière ; mélangez cette carte dans le Deck, et si vous le faites, Invoquez Spécialement le monstre. Vous ne pouvez utiliser chaque effet de ""Lacrima les Larmes Cramoisies"" qu'une fois par tour.",Supports archetypes /Fiendsmith,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard/Activates from your Graveyard/Returns itself from Graveyard to Deck for cost,Condition/Trigger/Quick/Condition,
81696879,Centur-Ion Chimerea,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Pyro/Effet],,,,,Niveau 4,1200,1600,,,,"Lorsque votre adversaire active un effet de monstre en min. Maillon 2 de la Chaîne (Effet Rapide) : vous pouvez faire devenir l'effet activé ""Votre adversaire place 1 monstre ""Centur-Ion"" depuis son Terrain face recto ou Cimetière dans sa Zone Magie & Piège comme Piège Continu face recto"", et aussi, vous ne pouvez pas Invoquer Spécialement ""Centur-Ion Chimerea"" le reste de ce tour. Durant la Main Phase, si cette carte est un Piège Continu : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser chaque effet de ""Centur-Ion Chimerea"" qu'une fois par tour.",Supports archetypes /Centur-Ion,,Overwrites card effects/Places cards from field in Spell & Trap Zone/Places cards from Graveyard in Spell & Trap Zone,Quick/Quick-like/Condition,
17080584,"Rhinabysses, l'Esprit de l'Atlantide",Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 3,1600,1600,,,,"(Cette carte est toujours traitée comme carte ""Sirènemure"".)Vous pouvez Sacrifier cette carte depuis votre main et 1 monstre ""Atlantide"" ou ""Sirènemure"" depuis votre main ou Terrain ; prenez 1 monstre Poisson, Serpent de Mer ou Aqua de Niveau 7 depuis votre Deck, et soit ajoutez-le à votre main soit Invoquez-le Spécialement, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres EAU exclus) depuis l'Extra Deck le reste de ce tour. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière, et défaussez 1 carte au Cimetière ; piochez 1 carte. Vous ne pouvez utiliser chaque effet de ""Rhinabysses, l'Esprit de l'Atlantide"" qu'une fois par tour.",Supports archetypes /Atlantean/Mermail,,Tributes itself for cost/Tributes for cost/Adds from Deck to hand/Discards for cost/You draw cards,Condition/Ignition/Quick/Condition,
