Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
88544390,Les Chevaliers Fantômes des Chausses Souillées,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,1200,600,,,,"Si un ou plusieurs monstres ""Les Chevaliers Fantômes"" sont Invoqués Spécialement sur votre Terrain (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez augmenter le Niveau de cette carte de 1. Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Les Chevaliers Fantômes"" (""Les Chevaliers Fantômes des Chausses Souillées"" exclu) depuis votre main, puis vous pouvez augmenter son Niveau de 1. Vous ne pouvez utiliser chaque effet de ""Les Chevaliers Fantômes des Chausses Souillées"" qu'une fois par tour.",Supports archetypes /The Phantom Knights,,Activates from your hand/Activates upon Special Summon/Activates from your Graveyard,Trigger/Ignition/Condition,
25538345,Les Chevaliers Fantômes des Écailles Lacérées,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,600,1600,,,,"Vous pouvez défausser 1 carte ; envoyez 1 carte ""Chevaliers Fantômes"" (""Les Chevaliers Fantômes des Écailles Lacérées"" exclu) depuis votre Deck au Cimetière. Si une autre carte ""Chevaliers Fantômes"" dans votre Cimetière est bannie, tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Les Chevaliers Fantômes des Écailles Lacérées"" qu'une fois par tour.",Supports archetypes /Phantom Knights/The Phantom Knights,,Discards for cost/Sends from your Deck to your Graveyard/Activates from your Graveyard,Ignition/Trigger/Condition,
51933043,Raidraptor - Aigle Toc,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,700,700,,,,"Si tous les monstres que vous contrôlez sont des monstres ""Raidraptor"" (min. 1) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Magie/Piège ""Raidraptor"" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Raidraptor - Aigle Toc"" qu'une fois par tour.",Supports archetypes /Raidraptor,,Activates from your hand/Activates from your Graveyard/Adds from Graveyard to hand,Ignition/Condition,
86483512,Roshi du Monde Virtuel - Laolao,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Syntoniseur／Effet],,,,,Niveau 6,0,2400,,,,"Si cette carte est dans votre main : vous pouvez cibler 1 carte ""Monde Virtuel"" que vous contrôlez ; envoyez 1 carte ""Monde Virtuel"" de type différent (Monstre, Magie, Piège) depuis votre Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte, puis, vous pouvez Invoquer Spécialement 1 monstre ""Monde Virtuel"" depuis votre Cimetière en Position de Défense, de nom différent de la carte envoyée au Cimetière, mais annulez ses effets. Le reste de ce tour, vous ne pouvez Invoquer Spécialement que des monstres de min. Niveau/Rang 3. Vous ne pouvez utiliser cet effet de ""Roshi du Monde Virtuel - Laolao"" qu'une fois par tour.",Supports archetypes /Virtual World,,Activates from your hand/Sends from your Deck to your Graveyard,Ignition/Condition,
49966326,Kirin du Monde Virtuel - Lili,Unlimited(OCG)/Unlimited(TCG),TERRE,[Wyrm/Effet],,,,,Niveau 6,1800,600,,,,"Si cette carte est dans votre main : vous pouvez cibler 1 carte ""Monde Virtuel"" que vous contrôlez ; envoyez 1 carte ""Monde Virtuel"" de type différent (Monstre, Magie, Piège) depuis votre Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte, puis, vous pouvez envoyer 1 carte ""Monde Virtuel"" du troisième type (""Kirin du Monde Virtuel - Lili"" exclu) depuis votre Deck au Cimetière. Le reste de ce tour, vous ne pouvez Invoquer Spécialement que des monstres de min. Niveau/Rang 3. Vous ne pouvez utiliser cet effet de ""Kirin du Monde Virtuel - Lili"" qu'une fois par tour.",Supports archetypes /Virtual World,,Activates from your hand/Sends from your Deck to your Graveyard,Ignition/Condition,
85360035,Poings du Double Avatar - Yuhi,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1800,1000,,,,"Vous pouvez cibler 1 monstre ""Double Avatar"" que vous contrôlez ; détruisez-le, et si vous le faites, ajoutez 1 Magie ""Double Avatar"" depuis votre Deck à votre main. Si un ou plusieurs Monstres Fusion ""Double Avatar"" face recto que vous contrôlez, qui ont été Invoqués par Fusion en utilisant un Monstre à Effet comme Matériel, sont détruits au combat ou par un effet de carte de l'adversaire, tant que cette carte est dans votre Cimetière : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Poings du Double Avatar - Yuhi"" qu'une fois par tour.",Supports archetypes /Dual Avatar,,Adds from Deck to hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/Returns itself from Graveyard to hand,Ignition/Trigger/Condition,
48144778,Conjurateur Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1200,900,,,,"Tant que vous n'avez aucune carte dans votre main, les monstres contrôlés par votre adversaire perdent 800 ATK. Tant que vous n'avez aucune carte dans votre main et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Conjurateur Enfernité"" qu'une fois par tour.",,,Activates from your hand,Continuous/Ignition/Condition,
74148483,Chat Sauvage Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 3,1400,0,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en envoyant 1 autre monstre ""Enfernité"" dans votre main au Cimetière. Vous ne pouvez Invoquer Spécialement ""Chat Sauvage Enfernité"" qu'une fois par tour de cette façon. Tant que vous n'avez aucune carte dans votre main : vous pouvez bannir 1 monstre ""Enfernité"" depuis votre Cimetière ; jusqu'à la fin de ce tour, augmentez ou réduisez le Niveau de cette carte de 1. Vous ne pouvez utiliser cet effet de ""Chat Sauvage Enfernité"" qu'une fois par tour.",Supports archetypes /Infernity,,Sends from hand to Graveyard for cost,Unclassified/Condition/Ignition,
47021196,Entraîneur-Joueur U.A.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 8,2000,2600,,,,"Si vous Invoquez Normalement ou Spécialement un ou plusieurs monstres ""U.A."" (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez activer 1 de ces effets.●Ciblez 1 carte sur le Terrain ; détruisez-la.●Jusqu'à la fin de ce tour, annulez les effets de tous les monstres face recto sur le Terrain (monstres ""U.A."" exclus).Vous ne pouvez utiliser chaque effet de ""Entraîneur-Joueur U.A."" qu'une fois par tour.",Supports archetypes /U.A.,,Activates upon Normal Summon/Activates upon Special Summon/Activates from your hand,Trigger/Condition,
74426895,Éveil des Possédées - Gagigobyte,Unlimited(OCG)/Unlimited(TCG),EAU,[Reptile/Effet],,,,,Niveau 5,2000,200,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main ou Deck) en envoyant 1 monstre Magicien face recto et 1 monstre EAU de max. Niveau 4 face recto que vous contrôlez au Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Éveil des Possédées - Gagigobyte"" qu'une fois par tour.●Lorsque cette carte est Invoquée Spécialement par son effet : vous pouvez envoyer 1 carte au hasard depuis la main de votre adversaire au Cimetière, puis chaque joueur pioche 1 carte.●Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 carte ""Artiste de l'Eau Spirituelle"" ou 1 Magie/Piège ""Possédé"" depuis votre Deck à votre main.",Supports archetypes /Possessed/Spiritual Water Art,,Sends from field to Graveyard for cost/Activates upon Special Summon/Sends from your opponent's hand to your opponent's Graveyard/You draw cards/Your opponent draws cards/Activates from your Graveyard/Adds from Deck to hand,Unclassified/Condition/Trigger,
