Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
64319467,Requin à Double Nageoire,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 4,1000,1200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre EAU Poisson de Niveau 3 ou 4 dans votre Cimetière ; Invoquez Spécialement la cible en Position de Défense, mais annulez ses effets. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres EAU exclus) durant le tour où vous activez cet effet.",WATER/Fish,,Activates upon Normal Summon,Trigger/Condition,
37798171,Requin des Profondeurs,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 5,1400,0,,,,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Normalement cette carte sans Sacrifice. Une fois par tour, durant la Standby Phase de votre adversaire : jusqu'à la fin de ce tour, l'ATK de cette carte devient le double de son ATK actuelle.",,,,Unclassified/Trigger,
25853045,Armure Complète - Lancier Rayon Sombre,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Xyz／Effet],,,Rang 4,,,2100,600,,3 monstres EAU de Niveau 4,,"Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un Monstre Xyz EAU de Rang 3 que vous contrôlez sans Matériel. Gagne 200 ATK pour chaque Matériel qui lui est attaché. Si cette carte sur le Terrain va être détruite au combat ou par un effet de carte, vous pouvez détacher tous les Matériels de cette carte à la place. Lorsque cette carte détruit un monstre de l'adversaire au combat : vous pouvez cibler 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.",WATER/Xyz Monster,,Does not have effects which detach Xyz Materials for cost/Detaches Xyz Materials for effect/Detaches multiple Xyz Materials for effect/Activates when it destroys a monster by battle,Summon/Continuous/Trigger,
61258740,Amulette du Seigneur des Mers,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Envoyez cette carte au Cimetière durant la 3e End Phase de votre adversaire après activation. Les monstres EAU que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire.,WATER,,Sends itself from field to Graveyard,Condition/Continuous-like,
90812044,Invocation en Chaîne,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez min. 2 Monstres Xyz face recto : ciblez celui avec le plus faible Rang (en cas d'égalité, vous choisissez) ; Invoquez Spécialement 1 Monstre Xyz depuis votre Extra Deck, dont le Rang est inférieur à celui du Monstre Xyz, mais le monstre Invoqué Spécialement ne peut pas attaquer directement, et aussi, renvoyez-le à l'Extra Deck durant la End Phase.",Xyz Monster,,Returns from your field to your Extra Deck,Activation requirement/Effect,
53701457,Numéro 28 : Papillon de Nuit Titanesque,Unlimited(OCG)/Unlimited(TCG),FEU,[Insecte/Xyz／Effet],,,Rang 7,,,2400,2200,,2 monstres de Niveau 7,,"Si vous ne contrôlez aucun autre monstre, cette carte peut attaquer directement, mais lorsqu'elle le fait en utilisant cet effet, les dommages de combat infligés à votre adversaire sont divisés par deux. Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez détacher 1 Matériel de cette carte ; infligez 500 points de dommages à votre adversaire pour chaque carte dans sa main.",,,,Continuous/Trigger,
25472513,Shaman Céleste de la Double Étoile,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Syntoniseur／Effet],,,,,Niveau 2,100,800,,1 Syntoniseur + 1 monstre non-Syntoniseur,,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez Invoquer Spécialement max. 4 monstres non-Syntoniseur de Niveau 2 depuis votre main et/ou Cimetière en Position de Défense, mais ils ont leurs effets annulés, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Synchro exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Shaman Céleste de la Double Étoile"" qu'une fois par tour.",Synchro Monster,,Activates upon Synchro Summon,Trigger/Condition,
25614410,Héritage d'un HÉROS,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Renvoyez 2 Monstres de Fusion depuis votre Cimetière à l'Extra Deck qui listent un monstre ""HÉROS"" comme Matériel ; piochez 3 cartes. Vous ne pouvez activer qu'1 ""Héritage d'un HÉROS"" par tour.",Supports archetypes /HERO,,Returns from your Graveyard to your Extra Deck/You draw cards,Cost/Effect/Condition,
52467217,Gozuki,Unlimited(OCG)/Unlimited(TCG),EARTH,[Zombie/Effect],,,,,4,1700,800,,,,"During your Main Phase: You can send 1 Zombie monster from your Deck to the GY. If this card is sent to the GY: You can banish 1 Zombie monster from your GY, except ""Gozuki""; Special Summon 1 Zombie monster from your hand. You can only use each effect of ""Gozuki"" once per turn.",Zombie,,Sends from your Deck to your Graveyard/Activates from your Graveyard,Ignition/Trigger/Condition,
88851326,Héritage du Duelliste,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque votre monstre déclare une attaque : vous pouvez cibler 1 Carte Magie/Piège contrôlée par votre adversaire ; annulez l'attaque, et si vous le faites, détruisez la carte. Chaque joueur peut uniquement Poser 1 Carte Magie/Piège depuis sa main par tour. Les monstres ne peuvent pas attaquer le tour où ils ont été Invoqués Spécialement depuis l'Extra Deck. Durant votre Draw Phase, avant votre pioche : vous pouvez ajouter 1 monstre depuis votre Cimetière à votre main, et aussi, vous ne pouvez pas mener votre pioche normale ce tour.",,,Activates upon attack declaration/Prevents your Sets/Prevents your opponent's Sets/Replaces normal draw/Adds from Graveyard to hand,Trigger-like/Continuous-like,
