Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
68182934,Dragons Célestes de Draconia,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Pendule／Normal],,,,,Niveau 5,2200,200,,,,On dit qu'ils ont été formés pour envahir l'État Célèste flotant et neutre de Cxulub. Ces troupes aériennes de l'Empire Draconia ont incité les nations voisines à renforcer leur sécurité.,Normal Monster,,,Pendulum Effect /Trigger-like,
18108166,Dragon Carapace Mystère,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Wyrm/Normal],,,,,Niveau 4,2000,0,,,,Mystérieuse matière vivante qui est apparue soudainement d'une autre dimension. Son attaque paralyse les nerfs de la cible provoquant des hallucinations intenses.,,,,,
45103815,Risebell l'Invocateur,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Pendule／Normal],,,,,Niveau 3,800,800,,,,"En tant que frère aîné, Risebell s'occupe bien de sa petite sœur Saambell. Il lit un livre magique à sa sœur à chaque début d'après-midi, ce qui amène un sourire à tout le monde.",,,,Pendulum Effect /Ignition-like,
70479321,Goritambour Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 5,1600,900,,,,"S'il n'y a aucun monstre sur le Terrain, vous pouvez Invoquer Normalement cette carte sans Sacrifice. Si cette carte est Invoquée Normalement sans Sacrifice, son Niveau devient 4. Une fois par tour, lorsqu'une attaque impliquant un monstre que vous contrôlez et un monstre de votre adversaire est déclarée : vous pouvez cibler le monstre que vous contrôlez ; jusqu'à la fin de la Battle Phase, il gagne 600 ATK.",,,Activates upon attack declaration,Pendulum Effect /Trigger-like/Monster Effect/Summon/Unclassified/Trigger,
07864030,Chalumeau Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,500,300,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque tant que vous n'avez aucune Carte Magie/Piège dans votre Cimetière : vous pouvez envoyer cette carte depuis votre main au Cimetière, puis ciblez 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; transférez-lui la cible de l'attaque et faites le calcul des dommages. Une fois par tour, lorsqu'un monstre de votre adversaire déclare une attaque : vous pouvez transférer la cible de l'attaque sur cette carte, et faites le calcul des dommages. Non destructible au combat.",Supports archetypes /Superheavy Samurai,,Activates upon attack declaration/Sends itself from hand to Graveyard for cost/Sends from your hand to your Graveyard,Trigger/Continuous,
43268675,Opéra la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,2300,1000,,,,"Ne peut pas attaquer le tour où elle a été Invoquée Normalement ou retournée face recto. Si cette carte est envoyée au Cimetière comme Matériel de Fusion pour une Invocation Fusion : vous pouvez activer cet effet ; le reste de ce tour, les monstres ""Musique"" que vous contrôlez ne peuvent être détruits ni au combat ni par des effets de carte.",Supports archetypes /Melodious,,Activates from your Graveyard/Activates if used as Fusion Material,Continuous/Trigger,
79757784,Tamtam la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1000,2000,,,,"Si cette carte est Invoquée Spécialement tant que vous contrôlez un monstre ""Musique"" : vous pouvez ajouter 1 ""Polymérisation"" depuis votre Deck ou Cimetière à votre main. Si cette carte est envoyée au Cimetière comme Matériel de Fusion pour une Invocation Fusion : vous pouvez cibler 1 monstre ""Musique"" que vous contrôlez ; il perd 500 ATK, et s'il le fait, infligez 500 points de dommages à votre adversaire.",Supports archetypes /Melodious,,Adds from Deck to hand/Adds from Graveyard to hand/Activates from your Graveyard/Activates if used as Fusion Material,Trigger,
06142488,Souris Peluchimal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Elfe/Effet],,,,,Niveau 1,100,100,,,,"Durant votre Main Phase : vous pouvez Invoquer Spécialement max. 2 exemplaires de ""Souris Peluchimal"" depuis votre Deck. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain. Vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck (monstres ""Frourreur"" exclus) le tour où vous activez cet effet.",Supports archetypes /Frightfur,,,Ignition/Condition,
79531196,Rose de Cristal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 2,500,500,,,,"Une fois par tour : vous pouvez envoyer 1 monstre ""Chevalier-Gemmes"" ou ""Musique"" depuis votre main ou Deck au Cimetière, et si vous le faites, le nom de cette carte devient le nom du monstre envoyé jusqu'à la End Phase. Si cette carte est dans votre Cimetière : vous pouvez bannir 1 Monstre de Fusion depuis votre Cimetière ; Invoquez Spécialement cette carte en Position de Défense. Vous ne pouvez utiliser cet effet de ""Rose de Cristal"" qu'une fois par tour.",Supports archetypes /Gem-Knight/Melodious,,Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard/Activates from your Graveyard,Ignition/Condition,
31292357,Tour de Chapeau Mageartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 4,1100,1100,,,,"Si min. 2 monstres sont sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Lorsqu'une carte ou un effet qui va vous infliger des dommages est activé (Effet Rapide) : vous pouvez placer 1 Compteur Mageartiste sur cette carte (max. 3), puis faites devenir ces dommages d'effet sur vous 0. Lorsque le 3e Compteur Mageartiste est placé sur cette carte, son ATK/DEF deviennent 3300.",,,,Summon/Quick/Continuous,
