Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
59438930,Ogre Fantôme et Lapin des Neiges,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'un monstre sur le Terrain active son effet, ou lorsqu'une Magie/Piège qui est déjà face recto sur le Terrain active son effet (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; détruisez la carte sur le Terrain. Vous ne pouvez utiliser cet effet de ""Ogre Fantôme et Lapin des Neiges"" qu'une fois par tour.",,,Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost,Quick/Condition,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
73642296,Beauté Fantôme et Manoir Hanté,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'activation.●Ajouter une ou plusieurs cartes depuis le Cimetière à la main, Deck et/ou Extra Deck.●Invoquer Spécialement une ou plusieurs Cartes Monstre depuis le Cimetière.●Bannir une ou plusieurs cartes depuis le Cimetière.Vous ne pouvez utiliser cet effet de ""Beauté Fantôme et Manoir Hanté"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
71521025,Floraisons Rouges sous la Racine,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Si cette carte est dans votre main : vous pouvez cibler 1 Magie/Piège dans chaque Cimetière ; bannissez-les, et si vous le faites, Invoquez Spécialement cette carte. Vous pouvez Sacrifier cette carte, puis ciblez 1 Monstre Fusion, Synchro, Xyz ou Lien dans l'un des Cimetières ; bannissez la cible, et si vous le faites, Invoquez Spécialement 1 monstre depuis votre Cimetière de nom type de carte de monstre différent (Fusion, Synchro, Xyz ou Lien) de la cible. Vous ne pouvez utiliser chaque effet de ""Floraisons Rouges sous la Racine"" qu'une fois par tour.",Spell Card/Trap Card/Fusion Monster/Synchro Monster/Xyz Monster/Link Monster,Spell Card/Trap Card/Fusion Monster/Synchro Monster/Xyz Monster/Link Monster,Activates from your hand/Tributes itself for cost,Ignition/Condition,
26593852,"Kalidor, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Synchro／Effet],,,,,Niveau 5,2200,1200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Au début de la Damage Step, si cette carte combat un monstre non-TÉNÈBRES face recto : détruisez le monstre.",DARK,,,Trigger,
50321796,"Brionac, Dragon de la Barrière de Glace",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Synchro／Effet],,,,,Niveau 6,2300,1400,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Vous pouvez défausser un nombre de votre choix de cartes au Cimetière, puis ciblez le même nombre de cartes contrôlées par votre adversaire ; renvoyez ces cartes à la main. Vous ne pouvez utiliser cet effet de ""Brionac, Dragon de la Barrière de Glace"" qu'une fois par tour.",,,Discards for cost/Returns from field to hand,Ignition/Condition,
36898537,Horus Métaphysique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Synchro／Effet],,,,,Niveau 6,2300,1600,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Si cette carte est Invoquée par Synchronisation : vous pouvez activer les effets appropriés, selon les monstres non-Syntoniseur utilisés comme Matériel Synchro ;●Monstre Normal : Ce tour, cette carte face recto n'est pas affectée par d'autres effets de carte.●Monstre à Effet : Vous pouvez cibler 1 autre carte face recto sur le Terrain ; annulez les effets de la cible.●Monstre Pendule : Votre adversaire choisit 1 monstre qu'il contrôle et vous en donne le contrôle, mais il ne peut pas attaquer ce tour.",Normal Monster/Effect Monster/Pendulum Monster,,Activates upon Synchro Summon/Changes control,Trigger,
73580471,Dragon Rose Noire,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Synchro／Effet],,,,,Niveau 7,2400,1800,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez détruire toutes les cartes sur le Terrain. Une fois par tour : vous pouvez bannir 1 monstre Plante depuis votre Cimetière, puis ciblez 1 monstre en Position de Défense contrôlé par votre adversaire ; changez la cible en Position d'Attaque face recto, et si vous le faites, son ATK devient 0 jusqu'à la fin de ce tour.",Plant,,Activates upon Synchro Summon/Changes battle positions,Trigger/Ignition,
90036274,Dragon Rapide de l'Aile Claire,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Synchro／Pendule／Effet],,,,,Niveau 7,2500,2000,,1 Syntoniseur + 1+ monstre non-Syntoniseur VENT,,"(Effet Rapide) : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire qui a été Invoqué Spécialement depuis l'Extra Deck ; jusqu'à la fin de ce tour, changez son ATK à 0, et aussi, annulez les effets du monstre face recto. Vous ne pouvez utiliser cet effet de ""Dragon Rapide de l'Aile Claire"" qu'une fois par tour. Si cette carte dans la Zone Monstre est détruite au combat ou par un effet de carte : vous pouvez placer cette carte dans votre Zone Pendule.",Supports archetypes /Speedroid,,Sends from field to Graveyard for cost/Goes to Pendulum Zone,Pendulum Effect /Ignition-like/Condition/Monster Effect/Quick/Trigger,
80666118,Lumicatrice Dragon Rouge Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet],,,,,Niveau 8,3000,2500,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Le nom de cette carte devient ""Dragon Rouge Archdémon"" tant qu'elle est sur le Terrain ou dans le Cimetière. Une fois par tour : vous pouvez détruire autant d'autres Monstres à Effet Invoqués Spécialement sur le Terrain que possible avec une ATK inférieure ou égale à celle de cette carte, puis infligez 500 points de dommages à votre adversaire pour chaque monstre détruit.",Red Dragon Archfiend,,,Unclassified/Ignition,
