Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23562407,Armes Nobles - Caliburn,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous ne pouvez contrôler qu'1 ""Armes Nobles - Caliburn"". Équipable uniquement à un monstre de Type Guerrier. Il gagne 500 ATK. Une fois par tour : vous pouvez gagner 500 LP. Si cette carte face recto sur le Terrain est détruite et envoyée au Cimetière : vous pouvez cibler 1 monstre ""Chevalier Noble"" de Type Guerrier que vous contrôlez ; équipez cette carte à la cible. Vous ne pouvez utiliser cet effet de ""Armes Nobles - Caliburn"" qu'une fois par tour.",Supports archetypes /Noble Knight,,Activates from your Graveyard/Equips self from Graveyard,Condition/Continuous-like/Ignition-like/Trigger-like,
82593786,Sauveur Bacon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 2,700,600,,,,"Durant la Battle Step de chaque joueur, tant qu'une attaque a lieu : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'attaque. Vous ne pouvez utiliser l'effet de ""Sauveur Bacon"" qu'une fois par Duel.",,,Activates from your Graveyard/Negates attacks,Quick/Condition,
18988391,Amarylease,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet],,,,,Niveau 1,100,200,,,,"Durant votre Main Phase : vous pouvez bannir cette carte depuis votre Cimetière ; ce tour, vous pouvez Invoquer Normalement 1 monstre avec 1 Sacrifice en moins. Vous ne pouvez utiliser l'effet de ""Amarylease"" qu'une fois par tour.",,,Activates from your Graveyard,Ignition/Condition,
81471108,ZW - Porteur de Tornade,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 5,1300,1800,,,,"Vous pouvez cibler 1 monstre ""Utopie"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain face recto à la cible. Il gagne 1300 ATK. Tant que cette carte est équipée à un monstre, votre adversaire ne peut pas cibler le monstre avec des effets de carte. Si un monstre équipé avec cette carte va être détruit au combat, détruisez cette carte à la place. Vous ne pouvez contrôler qu'1 ""ZW - Porteur de Tornade"" face recto.",Supports archetypes /Utopia ,,Activates from your hand/Equips self from hand/Equips self from field,Ignition/Continuous-like/Unclassified,
70655556,Lance Requin,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 4,1600,1400,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez augmenter les Niveaux de tous les monstres de Type Poisson de Niveau 3 que vous contrôlez actuellement de 1. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Fish,,Activates upon Normal Summon,Trigger/Continuous,
17643265,Double Requin,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 4,1200,1600,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez réduire les Niveaux de tous les monstres de Type Poisson de Niveau 4 que vous contrôlez actuellement de 1. Durant chaque Battle Phase, cette carte peut attaquer une seconde fois.",Fish,,,Trigger/Continuous,
10532969,Requin Mégalodon Hyper Ancien,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 8,2900,1300,,,,Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,,Trigger,
56921677,"Basilic, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1000,1400,,,,Après le calcul des dommages : détruisez le monstre de votre adversaire qui a combattu cette carte.,,,,Trigger,
82315772,"Eale, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1000,1800,,,,"Si vous contrôlez min. 2 monstres ""Bête Héraldique"", vous pouvez Invoquer Spécialement cette carte (depuis votre main).",Supports archetypes /Heraldic Beast,,,Summon,
19310321,"Aigle à Deux Têtes, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1200,1400,,,,"Vous pouvez bannir cette carte depuis votre Cimetière pour cibler 1 Monstre Xyz face recto que vous contrôlez avec aucun Matériel Xyz et 2 monstres ""Bête Héraldique"" dans votre Cimetière ; attachez ces monstres depuis le Cimetière au Monstre Xyz face recto, comme Matériels Xyz. Vous ne pouvez utiliser l'effet de ""Aigle à Deux Têtes, Bête Héraldique"" qu'une fois par tour.",Supports archetypes /Heraldic Beast,,Activates from your Graveyard/Attaches as Xyz Material,Ignition,
