Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
35026117,Char Lourd du Labyrinthe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,2400,2400,,,,"Vous pouvez Invoquer Normalement cette carte sans Sacrifices. Ne peut pas attaquer le tour où elle est Invoquée Normalement. Durant votre Main Phase : vous pouvez placer face recto 1 de vos ""Sanga du Tonnerre"", ""Kazejin"" ou ""Suijin"" qui est banni, ou dans votre main ou Deck, dans votre Zone Magie & Piège comme Magie Continue, puis, si vous contrôlez une carte ""Mur du Labyrinthe"", vous pouvez détruire 1 monstre contrôlé par votre adversaire. Vous ne pouvez utiliser cet effet de ""Char Lourd du Labyrinthe"" qu'une fois par tour.",Supports archetypes /Labyrinth Wall ,,Places the player's banished cards in Spell & Trap Zone/Places cards from hand in Spell & Trap Zone/Places cards from Deck in Spell & Trap Zone,Unclassified/Continuous/Ignition/Condition,
62411811,Goule d'Ombre du Labyrinthe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 5,1600,1300,,,,"Vous pouvez défausser cette carte ; ajoutez 1 carte ""Mur du Labyrinthe"" depuis votre Deck à votre main. Au début de la Damage Step, si un monstre de votre adversaire combat, tant que vous contrôlez une carte ""Mur du Labyrinthe"" : vous pouvez bannir cette carte depuis votre Cimetière ; détruisez le monstre de l'adversaire. Vous ne pouvez utiliser chaque effet de ""Goule d'Ombre du Labyrinthe"" qu'une fois par tour.",Supports archetypes /Labyrinth Wall ,,Discards itself for cost/Adds from Deck to hand,Ignition/Trigger/Condition,
08505920,Association du Gardien de la Porte,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Fusion／Effet],,,,,Niveau 12,3750,3400,,"Sanga du Tonnerre + ""Kazejin"" + ""Suijin""",,"Uniquement Invocable Spécialement (depuis votre Extra Deck) en bannissant les cartes ci-dessus depuis votre main, Terrain et/ou Cimetière. Lorsque votre adversaire active une carte ou un effet qui cible une ou plusieurs cartes que vous contrôlez (Effet Rapide) : vous pouvez annuler l'effet, et si vous le faites, détruisez la carte. Vous ne pouvez utiliser cet effet de ""Association du Gardien de la Porte"" que trois fois par tour. Si cette carte face recto Invoquée Spécialement contrôlée par son propriétaire quitte le Terrain à cause d'une carte de l'adversaire : vous pouvez Invoquer Spécialement 1 monstre ""Gardien de la Porte"" de max. Niveau 11 depuis votre Deck ou Extra Deck, en ignorant ses conditions d'Invocation.",Supports archetypes /Gate Guardian ,,Activates when it leaves the field,Summoning condition/Quick/Condition/Trigger,
34904525,Gardien de la Porte du Tonnerre et du Vent,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Fusion／Effet],,,,,Niveau 9,2500,2200,,"Sanga du Tonnerre + ""Kazejin""",,"Uniquement Invocable Spécialement (depuis votre Extra Deck) en bannissant les cartes ci-dessus que vous contrôlez. Durant votre Main Phase : vous pouvez ajouter 1 Magie/Piège depuis votre Deck à votre main qui mentionne ""Sanga du Tonnerre"", ""Kazejin"" ET ""Suijin"". Vous ne pouvez utiliser cet effet de ""Gardien de la Porte du Tonnerre et du Vent"" qu'une fois par tour. Si cette carte face recto Invoquée Spécialement contrôlée par son propriétaire quitte le Terrain à cause d'une carte de l'adversaire : vous pouvez Invoquer Spécialement 1 de vos ""Sanga du Tonnerre"" ou ""Kazejin"" bannis.",Sanga of the Thunder/Kazejin/Suijin,,Adds from Deck to hand/Activates when it leaves the field,Summoning condition/Ignition/Condition/Trigger,
61398234,Gardien de la Porte du Vent et de l'Eau,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Fusion／Effet],,,,,Niveau 9,2450,2300,,"Kazejin + ""Suijin""",,"Uniquement Invocable Spécialement (depuis votre Extra Deck) en bannissant les cartes ci-dessus que vous contrôlez. Une fois par Chaîne, lorsque votre adversaire active une Carte Magie/Piège ou effet de Magie/Piège sur le Terrain (Effet Rapide) : vous pouvez annuler l'effet. Vous ne pouvez utiliser cet effet de ""Gardien de la Porte du Vent et de l'Eau"" que deux fois par tour. Si cette carte face recto Invoquée Spécialement contrôlée par son propriétaire quitte le Terrain à cause d'une carte de l'adversaire : vous pouvez Invoquer Spécialement 1 de vos ""Kazejin"" ou ""Suijin"" bannis.",Kazejin/Suijin,,Activates when it leaves the field,Summoning condition/Quick/Condition/Trigger,
97783338,Gardien de la Porte de l'Eau et du Tonnerre,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Fusion／Effet],,,,,Niveau 9,2550,2300,,"Suijin + ""Sanga du Tonnerre""",,"Uniquement Invocable Spécialement (depuis votre Extra Deck) en bannissant les cartes ci-dessus que vous contrôlez. Une fois par Chaîne (Effet Rapide) : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, changez son ATK à 0. Vous ne pouvez utiliser cet effet de ""Gardien de la Porte de l'Eau et du Tonnerre"" que deux fois par tour. Si cette carte face recto Invoquée Spécialement contrôlée par son propriétaire quitte le Terrain à cause d'une carte de l'adversaire : vous pouvez Invoquer Spécialement 1 de vos ""Suijin"" ou ""Sanga du Tonnerre"" bannis.",Suijin/Sanga of the Thunder,,Activates when it leaves the field,Summoning condition/Quick/Condition/Trigger,
34771947,Ombre du Mur du Labyrinthe,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Les monstres (monstres dont le Niveau d'origine est min. 5 exclus) ne peuvent pas attaquer le tour où ils sont Invoqués. Une fois par tour, durant votre Main Phase : vous pouvez placer face recto 1 de vos ""Sanga du Tonnerre"", ""Kazejin"" ou ""Suijin"" qui est banni, ou dans votre main ou Deck, dans votre Zone Magie & Piège comme Magie Continue. Au début de la Battle Phase de votre adversaire : vous pouvez cibler 1 monstre contrôlé par votre adversaire avec moins de 1600 ATK ; détruisez-le.",Sanga of the Thunder/Kazejin/Suijin,,Places the player's banished cards in Spell & Trap Zone/Places cards from hand in Spell & Trap Zone/Places cards from Deck in Spell & Trap Zone,Continuous-like/Ignition-like/Trigger-like,
60176682,Double Attaque ! Vent et Tonnerre !,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre ""Gardien de la Porte"" : ciblez 1 carte sur le Terrain ; détruisez-la. Durant votre Main Phase : vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 de vos ""Sanga du Tonnerre"", ""Kazejin"" ou ""Suijin"" bannis ou dans votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Double Attaque ! Vent et Tonnerre !"" qu'une fois par tour.",Supports archetypes /Gate Guardian ,,Adds banished cards to the hand/Adds from Deck to hand,Effect/Ignition-like/Condition,
33055499,Proie de Jirai Gumo,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement cette carte comme un Monstre Normal (Insecte/TERRE/Niveau 5/ATK 2100/DEF 100) dans votre Zone Monstre Main dans sa même colonne (cette carte est toujours aussi un Piège), puis vous pouvez détruire 1 monstre contrôlé par votre adversaire dans la colonne de cette carte. Vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 de vos ""Sanga du Tonnerre"", ""Kazejin"" ou ""Suijin"" bannis ou dans votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Proie de Jirai Gumo"" qu'une fois par tour.",Sanga of the Thunder/Kazejin/Suijin,,Adds banished cards to the hand/Adds from Deck to hand,Effect/Quick-like/Condition,
70551291,Soldat du Lustre Noir - Spadassin Légendaire,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Rituel／Effet],,,,,Niveau 8,3000,2500,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Forme du Chaos"" ou ""Rituel du Super Soldat"". Uniquement Invocable Rituellement. Durant votre Draw Phase, avant de piocher : vous pouvez révéler cette carte dans votre main ; renoncez à votre pioche normale ce tour, et si vous le faites, ajoutez 1 Magie Rituelle depuis votre Deck à votre main. Votre adversaire ne peut activer ni de cartes ni d'effets durant votre Battle Phase. Lorsque cette carte attaquante, qui a été Invoquée Rituellement en utilisant un Monstre Normal, détruit un monstre de l'adversaire au combat : vous pouvez mélanger toutes les cartes contrôlées par votre adversaire dans le Deck.",Ritual Spell Card/Normal Monster,,Reveals itself in the hand for cost/Skips Draw Phase/Adds from Deck to hand/Activates when it destroys a monster by battle/Returns from your opponent's field to your opponent's Deck,Condition/Summoning condition/Trigger/Continuous,
